Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
Baseline (MAE),0.6473523469288173,0.06253256816044586,0.05885558555454386,-0.021126810672445002,0.04748191635287884,0.03635885635018349,0.8322384020918618,34.578848900000594,0.3310103000003437
High Capacity Depth 10 (MAE),0.6442938416285093,0.06280315452041342,0.058454991056520494,-0.022961930174862623,0.04716176692339908,0.03521006077528,0.8338626342454551,58.77335419999872,0.34179029999722843
High Capacity Depth 12 (MAE),0.6350381312733255,0.06361499714883492,0.05950149079313705,-0.022504231994361072,0.04808125980632512,0.0361599828004837,0.8266686389697268,109.98639299999923,0.35113450000062585
High Capacity Min Child Weight 1 (MAE),0.6334604885991486,0.0637523450701825,0.06018843479064551,-0.021016988816817014,0.048255102011837234,0.036887644648551945,0.8239810112913116,41.083699999999226,0.33673410000119475
High Capacity Low Reg (MAE),0.6443213165263947,0.06280072900213408,0.05915563272420166,-0.021084180794059524,0.04731326037167856,0.035465290307998665,0.8306995833322095,31.854593600000953,0.3296894000013708
Low Capacity Depth 6 (MAE),0.6198619696296102,0.0649241729955746,0.061310387209150344,-0.02135847978736478,0.04905103645801638,0.03700875702500343,0.8180123242127421,21.492589399997087,0.31287479999809875
Low Capacity Depth 4 (MAE),0.6046238227513497,0.06621265692704235,0.0627619069719797,-0.021096420777133234,0.05028609660640296,0.03901993960142135,0.8087438713485967,14.85863469999822,0.30576709999877494
Low Capacity High Reg (MAE),0.629216538655778,0.06412035872838077,0.06034357755712467,-0.021681168122527985,0.04832440081910822,0.036209488689899455,0.8230654163842799,38.072131199998694,0.34946729999865056
Low Capacity Sampling (MAE),0.6335138090604004,0.06374770787832132,0.05983720812194776,-0.021983602544794558,0.04767577498017657,0.03511009669303894,0.8263340521104996,34.38916740000059,0.3501433999990695
Baseline (MSE),0.6495801188719321,0.062334737536104155,0.05872162227172445,-0.020913884894839304,0.04685322208633076,0.03545495338737964,0.8339860987583113,28.603561800002353,0.32960610000009183
Huber Slope 1.0,0.6439840572448257,0.06283049619270223,0.05935319162342775,-0.020612372395898235,0.047161363472377406,0.03564292640984059,0.830747190173763,29.178053899999213,0.3720853000013449
Huber Slope 0.1,0.6085420585251353,0.06588375146309546,0.062454862125983876,-0.020977580936703197,0.050173387224291786,0.039193267643451685,0.8120979484112764,30.096562400001858,0.4564884000028542
Huber Slope 5.0,0.6461960342970138,0.06263500471710595,0.058759038866887665,-0.02169145379590163,0.047051020230726534,0.03556999143958091,0.8340851599811383,31.252962800001114,0.34762659999978496
High Capacity Depth 10 (MSE),0.6407530707587237,0.06311495813860797,0.059312770001936375,-0.021575292721606656,0.047327822710167916,0.03595669840276242,0.8296352184325421,33.754999799999496,0.4436649999988731
High Capacity Depth 12 (MSE),0.646442832243841,0.06261315520616202,0.059157839941137685,-0.020512366446473706,0.04689816178599051,0.03494312399625779,0.8299194678134902,36.26983530000143,0.3286115000009886
Low Capacity Depth 6 (MSE),0.6334476240844076,0.06375346382513436,0.05975321796390057,-0.022227395013650158,0.04803960317251331,0.03677760183811189,0.8292604511337917,17.819818799998757,0.32271490000130143
Low Capacity Depth 4 (MSE),0.6077245933175635,0.0659525067251567,0.06223718348998252,-0.02182352248416622,0.05001962109938138,0.03925132891535759,0.8149946894821138,13.194300400002248,0.295912400000816
