id,group,Configuration,year,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson
0,R,Baseline (MAE),2023,0.6286139711665155,0.06557001158075311,0.05685855608711217,-0.032657786489424266,0.05093341499421521,0.04052776139974594,0.8505295297453785
0,R,Baseline (MAE),2024,0.6426622888958975,0.05966030006551575,0.057171369288827316,-0.017052446679086168,0.04448459890003512,0.034991535663604745,0.8300334377197773
0,R,Baseline (MAE),2025,0.6431330769156418,0.0625661544459757,0.061490586078336275,-0.011551255598437603,0.04697668291672503,0.03404295355081559,0.8107500278866402
1,R,Baseline (MSE),2023,0.6421278824840744,0.06436598369346226,0.056501027931279986,-0.03083202392863252,0.050277800289475774,0.040600400447845464,0.8529956071279198
1,R,Baseline (MSE),2024,0.6390822465692563,0.05995841315852993,0.056825116259059796,-0.019128969386262868,0.044152553881762466,0.03386179268360137,0.8313858295940267
1,R,Baseline (MSE),2025,0.6418528288876028,0.06267828095597189,0.06183869823725444,-0.01022459309300582,0.045788516389264206,0.0319688333272934,0.8109009535645
2,R,SOTA Control (1.3-lite peak),2023,0.6581389452251352,0.06290965355261288,0.05516658821302924,-0.0302369319714167,0.049017206752740426,0.04016852712631225,0.860206760067609
2,R,SOTA Control (1.3-lite peak),2024,0.6402997111949533,0.05985720047251368,0.05641801151039666,-0.019997310489959372,0.04395512379921775,0.033429851293563836,0.8348629091907911
2,R,SOTA Control (1.3-lite peak),2025,0.6395814371383619,0.06287672161060824,0.06221278006430162,-0.009113293431514352,0.045967788696742416,0.031125064790248867,0.8094498449512889
3,R,SOTA Control Est=2000,2023,0.6576860052181106,0.06295131502088257,0.055214646680595766,-0.030235919942934408,0.04905819771709623,0.0405606786608696,0.8599685828728204
3,R,SOTA Control Est=2000,2024,0.6404966188190538,0.05984081467444464,0.056403512350137915,-0.019989169428533057,0.0439515575014405,0.03320650005340575,0.8350730014700399
3,R,SOTA Control Est=2000,2025,0.6398337682423788,0.06285470758009665,0.06217142076464304,-0.009242765012982369,0.04595032677409933,0.031119695723056784,0.8097359051642278
4,A,A MSE d=7 LR=0.005 MCW=5 Est=2500,2023,0.6427927546322448,0.06430616477636503,0.05601236344731226,-0.03158952309376298,0.049904740832384525,0.040125776767730714,0.8557254068475263
4,A,A MSE d=7 LR=0.005 MCW=5 Est=2500,2024,0.6323917610803529,0.06051159854144495,0.057208467864966646,-0.019719147178228574,0.04459779752823809,0.033794736981391904,0.830606707000182
