dataset,candidate_index,n_features,beta,outer_R2,outer_RMSE,outer_MAE,outer_Bias,retrospective_test_R2,retrospective_test_RMSE,retrospective_test_MAE,retrospective_test_Bias
derived_8.0,6,40,0.0,0.8148449753174346,0.045213472427223705,0.0352476172612213,0.017178272570647735,0.7639593820375206,0.04574852294608742,0.03396359026803082,0.005843304625100113
derived_8.0,13,40,0.0,0.8311811932535366,0.043172830657171514,0.03372012375097941,0.01429837067469078,0.8002026903688585,0.042089960998586425,0.031421517653695025,-0.003236485490627379
derived_8.0,5,50,0.0,0.8249278736755363,0.043965155598873776,0.03418940847358283,0.017370139837265014,0.7693489067567436,0.045223218142452844,0.0337851542833584,0.004730683241781605
derived_8.0,12,50,0.0,0.817166531381817,0.04492912498184772,0.0347759838387151,0.014122565462856609,0.7981241681737948,0.0423083287143218,0.03160096712499501,-0.003310891914088649
derived_8.0,4,65,0.0,0.8371926742748568,0.042397190900340366,0.03292808876471484,0.018105740951702875,0.7701858338672125,0.04514109641275561,0.03330997865728707,0.00527364444748992
derived_8.0,11,65,0.0,0.819390541043485,0.04465502708397462,0.034811910100588025,0.013162249964607112,0.793399734024227,0.04280052966215846,0.03220489854892471,-0.0036064190431924696
derived_8.0,3,80,0.0,0.8346290974674726,0.04272968188720175,0.033180535043622644,0.017766075548113266,0.7693384329493723,0.04522424491820277,0.03328110122505531,0.004726323500038145
derived_8.0,10,80,0.0,0.8238052923272505,0.04410588502505014,0.034265814123412265,0.013317886679378502,0.7936564037038607,0.04277393479720734,0.03216601007210603,-0.0035684335974909623
derived_8.0,2,100,0.0,0.8261321997225264,0.04381367587431531,0.03426319586658741,0.01943412425840164,0.7674606585343986,0.045407953022572785,0.03336754540460875,0.005161390261939799
derived_8.0,9,100,0.0,0.8213298454528504,0.04441463708664054,0.034765307715337944,0.013932493701248485,0.7958410597726033,0.042546898446170045,0.032002020395995374,-0.003175315413193636
derived_8.0,1,125,0.0,0.8298607061001764,0.04334134897258995,0.03371584212061237,0.01865829016487388,0.767299424143049,0.04542369241311254,0.033371122651618436,0.004924600289592825
derived_8.0,8,125,0.0,0.8326434528796763,0.04298544873301525,0.033639945747506096,0.014068012530860655,0.794479494127658,0.04268853840898816,0.03170272510666475,-0.0015477756147692164
derived_8.0,0,150,0.0,0.8288830916943044,0.043465689548609986,0.033718926953765396,0.017942985437262582,0.7766933669067674,0.04449738784707096,0.03274220173804467,0.005534097625217234
derived_8.0,7,150,0.0,0.8407429822008023,0.04193236918418516,0.03265926484060199,0.013953320073621238,0.797156941085737,0.0424095613933892,0.031460910208211595,-0.0007678975263885051
derived_8.0,6,40,0.2,0.8162258167731369,0.04504456133459873,0.0350041038408218,0.017226642775294537,0.7679582322240728,0.04535934640455626,0.03379463239009696,0.0057418141835090895
