n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
55,0.8890353788953977,year_2019_stations_0_beta_0,station_time,2019,['Paradise_WA'],0.0,4258,365,0.05857479060856304,0.7655293505976702
55,0.8890353788953977,year_2019_stations_0_beta_0.2,station_time,2019,['Paradise_WA'],0.2,4258,365,0.059884981206843144,0.7826525762624994
55,0.8890353788953977,year_2019_stations_1_beta_0,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,3569,730,0.04896194474579963,0.5309980451734099
55,0.8890353788953977,year_2019_stations_1_beta_0.2,station_time,2019,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,3569,730,0.04946129963955561,0.5364136076844342
55,0.8890353788953977,year_2019_stations_2_beta_0,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.0,3566,689,0.1282847620600604,1.3047869028516381
55,0.8890353788953977,year_2019_stations_2_beta_0.2,station_time,2019,"['Darrington', 'MartenRidge_WA_999']",0.2,3566,689,0.1155489937819228,1.1752511467710578
55,0.8890353788953977,year_2019_stations_3_beta_0,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.0,3565,729,0.08561286405015925,1.5249960119544843
55,0.8890353788953977,year_2019_stations_3_beta_0.2,station_time,2019,"['Quinault', 'RainyPass_WA_711']",0.2,3565,729,0.08236249676133847,1.4670982040977716
55,0.8890353788953977,year_2020_stations_0_beta_0,station_time,2020,['Paradise_WA'],0.0,6406,366,0.08295931878409014,0.6850743527131783
55,0.8890353788953977,year_2020_stations_0_beta_0.2,station_time,2020,['Paradise_WA'],0.2,6406,366,0.08068658974969144,0.6663062577606949
55,0.8890353788953977,year_2020_stations_1_beta_0,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.0,5352,726,0.05524375377576227,0.4709183139397183
55,0.8890353788953977,year_2020_stations_1_beta_0.2,station_time,2020,"['BeaverPass_WA_990', 'CayusePass_WA']",0.2,5352,726,0.053451566962245,0.4556410466506001
55,0.8890353788953977,year_2020_stations_2_beta_0,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.0,5390,722,0.09498500573914904,0.9923916044883438
55,0.8890353788953977,year_2020_stations_2_beta_0.2,station_time,2020,"['Darrington', 'MartenRidge_WA_999']",0.2,5390,722,0.08425380866822978,0.880273383339457
55,0.8890353788953977,year_2020_stations_3_beta_0,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.0,5349,718,0.07088557478951488,0.983203981664251
55,0.8890353788953977,year_2020_stations_3_beta_0.2,station_time,2020,"['Quinault', 'RainyPass_WA_711']",0.2,5349,718,0.06724342124942116,0.9326862300189279
55,0.8890353788953977,year_2021_stations_0_beta_0,station_time,2021,['Paradise_WA'],0.0,8572,365,0.045216183991646584,0.456445888191923
55,0.8890353788953977,year_2021_stations_0_beta_0.2,station_time,2021,['Paradise_WA'],0.2,8572,365,0.04518627575950535,0.45614397218798786
