artifact_set,dataset,beta,relationship,spearman_rho,n_candidates
crossed_candidates_locked_outer,derived_8.0,0.0,full_train_aggregate_R2_vs_retrospective_R2,0.0945054945054945,14
crossed_candidates_locked_outer,derived_8.0,0.0,held_station_pooled_R2_vs_retrospective_R2,0.24835164835164836,14
crossed_candidates_locked_outer,derived_8.0,0.0,negative_held_station_ucb_vs_held_station_pooled_R2,0.9780219780219781,14
crossed_candidates_locked_outer,derived_8.0,0.0,negative_selector_combined_ucb_vs_full_train_aggregate_R2,-0.3054945054945055,14
crossed_candidates_locked_outer,derived_8.0,0.0,negative_selector_combined_ucb_vs_retrospective_R2,0.2,14
crossed_candidates_locked_outer,derived_8.0,0.2,full_train_aggregate_R2_vs_retrospective_R2,0.1252747252747253,14
crossed_candidates_locked_outer,derived_8.0,0.2,held_station_pooled_R2_vs_retrospective_R2,0.17362637362637365,14
crossed_candidates_locked_outer,derived_8.0,0.2,negative_held_station_ucb_vs_held_station_pooled_R2,0.9296703296703297,14
crossed_candidates_locked_outer,derived_8.0,0.2,negative_selector_combined_ucb_vs_full_train_aggregate_R2,-0.3406593406593406,14
crossed_candidates_locked_outer,derived_8.0,0.2,negative_selector_combined_ucb_vs_retrospective_R2,0.16483516483516483,14
crossed_candidates_locked_outer,derived_8.3,0.0,full_train_aggregate_R2_vs_retrospective_R2,0.6747252747252748,14
crossed_candidates_locked_outer,derived_8.3,0.0,held_station_pooled_R2_vs_retrospective_R2,0.5560439560439561,14
crossed_candidates_locked_outer,derived_8.3,0.0,negative_held_station_ucb_vs_held_station_pooled_R2,0.9868131868131869,14
crossed_candidates_locked_outer,derived_8.3,0.0,negative_selector_combined_ucb_vs_full_train_aggregate_R2,0.8153846153846154,14
crossed_candidates_locked_outer,derived_8.3,0.0,negative_selector_combined_ucb_vs_retrospective_R2,0.5516483516483517,14
crossed_candidates_locked_outer,derived_8.3,0.2,full_train_aggregate_R2_vs_retrospective_R2,0.5120879120879122,14
crossed_candidates_locked_outer,derived_8.3,0.2,held_station_pooled_R2_vs_retrospective_R2,0.5076923076923077,14
crossed_candidates_locked_outer,derived_8.3,0.2,negative_held_station_ucb_vs_held_station_pooled_R2,0.9692307692307693,14
crossed_candidates_locked_outer,derived_8.3,0.2,negative_selector_combined_ucb_vs_full_train_aggregate_R2,0.8593406593406594,14
