artifact_arm,dataset,model,beta,year,R2,RMSE,MAE,Bias
crossed,derived_8.0,2.0_global,0.0,2023,0.7883466249585324,0.0435698867147008,0.0309890226461876,0.0062486348761389
crossed,derived_8.0,2.0_global,0.0,2024,0.7503405463924854,0.0446270453463382,0.0344866298268644,0.0088353525044849
crossed,derived_8.0,2.0_global,0.0,2025,0.7502135079558898,0.049084582287674,0.0363382160022511,0.0018812715449594
crossed,derived_8.0,2.0_global,0.2,2023,0.7924763322852885,0.0431427325622161,0.0306850844331168,0.0058557886956333
crossed,derived_8.0,2.0_global,0.2,2024,0.7536804669879635,0.0443275320591119,0.0344029266510884,0.0081665726206243
crossed,derived_8.0,2.0_global,0.2,2025,0.7548096656270783,0.0486308989875034,0.0362039437519716,0.0027470201668325
crossed,derived_8.0,hand_mdr_v25,0.0,2023,0.8085742950670438,0.0414356312229458,0.0293708401729616,0.0003298843573149
crossed,derived_8.0,hand_mdr_v25,0.0,2024,0.8274653915607965,0.0370990029205222,0.0279767902967359,0.0013973220188347
crossed,derived_8.0,hand_mdr_v25,0.0,2025,0.8266252873812135,0.0408934265093122,0.028565187338381,-0.0094464082137971
crossed,derived_8.0,hand_mdr_v25,0.2,2023,0.8145673323577849,0.0407818529857904,0.0287855383642194,0.0007123557573528
crossed,derived_8.0,hand_mdr_v25,0.2,2024,0.8328994220041899,0.0365101067161435,0.0272384250522937,0.0008997291749304
crossed,derived_8.0,hand_mdr_v25,0.2,2025,0.8248562532266523,0.0411015256807108,0.0285364885061339,-0.0105798874450943
crossed,derived_8.3,2.0_global,0.0,2023,0.5393806339453621,0.0714495636692793,0.0531716730495164,-0.036421259752386
crossed,derived_8.3,2.0_global,0.0,2024,0.5611008633336211,0.0658871492442544,0.0469647107040761,-0.0276844509660593
crossed,derived_8.3,2.0_global,0.0,2025,0.6320548316949459,0.0636500078156988,0.0463298544447516,-0.0127918249308005
crossed,derived_8.3,2.0_global,0.2,2023,0.525809949278468,0.0724944406174456,0.0535525268160651,-0.0364924335387454
crossed,derived_8.3,2.0_global,0.2,2024,0.534141690013696,0.0678805382534349,0.0481427730352894,-0.0287556379162379
crossed,derived_8.3,2.0_global,0.2,2025,0.6250125620082346,0.0642562340579282,0.0461929955483489,-0.014498980266923
crossed,derived_8.3,V0,0.0,2023,0.6260062780857707,0.0643814331966845,0.046921422234298,-0.0245579268840643
crossed,derived_8.3,V0,0.0,2024,0.6079175836742432,0.0622740393749141,0.0440767768283752,-0.0157576006922568
crossed,derived_8.3,V0,0.0,2025,0.6951405670774546,0.0579370966332778,0.0447010824851993,-0.0010541507361104
crossed,derived_8.3,V0,0.2,2023,0.6051671974247582,0.066150799523098,0.0479101040822586,-0.0250750296608565
crossed,derived_8.3,V0,0.2,2024,0.6015191963713948,0.0627801076753742,0.0448339841073227,-0.0162490027236576
crossed,derived_8.3,V0,0.2,2025,0.6950351905525916,0.057947108923796,0.0438167000345231,-0.000438085928081
nested,derived_8.0,2.0_global,0.0,2023,0.7883466249585324,0.0435698867147008,0.0309890226461876,0.0062486348761389
nested,derived_8.0,2.0_global,0.0,2024,0.7503405463924854,0.0446270453463382,0.0344866298268644,0.0088353525044849
nested,derived_8.0,2.0_global,0.0,2025,0.7502135079558898,0.049084582287674,0.0363382160022511,0.0018812715449594
nested,derived_8.0,2.0_global,0.2,2023,0.7924763322852885,0.0431427325622161,0.0306850844331168,0.0058557886956333
nested,derived_8.0,2.0_global,0.2,2024,0.7536804669879635,0.0443275320591119,0.0344029266510884,0.0081665726206243
nested,derived_8.0,2.0_global,0.2,2025,0.7548096656270783,0.0486308989875034,0.0362039437519716,0.0027470201668325
nested,derived_8.0,hand_mdr_v25,0.0,2023,0.8085742950670438,0.0414356312229458,0.0293708401729616,0.0003298843573149
nested,derived_8.0,hand_mdr_v25,0.0,2024,0.8274653915607965,0.0370990029205222,0.0279767902967359,0.0013973220188347
