router_feature,in_nested_global,in_regime_0_expert,in_regime_1_expert
A_d_E_SAR_diff_kobs30,False,False,False
A_d_LST_modis_kobs30,True,True,True
A_d_SMAP_sm_interp_kobs30,False,False,False
A_d_s2_b11_kobs30,False,False,False
A_grad_E_SAR_diff_kobs30,False,False,False
A_grad_LST_modis_kobs30,True,True,True
A_grad_SMAP_sm_interp_kobs30,False,False,False
A_grad_s2_b11_kobs30,False,False,False
C_lag_F_NDVI_kobs30,False,False,False
D_sa_F_NDMI,False,False,False
D_sa_LST_modis,True,True,True
D_z_E_SAR_ratio,False,False,False
E_SAR_ratio,False,False,False
F_MSI,False,False,False
J_aspect_deg,False,False,False
J_bio_bio15,True,True,True
K_aspect_cos,False,False,False
K_aspect_sin,False,False,False
SMAP_sm_pm_interp_lag30,False,False,False
SMAP_sm_pm_interp_rollrange30,False,False,False
SMAP_x_year,False,False,False
V_ema_F_NDVI_kobs30,False,False,False
V_ema_LST_modis_kobs30,False,False,False
V_rollmax_G_API_kobs7,True,True,True
V_rollmean_F_NDMI_kobs30,False,False,False
V_rollmin_s2_b12_kobs30,False,False,False
V_rollrng_F_NDVI_kobs30,False,False,False
aspect,False,False,False
latitude,True,True,True
lia_std_asc_deg,False,False,False
s2_b8,False,False,False
slope,False,False,False
A_grad_LST_modis_kobs14,False,False,False
V_rollmax_E_SAR_ratio_kobs7,False,False,False
A_d_LST_modis_kobs14,False,False,False
J_clay_wfrac_b100,True,True,True
V_ema_G_API_kobs30,True,True,True
V_rollmin_G_API_kobs14,False,False,False
V_rollrng_LST_modis_kobs30,False,False,False
V_rollrng_G_API_kobs30,False,False,False
A_d_SMAP_sm_interp_kobs5,True,True,True
C_lag_F_NDMI_kobs30,False,False,False
V_rollrng_E_SAR_ratio_kobs30,True,True,True
J_bio_bio02,False,False,False
SMAP_sm_pm_interp_rollmean30,False,False,False
V_rollmax_E_SAR_ratio_kobs30,False,False,False
V_rollmax_G_API_kobs30,True,True,True
s2_b11,False,False,False
V_rollrng_F_NDVI_kobs14,False,False,False
V_ema_SMAP_sm_interp_kobs30,False,False,False
