dataset,station,last_development_observation,first_test_observation,return_gap_days,test_target_mean,test_target_standard_deviation,train_row_count,train_first_date,train_last_date,val_row_count,val_first_date,val_last_date,test_row_count,test_first_date,test_last_date
derived_8.0,Darrington,2022-12-31,2023-01-01,1,0.20422922922922923,0.09343116122790567,1377,2017-01-01,2020-12-31,671,2021-01-01,2022-12-31,999,2023-01-01,2025-12-31
derived_8.0,Quinault,2022-12-31,2023-01-01,1,0.2410258620689655,0.06940345358458443,1447,2017-01-01,2020-12-31,713,2021-01-01,2022-12-31,1044,2023-01-01,2025-12-31
derived_8.0,SourdoughGulch_WA_985,2022-12-31,2023-01-01,1,0.2381887417218543,0.08016483243232275,1461,2017-01-01,2020-12-31,729,2021-01-01,2022-12-31,906,2023-01-01,2025-06-24
derived_8.0,Spokane,2022-11-15,2023-01-14,60,0.15959308807134895,0.11485446404947203,1186,2017-03-09,2020-12-24,607,2021-01-05,2022-11-15,897,2023-01-14,2025-12-29
derived_8.0,Touchet_WA_824,2020-10-28,2024-10-04,1437,0.19887058823529416,0.029957337600737613,1397,2017-01-01,2020-10-28,0,,,170,2024-10-04,2025-03-22
derived_8.3,BeaverPass_WA_990,2022-12-31,2023-01-01,1,0.23447923322683706,0.0911125960545272,1459,2017-01-01,2020-12-31,726,2021-01-01,2022-12-31,626,2023-01-01,2025-12-31
derived_8.3,CayusePass_WA,2022-12-31,2023-01-01,1,0.18881776133209993,0.11943179963127902,1414,2017-01-01,2020-12-31,628,2021-01-01,2022-12-31,1081,2023-01-01,2025-12-31
derived_8.3,Darrington,2022-12-31,2023-01-01,1,0.20422922922922923,0.09343116122790567,1377,2017-01-01,2020-12-31,671,2021-01-01,2022-12-31,999,2023-01-01,2025-12-31
derived_8.3,MartenRidge_WA_999,2022-12-31,2023-01-01,1,0.18623417721518987,0.10745482228321798,1454,2017-01-01,2020-12-31,713,2021-01-01,2022-12-31,790,2023-01-01,2025-03-22
derived_8.3,Paradise_WA,2022-12-31,2023-01-01,1,0.16973383317713214,0.09841592784423522,1459,2017-01-01,2020-12-31,730,2021-01-01,2022-12-31,1067,2023-01-01,2025-12-31
derived_8.3,Quinault,2022-12-31,2023-01-01,1,0.2410258620689655,0.06940345358458443,1447,2017-01-01,2020-12-31,713,2021-01-01,2022-12-31,1044,2023-01-01,2025-12-31
derived_8.3,RainyPass_WA_711,2022-12-31,2023-01-01,1,0.11095334685598378,0.07466173789452946,1421,2017-01-01,2020-12-31,701,2021-01-01,2022-12-31,986,2023-01-01,2025-12-31
derived_8.3,SourdoughGulch_WA_985,2022-12-31,2023-01-01,1,0.2381887417218543,0.08016483243232275,1461,2017-01-01,2020-12-31,730,2021-01-01,2022-12-31,906,2023-01-01,2025-06-24
derived_8.3,Spokane,2022-11-15,2023-01-14,60,0.15959308807134895,0.11485446404947203,1186,2017-03-09,2020-12-24,607,2021-01-05,2022-11-15,897,2023-01-14,2025-12-29
