artifact_arm,dataset,model,beta,station,test_row_count,test_target_mean,test_target_standard_deviation,R2,RMSE,MAE,Bias,Pearson
crossed,derived_8.0,2.0_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8810339110178272,0.0322257726438662,0.0253731269686668,-0.0152694863346484,0.954666375053338
crossed,derived_8.0,2.0_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.4801684368434501,0.0500394358371907,0.0405005893832879,0.0380592997786642,0.8839070620606704
crossed,derived_8.0,2.0_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.4702185506524295,0.0583488448576923,0.0419804623402638,-0.0019766836398616,0.7424211303051337
crossed,derived_8.0,2.0_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.8867424635028948,0.0386528423160187,0.0278992410377249,-0.0011637723013974,0.945449459568243
crossed,derived_8.0,2.0_global,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-1.15582174483222,0.0439855105965216,0.0335734780437806,0.0107164610932855,-0.0373635284728422
crossed,derived_8.0,hand_mdr_v25,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8899744172255055,0.030991213747315,0.0239731935188696,-0.0158800397937123,0.9592126160126306
crossed,derived_8.0,hand_mdr_v25,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.7888837596623488,0.0318890736458802,0.0249923633680718,0.0140607853756782,0.9113848557289704
crossed,derived_8.0,hand_mdr_v25,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.414298584875729,0.0613510536532523,0.0455851892001318,-0.002456416713744,0.6840883856347006
crossed,derived_8.0,hand_mdr_v25,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9385373255197794,0.0284743360802514,0.0223261613613254,-0.0053459512562789,0.9756546185539056
crossed,derived_8.0,hand_mdr_v25,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-0.1271049991866024,0.0318042678029286,0.0205369189311476,-0.0068515771353946,0.2325253051720951
crossed,derived_8.3,2.0_global,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.4508605515292446,0.0675180269626357,0.0596601529136633,-0.0578497206589665,0.9330943190849352
crossed,derived_8.3,2.0_global,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.6408347399703629,0.0715759528163159,0.0574007866065552,-0.0146767381786417,0.8148775210184466
crossed,derived_8.3,2.0_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.7529540263974418,0.0464387623388808,0.0384394137418425,-0.0326354601913624,0.950591550767828
crossed,derived_8.3,2.0_global,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.4455200008807602,0.1291926964750089,0.1027655634536018,-0.1010928958277159,0.6725273544400057
crossed,derived_8.3,2.0_global,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.6767763968006366,0.0559521687695746,0.0449148372400555,-0.0280149469896243,0.884455527425155
crossed,derived_8.3,2.0_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.7591638270609347,0.0340597880117417,0.0270677127708534,0.0160606111072831,0.9031448196275076
crossed,derived_8.3,2.0_global,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,-0.0742829868442565,0.0773851170319792,0.0614795687409612,-0.0380857395216006,0.4324979256552803
crossed,derived_8.3,2.0_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.4067529437034679,0.0617449843752658,0.0447877208314852,-0.0041271076784623,0.7068495956358205
crossed,derived_8.3,2.0_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9608396455389556,0.0227285215561274,0.0172716868486558,-0.0055912826202784,0.9839299126731684
crossed,derived_8.3,V0,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.609967385486564,0.0569021771276969,0.0450297360756336,-0.0344557078293146,0.8755782012148368
crossed,derived_8.3,V0,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.7024077808212159,0.0651524516210737,0.0527042414930327,0.0041246789231772,0.850006059336784
crossed,derived_8.3,V0,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8166170801758744,0.0400102429254521,0.0323530239799359,-0.0229474768340885,0.9440048269336084
crossed,derived_8.3,V0,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.1608295283526963,0.1157737587986216,0.0876311143843433,-0.0746136269803288,0.5900676272615611
crossed,derived_8.3,V0,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.7391201080286245,0.0502673156935357,0.0410422667004621,-0.0122201118358631,0.8739949797809818
crossed,derived_8.3,V0,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.712704848582355,0.0372001961823544,0.0293682976537509,0.0192064396007079,0.8885802391303184
crossed,derived_8.3,V0,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0072001836279583,0.0743924632006575,0.061506400310304,-0.0279665303384435,0.3977937331394613
crossed,derived_8.3,V0,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5226307164897269,0.0553874185612526,0.0405300503354725,-0.0037751666833759,0.7577012734972592
crossed,derived_8.3,V0,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9185411474675288,0.0327806094520234,0.0242419814549162,-0.0016945602018033,0.9600301550581422
nested,derived_8.0,2.0_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8810339110178272,0.0322257726438662,0.0253731269686668,-0.0152694863346484,0.954666375053338
nested,derived_8.0,2.0_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.4801684368434501,0.0500394358371907,0.0405005893832879,0.0380592997786642,0.8839070620606704
nested,derived_8.0,2.0_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.4702185506524295,0.0583488448576923,0.0419804623402638,-0.0019766836398616,0.7424211303051337
nested,derived_8.0,2.0_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.8867424635028948,0.0386528423160187,0.0278992410377249,-0.0011637723013974,0.945449459568243
nested,derived_8.0,2.0_global,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-1.15582174483222,0.0439855105965216,0.0335734780437806,0.0107164610932855,-0.0373635284728422
nested,derived_8.0,hand_mdr_v25,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8899744172255055,0.030991213747315,0.0239731935188696,-0.0158800397937123,0.9592126160126306
nested,derived_8.0,hand_mdr_v25,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.7888837596623488,0.0318890736458802,0.0249923633680718,0.0140607853756782,0.9113848557289704
nested,derived_8.0,hand_mdr_v25,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.414298584875729,0.0613510536532523,0.0455851892001318,-0.002456416713744,0.6840883856347006
nested,derived_8.0,hand_mdr_v25,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9385373255197794,0.0284743360802514,0.0223261613613254,-0.0053459512562789,0.9756546185539056
nested,derived_8.0,hand_mdr_v25,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-0.1271049991866024,0.0318042678029286,0.0205369189311476,-0.0068515771353946,0.2325253051720951
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.4336485556434866,0.068567991348611,0.0612906285427248,-0.0548615270344593,0.892337526417338
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.5502780278559066,0.080092533151756,0.0616837972810045,0.0094588513796137,0.7489646437173181
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8815521029904438,0.0321555116095776,0.0254079771117047,-0.0097982191705369,0.9493279090067048
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.5678083986914859,0.134546499607007,0.1075529080243804,-0.1040776825120931,0.6379875476435958
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.68286404964491,0.0554227574394818,0.0417211251021995,-0.0201157427327925,0.8541675281617748
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.480842730348065,0.0500069712680615,0.0418168810938281,0.0367606712595713,0.8736533206073296
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,RainyPass_WA_711,986,0.11095334685598378,0.07466173789452946,0.0235670725033754,0.0737767131496158,0.0599309168447103,-0.0212671141867463,0.3491139526083487
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.5555651311921752,0.0534426458964686,0.0382958282444782,0.0035146406719884,0.7804194857090092
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.8949608889936528,0.0372240307527774,0.0256980278096603,0.0004204718202119,0.94774593901352
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,BeaverPass_WA_990,626,0.23447923322683706,0.0911125960545272,0.4336485556434866,0.068567991348611,0.0612906285427248,-0.0548615270344593,0.892337526417338
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,CayusePass_WA,1081,0.18881776133209993,0.11943179963127902,0.5502780278559066,0.080092533151756,0.0616837972810045,0.0094588513796137,0.7489646437173181
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8815521029904438,0.0321555116095776,0.0254079771117047,-0.0097982191705369,0.9493279090067048
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,MartenRidge_WA_999,790,0.18623417721518987,0.10745482228321798,-0.5678083986914859,0.134546499607007,0.1075529080243804,-0.1040776825120931,0.6379875476435958
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,Paradise_WA,1067,0.16973383317713214,0.09841592784423522,0.68286404964491,0.0554227574394818,0.0417211251021995,-0.0201157427327925,0.8541675281617748
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.480842730348065,0.0500069712680615,0.0418168810938281,0.0367606712595713,0.8736533206073296
