model_architecture,seed,mean_orig_pred,mean_overridden_pred,mean_abs_diff,max_abs_diff,mean_diff_sandy_stations,pct_change_sandy_stations
d80_no_weights,101,0.18391973,0.18391985,2.0245712e-07,1.0743737e-05,1.8643009e-07,0.00010193091
d80_no_weights,123,0.16259232,0.16255036,4.1933854e-05,0.00048166513,-6.988976e-05,-0.04302339
d80_no_weights,13,0.13339776,0.13302968,0.00036808365,0.0019040182,-0.0006134728,-0.45968294
d80_no_weights,42,0.15026931,0.15022968,4.738172e-05,0.00039991736,-6.605519e-05,-0.04447244
d80_no_weights,7,0.16942489,0.1694316,6.6993634e-06,0.0010049045,1.1165605e-05,0.0065757893
d80_weighted,101,0.10049484,0.10063607,0.00014123392,0.0024958998,0.00023538987,0.2406413
d80_weighted,123,0.1022415,0.10223372,7.780194e-06,0.00020837039,-1.2966991e-05,-0.012879066
d80_weighted,13,0.09957368,0.09957219,1.4980634e-06,5.364418e-05,-2.4924675e-06,-0.002579843
d80_weighted,42,0.10157999,0.10157814,1.8415849e-06,2.1249056e-05,-3.0693081e-06,-0.003109518
d80_weighted,7,0.10839668,0.10839602,6.75718e-07,1.014024e-05,-1.1261966e-06,-0.0010520217
d84_no_weights,101,0.15755768,0.15691167,0.0007458083,0.0031861365,-0.0010766751,-0.6913345
d84_no_weights,123,0.15849109,0.15883036,0.00041746537,0.0028199852,0.00056547124,0.3549243
d84_no_weights,13,0.16166367,0.16148053,0.00042096735,0.0020774305,-0.000305195,-0.19092728
d84_no_weights,42,0.1378037,0.1365412,0.0012738814,0.0044153035,-0.0021041834,-1.5552949
d84_no_weights,7,0.17410354,0.17325208,0.0011344962,0.0054183304,-0.001419127,-0.80993444
d84_weighted,101,0.13401791,0.13393627,0.00027666218,0.0012265146,-0.00013604839,-0.10244255
d84_weighted,123,0.12476809,0.12456613,0.00021708856,0.0011815056,-0.00033660152,-0.269535
d84_weighted,13,0.11330813,0.11330304,0.0004958567,0.0054880753,-8.471993e-06,-0.007552995
d84_weighted,42,0.12981829,0.12956457,0.00028444277,0.0020822957,-0.00042288366,-0.3277026
d84_weighted,7,0.1424482,0.14237593,0.0005022924,0.0044676512,-0.00012044058,-0.08515483
