category,attribute,ECE_BBG_Main_St,ECE_BBG_Lost_Meadow,ECE_Renton_Garden_North,ECE_Renton_Garden_Shed,ECE_Renton_Home,scale_and_source
1. Siting & Hardware,Site Micro-Habitat,Main Lawn Turf (Open Sun),Forest Canopy Trail (High Shade),"Garden Bed (Shaded, Compost)",Garden Shed (Eaves Rain Shadow),Residential Backyard (Compacted Turf),Field Notes & In-Situ Deployment
1. Siting & Hardware,Device ID / Hardware Node,Device 8 (IoT Probe),Device 10 (IoT Probe),Device 9 (IoT Probe),Device 12 (IoT Probe),Device 11 (IoT Probe),ECE Custom IoT Hardware
1. Siting & Hardware,GPS Latitude & Longitude,"47.6098°N, -122.1825°W","47.6072°N, -122.1795°W","47.4963°N, -122.1406°W","47.4958°N, -122.1408°W","47.4887°N, -122.1447°W",Sub-meter GPS
1. Siting & Hardware,Distance to Nearest Sensor,363.9 m (to Lost Meadow),363.9 m (to Main St),53.4 m (to Shed),53.4 m (to North),838.8 m (to Shed),Haversine Geodesic Distance
2. Ground Truth Target,Soil Moisture (Mean ± Std),0.0556 ± 0.0057 (5.56%),0.0580 ± 0.0078 (5.80%),0.1549 ± 0.0264 (15.49%),0.0758 ± 0.0046 (7.58%),0.0179 ± 0.0025 (1.79%),In-Situ Ground Truth (2.04× Diff at 53m!)
2. Ground Truth Target,"Moisture Dynamic Range [Min, Max]","[0.0485, 0.0645]","[0.0464, 0.0860]","[0.1205, 0.2151]","[0.0650, 0.0858]","[0.0145, 0.0256] (Hits 0.0%!)",30-Day Extrema (m³/m³)
2. Ground Truth Target,Target Variance Var(y),3.25e-05 m⁶/m⁶,6.03e-05 m⁶/m⁶,6.94e-04 m⁶/m⁶,2.11e-05 m⁶/m⁶,6.43e-06 m⁶/m⁶,Variance Compression Denominator
2. Ground Truth Target,"Raw ADC Value [Min, Max]","[9,729, 11,981] counts","[5,194, 12,363] counts","[5,567, 11,690] counts","[9,420, 11,735] counts","[10,395, 12,174] counts",12-bit ADC Sensor Counts
3. Dynamic Weather,Daily Precip precip_mm (30-day Mean),0.4633 mm,0.4633 mm (Identical),0.6967 mm,0.6967 mm (Identical),0.6767 mm (0.68 mm),Open-Meteo ERA5 (~11 km)
3. Dynamic Weather,3-Day Cumulative Rain G_rain_sum_3d,1.85 mm,1.85 mm (Identical),2.79 mm,2.79 mm (Identical),2.71 mm (0.42 mm),Weather Aggregation (~11 km)
3. Dynamic Weather,7-Day Cumulative Rain G_rain_sum_7d,3.44 mm,3.44 mm (Identical),5.29 mm,5.29 mm (Identical),5.11 mm (5.11 mm),Weather Aggregation (~11 km)
3. Dynamic Weather,Antecedent Index G_API (30-day Mean),4.20 mm,4.20 mm (Identical),6.38 mm,6.38 mm (Identical),6.17 mm (6.17 mm),Hydrological Memory Index
3. Dynamic Weather,Days Since Last Rain G_DSLR,3.9 days,3.9 days (Identical),6.3 days,6.3 days (Identical),3.9 days (3.9 days),Drought Persistence Index
4. Satellite Thermal & Optical,Day LST Kelvin LST_modis,299.00 K (25.8°C),298.71 K (25.6°C),300.01 K (26.9°C),300.04 K (26.9°C),299.89 K (26.7°C),"MODIS Thermal Grid (1,000 m)"
4. Satellite Thermal & Optical,Red Band Surface Reflectance s2_b4,0.1071,0.0948,0.0760,0.0769 (Identical),0.0798,Sentinel-2 Optical (10 m)
4. Satellite Thermal & Optical,Near-Infrared Reflectance s2_b8,0.2582,0.2713,0.2661,0.2642,0.2364,Sentinel-2 Optical (10 m)
4. Satellite Thermal & Optical,Shortwave Infrared SWIR-1 s2_b11,0.1901,0.1869,0.1896,0.1899,0.1769,Sentinel-2 Optical (20 m)
4. Satellite Thermal & Optical,Shortwave Infrared SWIR-2 s2_b12,0.1322,0.1232,0.1203,0.1213,0.1203,Sentinel-2 Optical (20 m)
4. Satellite Thermal & Optical,Optical Vegetation Index F_NDVI,0.4142,0.4827,0.5555,0.5489,0.4954,Canopy Greenness Index (10 m)
4. Satellite Thermal & Optical,Moisture Stress Index F_MSI,0.7363,0.6887,0.7125,0.7188,0.7482,Foliage Water Stress (20 m)
4. Satellite Thermal & Optical,Water Index F_NDMI,0.1519,0.1844,0.1679,0.1636,0.1440,Canopy Moisture Content (20 m)
5. Satellite SAR,Sentinel-1 VV Backscatter s1_vv,0.1428,0.1261,0.1146,0.1147 (Diff 0.0001),0.1222,Sentinel-1 SAR C-band (30 m)
5. Satellite SAR,Sentinel-1 VH Backscatter s1_vh,0.0248,0.0235,0.0223,0.0222,0.0229,Sentinel-1 SAR Cross-Pol (30 m)
5. Satellite SAR,SAR Cross-Pol Ratio (VH / VV),0.1740,0.1863,0.1949,0.1937,0.1879,Vegetation Volume Scattering
6. Static Topography,Elevation elev (m above sea level),41.0 m,38.0 m,152.5 m,152.5 m (Diff 0.01m),141.6 m,SRTM DEM Grid (30 m)
6. Static Topography,Slope slope (degrees),5.2°,5.6°,4.1°,4.0° (Diff 0.11°),3.3°,SRTM Slope Grid (30 m)
6. Static Topography,Aspect aspect (compass degrees),173.6° (SW),178.0° (W),169.1° (SSE),170.5° (S),185.0° (SE),SRTM Aspect Grid (30 m)
7. Static Soil Texture,Topsoil (0cm) Clay J_clay_wfrac_b0,16.0%,19.0%,21.0%,21.0% (Identical),17.0%,OpenLandMap / SoilGrids (250 m)
7. Static Soil Texture,Subsoil (30cm) Clay J_clay_wfrac_b30,16.0%,20.0%,23.0%,23.0% (Identical),22.0%,OpenLandMap / SoilGrids (250 m)
7. Static Soil Texture,Topsoil (0cm) Sand J_sand_wfrac_b0,47.0%,45.0%,40.0%,40.0% (Identical),44.0%,OpenLandMap / SoilGrids (250 m)
8. Static Bioclimatic,BIO01: Annual Mean Temperature,11.0°C,11.0°C,10.3°C,10.3°C (Identical),10.4°C,"WorldClim Historical (1,000 m)"
8. Static Bioclimatic,BIO05: Max Temp of Warmest Month,24.2°C,24.3°C,23.7°C,23.7°C (Identical),23.9°C,"WorldClim Historical (1,000 m)"
8. Static Bioclimatic,BIO06: Min Temp of Coldest Month,1.5°C,1.4°C,0.8°C,0.8°C (Identical),0.9°C,"WorldClim Historical (1,000 m)"
8. Static Bioclimatic,BIO12: Annual Precipitation,1018 mm,1019 mm (Diff 1mm),1227 mm,1227 mm (Identical),1181 mm,"WorldClim Historical (1,000 m)"
8. Static Bioclimatic,BIO15: Precipitation Seasonality (CV),53%,53%,50%,50% (Identical),50%,"WorldClim Historical (1,000 m)"
8. Static Bioclimatic,BIO18: Precipitation of Warmest Qtr,101 mm,101 mm,128 mm,128 mm (Identical),122 mm,"WorldClim Historical (1,000 m)"
9. Model Evaluation,Predicted Mean (d84_weighted),0.1229,0.1302,0.1311,0.1311,0.1290,Invariant Fallback (~0.123-0.131)
9. Model Evaluation,Systematic Model Bias (Mean Error),+0.0673,+0.0722,-0.0238,+0.0553,+0.1112,Station Systematic Offset
9. Model Evaluation,Physical Error RMSE (m³/m³),0.0699,0.0751,0.0371,0.0586,0.1130,Absolute Physical Error
9. Model Evaluation,Nash-Sutcliffe Efficiency R²,-149.54,-92.44,-0.99,-161.29,-1984.98,Variance Compression Metric
