station_type,station_id,elevation_m,annual_precip_mm,annual_temp_c,overall_mean_sm,overall_std_sm,summer_jul_aug_mean_sm,summer_jul_aug_std_sm,summer_min_sm,summer_max_sm,dominant_landcover,soil_texture_profile
WA Training Reference (SNOTEL/SCAN),BeaverPass_WA_990,1205.0942147662715,1269,43,0.27725613660619,0.09994680361165291,0.17871069182389937,0.10719288821840937,0.019,0.374,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
WA Training Reference (SNOTEL/SCAN),CayusePass_WA,1516.732609279086,2435,34,0.19604034582132562,0.1138280575555776,0.08064102564102565,0.08613477199123218,0.001,0.399,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
WA Training Reference (SNOTEL/SCAN),Darrington,216.30902463997063,2015,98,0.21923235969806365,0.10451747850155166,0.08068996415770609,0.04792362572564508,0.023,0.255,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
WA Training Reference (SNOTEL/SCAN),Paradise_WA,1489.172638937554,2728,35,0.18279668304668306,0.10469312834486795,0.08210586011342154,0.09619222067229116,0.002,0.395,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
WA Training Reference (SNOTEL/SCAN),Quinault,96.39210263342626,3349,94,0.21462359550561796,0.07464846129914698,0.12398372513562388,0.060723727746742825,0.016,0.279,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
WA Training Reference (SNOTEL/SCAN),SourdoughGulch_WA_985,1160.5260591201816,569,74,0.239030029060381,0.09578328016654565,0.14322379032258065,0.07536009392317317,0.052,0.369,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
WA Training Reference (SNOTEL/SCAN),Spokane,697.312512906254,432,84,0.16833494423791823,0.11073518680770764,0.042643369175627235,0.0333660410272891,0.014,0.211,Natural Forest / Mountain Slope,Undisturbed native mineral soil (HydraProbe calibrated)
ECE In-Situ Sensor Deployment,ECE_BBG_Lost_Meadow,38.03385342167546,1019,110,0.057990860270424695,0.00776427955719253,0.057990860270424695,0.00776427955719253,0.046370032051282,0.0859767857142857,Garden Bed / Urban Built-up / Turf,Compost / mulch / compacted residential turf (Custom IoT probe)
ECE In-Situ Sensor Deployment,ECE_BBG_Main_St,40.96461756157264,1018,110,0.055621453795097656,0.005697456477023164,0.055621453795097656,0.005697456477023164,0.0485485887096774,0.0644576530612244,Garden Bed / Urban Built-up / Turf,Compost / mulch / compacted residential turf (Custom IoT probe)
ECE In-Situ Sensor Deployment,ECE_Renton_Garden_North,152.51396980363788,1227,103,0.15489019980692934,0.026351851100299577,0.15489019980692934,0.026351851100299577,0.1204649456521739,0.2150854066985645,Garden Bed / Urban Built-up / Turf,Compost / mulch / compacted residential turf (Custom IoT probe)
ECE In-Situ Sensor Deployment,ECE_Renton_Garden_Shed,152.5205791853259,1227,103,0.07583019097529105,0.00459644702571507,0.07583019097529105,0.00459644702571507,0.0649549520766773,0.0857529629629629,Garden Bed / Urban Built-up / Turf,Compost / mulch / compacted residential turf (Custom IoT probe)
ECE In-Situ Sensor Deployment,ECE_Renton_Home,141.63701634839785,1181,104,0.017857265277662755,0.002535190287764854,0.017857265277662755,0.002535190287764854,0.0145191111111111,0.0256447439353099,Garden Bed / Urban Built-up / Turf,Compost / mulch / compacted residential turf (Custom IoT probe)
