feature,support,consensus_rank,mi_rank,seed_frequency,gain_rank,residual_rank,gain,residual_association
V_rollmin_F_NDVI_kobs30,4,39.25,16.0,7,55,60,0.002258669352158904,0.14149309002564853
V_rollmin_s2_b11_kobs30,4,40.0,11.0,7,54,67,0.0023241143207997084,0.1318533866216393
V_rollrng_F_NDVI_kobs30,4,50.5,108.0,6,31,24,0.004764930810779333,0.22905651084448025
J_bio_bio07,4,83.25,255.0,4,4,26,0.06141373887658119,0.2232901222645414
lia_mean_asc_deg,4,88.75,282.0,7,5,38,0.03372126817703247,0.20511496373380006
elev,4,93.5,263.0,3,17,8,0.011575983837246895,0.29160252297560735
J_bio_bio04,4,95.0,279.0,3,3,28,0.0639275535941124,0.22239340155006326
J_bio_bio14,4,96.0,283.0,4,15,37,0.011737782508134842,0.2067205113770452
slope,4,107.75,274.0,4,45,55,0.0028446977958083153,0.1584939400776476
J_bio_bio06,4,108.5,298.0,1,10,3,0.01763950288295746,0.349550448418645
longitude,4,109.5,267.0,1,8,27,0.028447289019823074,0.2232901222645414
V_rollmax_F_NDMI_kobs30,3,42.75,7.0,7,39,102,0.003461690852418542,0.0879741007493888
V_rollmin_F_NDVI_kobs14,3,56.75,43.0,4,58,72,0.00218982738442719,0.12578575670236283
V_rollmax_G_API_kobs30,3,61.25,37.0,5,26,138,0.005814431235194206,0.07370681485321748
C_lag_F_NDMI_kobs30,3,62.5,74.0,9,25,142,0.006120478268712759,0.07291678168655738
V_rollrng_E_SAR_diff_kobs30,3,64.5,45.0,7,119,65,0.001116146449930966,0.13575542137400573
V_rollmin_G_API_kobs30,3,67.75,26.0,7,1,217,0.16452385485172272,0.04529566577828299
V_rollmax_E_SAR_ratio_kobs30,3,74.25,12.0,8,47,221,0.0027108932845294476,0.04433856963516317
V_rollmin_E_SAR_diff_kobs30,3,74.25,4.0,7,41,227,0.0031662974506616592,0.04349527692447061
V_rollmin_LST_modis_kobs30,3,80.25,1.0,12,2,315,0.08435176312923431,0.015862139078561554
C_lag_E_SAR_ratio_kobs30,3,80.75,52.0,5,64,166,0.0018408587202429771,0.06403942568171786
F_MSI,3,83.75,70.0,2,42,125,0.003074045293033123,0.07831467628549052
V_rollmin_F_NDMI_kobs30,3,84.5,14.0,4,29,242,0.00526835210621357,0.0361520427862291
V_ema_G_API_kobs30,3,85.0,136.0,9,22,171,0.006982254330068827,0.06335205523249433
V_rollmax_F_NDVI_kobs30,3,87.25,8.0,10,24,310,0.006213546730577946,0.016185485639488875
V_rollmax_F_NDVI_kobs14,3,88.5,32.0,9,62,248,0.002067479770630598,0.03260625031341659
V_rollmax_LST_modis_kobs30,3,89.5,2.0,8,48,290,0.002651045797392726,0.020815927191328232
D_sin_DOY,3,89.75,243.0,11,23,88,0.00638421019539237,0.10104385730244177
V_ema_F_NDVI_kobs30,3,93.25,159.0,4,65,99,0.0018181696068495512,0.08863544924903155
DOY,3,96.25,116.0,11,19,246,0.008465399034321308,0.03301635249223429
V_rollmean_F_NDMI_kobs30,3,96.5,141.0,6,69,139,0.0017033760668709874,0.07361601832110713
D_z_E_SAR_ratio,3,96.75,72.0,3,50,199,0.002551757264882326,0.0527620940776359
V_rollmin_G_API_kobs14,3,97.0,84.0,8,36,249,0.0037686044815927744,0.03223715683356888
V_rollrng_F_NDVI_kobs14,3,98.25,149.0,2,85,50,0.001469306298531592,0.18063539883208315
C_lag_LST_modis_kobs30,3,101.0,15.0,12,6,381,0.030568698421120644,0.00463608784534078
V_rollmean_G_API_kobs30,3,102.75,140.0,3,7,185,0.02846953086555004,0.05768257411942631
V_rollmax_G_API_kobs14,3,104.0,87.0,3,44,210,0.002903303364291787,0.046905372293548776
V_ema_LST_modis_kobs30,3,108.0,109.0,8,9,298,0.021447138860821724,0.019354463857980612
D_sa_LST_modis,3,118.0,105.0,2,217,56,0.0004782872274518013,0.15623662496107302
V_rollmax_G_API_kobs7,3,118.0,138.0,3,38,220,0.003613006789237261,0.04443755133739209
V_ema_E_SAR_ratio_kobs30,3,120.5,204.0,5,46,190,0.002734177513048053,0.05678668969724783
V_ema_G_API_kobs14,3,120.75,176.0,3,28,206,0.005278898403048515,0.048145940203292374
s2_b8,3,124.0,123.0,9,53,307,0.002334888791665435,0.016464486058758568
API_x_year,3,124.25,296.0,9,37,156,0.0037220760714262724,0.06836034916496213
G_rain_sum_30d,3,127.0,151.0,3,33,256,0.004131106659770012,0.027024781627268193
J_bio_bio03,3,128.5,,3,20,14,0.008304016664624214,0.2878601434027631
D_z_LST_modis,3,129.5,94.0,2,271,57,0.00028353038942441344,0.15417780943967324
V_rollmean_LST_modis_kobs30,3,130.5,127.0,3,12,303,0.015394083224236965,0.01798969948206559
C_lag_G_API_kobs30,3,133.0,257.0,1,27,128,0.00558342132717371,0.07675465066893965
V_rollstd_F_NDVI_kobs30,3,133.25,,4,43,23,0.0029375688172876835,0.24528466028991877
G_API,3,134.75,236.0,4,67,189,0.0017271373653784394,0.056809244901666396
J_bio_bio11,3,139.5,271.0,0,16,2,0.01157929003238678,0.3803626346977851
K_aspect_cos,3,140.5,297.0,3,187,7,0.0006225681281648576,0.29830052539802165
latitude,3,142.25,253.0,8,40,255,0.003339525079354644,0.02724994881686897
V_rollmean_G_API_kobs14,3,144.5,190.0,1,21,236,0.007948015816509724,0.038956988059435704
lia_std_asc_deg,3,145.5,284.0,2,63,123,0.001999896252527833,0.07956281252161435
J_bio_bio08,3,147.5,292.0,0,30,1,0.004787351470440626,0.3803626346977851
D_cos_DOY,3,149.5,294.0,9,18,276,0.008518110029399395,0.023330864995463364
J_bio_bio01,3,149.5,281.0,0,13,39,0.013785500079393387,0.20010683209920346
year_frac,3,158.75,,2,49,59,0.0025670225732028484,0.15246621643270356
aspect,3,170.25,264.0,2,32,274,0.00475997943431139,0.024292089321007244
J_aspect_deg,3,177.25,268.0,6,14,393,0.012542753480374813,0.0020789320838048814
J_bio_bio13,3,199.25,260.0,1,382,30,0.0,0.22239340155006326
J_bio_bio19,3,202.25,288.0,2,387,34,0.0,0.22239340155006326
V_rollmin_E_SAR_ratio_kobs30,2,60.0,3.0,6,92,107,0.0013660021359100938,0.08660305344279946
V_rollmin_s2_b12_kobs30,2,62.25,17.0,4,73,104,0.0016778982244431973,0.08735897321897063
V_rollmax_F_NDMI_kobs14,2,64.75,19.0,5,77,120,0.0015792886260896921,0.08328052424604249
C_lag_F_NDVI_kobs30,2,71.25,83.0,13,100,101,0.001284669735468924,0.08847792682737113
V_rollmin_s2_b11_kobs14,2,73.25,40.0,3,91,79,0.0013986551202833652,0.11547776037352223
