model_id,feature_size,before_model_id,after_model_id,seed,split,dataset,window,rmse_before,rmse_after,rmse_change_after_minus_before,rmse_effect,rmse_effect_pct,pearson_before,pearson_after,pearson_change,diff_pearson_before,diff_pearson_after,diff_pearson_change
Global_Single_40_no_smap_fs40,40,Global_Single_54_no_smap,Global_Single_40_no_smap_fs40,7,ECE spatial,ece_spatial,spatial_ece_v3_full,0.05657252114316882,0.05166253140578694,-0.004909989737381874,0.004909989737381874,8.679107167517069,-0.024970665786892228,0.020152213705289974,0.0451228794921822,-0.04152809140105351,-0.05879511079939548,-0.017267019398341965
Global_Single_40_no_smap_fs40,40,Global_Single_54_no_smap,Global_Single_40_no_smap_fs40,7,WA temporal,wa_temporal,temporal_full,0.05064259512470293,0.048935305146783306,-0.001707289977919621,-0.001707289977919621,-3.371252941749075,0.8696875184511345,0.8826478832881943,0.012960364837059868,0.37287274230972467,0.3488029113245708,-0.02406983098515386
Global_Single_40_no_smap_fs40,40,Global_Single_54_no_smap,Global_Single_40_no_smap_fs40,13,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057843545778144066,0.05100514863917878,-0.006838397138965287,0.006838397138965287,11.82223020212766,-0.03342179280984729,0.04564444129794822,0.07906623410779551,-0.07764845012502827,-0.07861895045272266,-0.0009705003276943847
Global_Single_40_no_smap_fs40,40,Global_Single_54_no_smap,Global_Single_40_no_smap_fs40,13,WA temporal,wa_temporal,temporal_full,0.05048525560927242,0.04880889996739103,-0.0016763556418813857,-0.0016763556418813857,-3.320485598518979,0.870600637093967,0.8833972682858874,0.012796631191920427,0.3732945043546627,0.35147414001056326,-0.021820364344099452
Global_Single_40_no_smap_fs40,40,Global_Single_54_no_smap,Global_Single_40_no_smap_fs40,42,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.05123841470713222,-0.0060813197082237175,0.0060813197082237175,10.609469444077769,-0.03341649029599605,0.07477771928862485,0.10819420958462089,-0.019026097824807273,-0.07531417504716237,-0.0562880772223551
Global_Single_40_no_smap_fs40,40,Global_Single_54_no_smap,Global_Single_40_no_smap_fs40,42,WA temporal,wa_temporal,temporal_full,0.050644798181296066,0.048856873777288194,-0.001787924404007872,-0.001787924404007872,-3.530321905139275,0.8698304759495217,0.8830625166821534,0.013232040732631734,0.37323047917381236,0.3488929473738362,-0.024337531799976164
Global_Single_50_no_smap_fs50,50,Global_Single_54_no_smap,Global_Single_50_no_smap_fs50,7,ECE spatial,ece_spatial,spatial_ece_v3_full,0.05657252114316882,0.05122785189561648,-0.005344669247552336,0.005344669247552336,9.44746519962671,-0.024970665786892228,0.056145929022351805,0.08111659480924403,-0.04152809140105351,-0.04516519496428948,-0.0036371035632359675
Global_Single_50_no_smap_fs50,50,Global_Single_54_no_smap,Global_Single_50_no_smap_fs50,7,WA temporal,wa_temporal,temporal_full,0.05064259512470293,0.0487739313128696,-0.0018686638118333293,-0.0018686638118333293,-3.689905320278136,0.8696875184511345,0.8834501522871646,0.013762633836030158,0.37287274230972467,0.3420881106913585,-0.030784631618366143
Global_Single_50_no_smap_fs50,50,Global_Single_54_no_smap,Global_Single_50_no_smap_fs50,13,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057843545778144066,0.050539983391135274,-0.007303562387008793,0.007303562387008793,12.626408510676765,-0.03342179280984729,0.08758326001141112,0.12100505282125841,-0.07764845012502827,-0.017539699462385563,0.06010875066264271
Global_Single_50_no_smap_fs50,50,Global_Single_54_no_smap,Global_Single_50_no_smap_fs50,13,WA temporal,wa_temporal,temporal_full,0.05048525560927242,0.04869410248256379,-0.0017911531267086264,-0.0017911531267086264,-3.5478737407435306,0.870600637093967,0.8837255658417486,0.013124928747781595,0.3732945043546627,0.34661237980207504,-0.02668212455258767
Global_Single_50_no_smap_fs50,50,Global_Single_54_no_smap,Global_Single_50_no_smap_fs50,42,ECE spatial,ece_spatial,spatial_ece_v3_full,0.057319734415355934,0.05037179589909519,-0.006947938516260743,0.006947938516260743,12.12137248563279,-0.03341649029599605,0.07448012690161433,0.10789661719761037,-0.019026097824807273,-0.044616217142995684,-0.02559011931818841
Global_Single_50_no_smap_fs50,50,Global_Single_54_no_smap,Global_Single_50_no_smap_fs50,42,WA temporal,wa_temporal,temporal_full,0.050644798181296066,0.048697184047365435,-0.0019476141339306308,-0.0019476141339306308,-3.845635097525012,0.8698304759495217,0.8836530245691174,0.013822548619595754,0.37323047917381236,0.34435350475813176,-0.0288769744156806
Global_Single_60_no_smap_fs60,60,Global_Single_54_no_smap,Global_Single_60_no_smap_fs60,7,ECE spatial,ece_spatial,spatial_ece_v3_full,0.05657252114316882,0.0499897780569685,-0.00658274308620032,0.00658274308620032,11.635937294612141,-0.024970665786892228,0.05530736427314202,0.08027803006003426,-0.04152809140105351,-0.008537510608671467,0.03299058079238205
