model_id,split,effect_label,dataset,window,reference_config_id,n_seeds,improved_seeds,worsened_seeds,rmse_original_mean,rmse_original_std,rmse_no_smap_mean,rmse_no_smap_std,rmse_change_mean,rmse_change_std,mae_original_mean,mae_original_std,mae_no_smap_mean,mae_no_smap_std,mae_change_mean,mae_change_std,bias_original_mean,bias_original_std,bias_no_smap_mean,bias_no_smap_std,bias_change_mean,bias_change_std,ubrmse_original_mean,ubrmse_original_std,ubrmse_no_smap_mean,ubrmse_no_smap_std,ubrmse_change_mean,ubrmse_change_std,r2_original_mean,r2_original_std,r2_no_smap_mean,r2_no_smap_std,r2_change_mean,r2_change_std,pearson_original_mean,pearson_original_std,pearson_no_smap_mean,pearson_no_smap_std,pearson_change_mean,pearson_change_std,diff_pearson_original_mean,diff_pearson_original_std,diff_pearson_no_smap_mean,diff_pearson_no_smap_std,diff_pearson_change_mean,diff_pearson_change_std,rmse_change_abs_mean,rmse_change_abs_std,rmse_change_pct_mean,rmse_change_pct_std,effect_rmse_mean,effect_rmse_std,effect_rmse_pct_mean,effect_rmse_pct_std
Clustering_Backbone_k2_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Backbone54_k2_c0_0_c1_0,1,0,1,0.0573423315103404,0.0,0.08054926346520634,0.0,0.023206931954865943,0.0,0.0497668237726701,0.0,0.07382532110866409,0.0,0.024058497335993988,0.0,0.0280738954208624,0.0,0.06490876536376303,0.0,0.036834869942900625,0.0,0.0499999937894021,0.0,0.047697337700747855,0.0,-0.002302656088654244,0.0,-0.48542683777935,0.0,-1.9310533213424121,0.0,-1.4456264835630621,0.0,0.1098316296049818,0.0,0.026684906144718763,0.0,-0.08314672346026304,0.0,,,-0.011407467446998871,0.0,,,0.023206931954865943,0.0,40.470855201765026,0.0,-0.023206931954865943,0.0,-40.470855201765026,0.0
Clustering_Backbone_k2_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Backbone54_k2_c0_0_c1_0,1,0,1,0.0439089532214443,0.0,0.06933611202997249,0.0,0.025427158808528187,0.0,0.0337801277546183,0.0,0.057003648045235875,0.0,0.023223520290617576,0.0,0.0057639884922439,0.0,0.01122887750233765,0.0,0.00546488901009375,0.0,0.0435289858561426,0.0,0.06842082096460399,0.0,0.024891835108461387,0.0,0.8142048107221804,0.0,0.5367160360908378,0.0,-0.2774887746313426,0.0,0.9048446516684988,0.0,0.7818090834828926,0.0,-0.12303556818560624,0.0,,,0.17442139574755766,0.0,,,0.025427158808528187,0.0,57.90882483645737,0.0,0.025427158808528187,0.0,57.90882483645737,0.0
Clustering_Dynamic_k2_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_Dynamic_k2_c0_0_c1_0,1,0,1,0.0598591898286793,0.0,0.08012437001581667,0.0,0.02026518018713737,0.0,0.0532210015960042,0.0,0.07238287923049545,0.0,0.019161877634491252,0.0,0.0266477263609713,0.0,0.06322399562405571,0.0,0.03657626926308441,0.0,0.0536005717015841,0.0,0.04922033165025287,0.0,-0.0043802400513312315,0.0,-0.6186846225548344,0.0,-1.9002125506386944,0.0,-1.28152792808386,0.0,-0.1403959656603549,0.0,-0.22043230669807595,0.0,-0.08003634103772106,0.0,,,-0.047829224421077225,0.0,,,0.02026518018713737,0.0,33.8547518687399,0.0,-0.02026518018713737,0.0,-33.8547518687399,0.0
Clustering_Dynamic_k2_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_Dynamic_k2_c0_0_c1_0,1,0,1,0.0470572646331295,0.0,0.06916204953402554,0.0,0.022104784900896034,0.0,0.0361913220880705,0.0,0.05645493467420428,0.0,0.02026361258613378,0.0,0.0093801880817668,0.0,0.012822380773907668,0.0,0.003442192692140869,0.0,0.0461128856861405,0.0,0.06796304618714441,0.0,0.021850160501003912,0.0,0.786606270013708,0.0,0.5390391874847371,0.0,-0.24756708252897086,0.0,0.8921720601155031,0.0,0.7967645503851128,0.0,-0.09540750973039025,0.0,,,0.1847785200562888,0.0,,,0.022104784900896034,0.0,46.9742240081964,0.0,0.022104784900896034,0.0,46.9742240081964,0.0
Clustering_V0_Full_k2_no_smap_fs60,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Clustering_V0_Full_k2_c0_0_c1_0,1,0,1,0.0573423428888674,0.0,0.1130775017457892,0.0,0.055735158856921804,0.0,0.0497668384982955,0.0,0.10284012788049521,0.0,0.053073289382199705,0.0,0.0280739199262176,0.0,0.10042242393699313,0.0,0.07234850401077553,0.0,0.0499999930796071,0.0,0.05197940141717477,0.0,0.00197940833756767,0.0,-0.4854274272904706,0.0,-4.7763431058029875,0.0,-4.290915678512517,0.0,0.1098316041960211,0.0,-0.3319668667113919,0.0,-0.44179847090741303,0.0,,,-0.07377849134205541,0.0,,,0.055735158856921804,0.0,97.1972124768944,0.0,-0.055735158856921804,0.0,-97.1972124768944,0.0
Clustering_V0_Full_k2_no_smap_fs60,WA temporal,WA degradation,wa_temporal,temporal_full,Clustering_V0_Full_k2_c0_0_c1_0,1,0,1,0.0438936451151031,0.0,0.07446410140517873,0.0,0.030570456290075626,0.0,0.0337737558762832,0.0,0.06012387840679405,0.0,0.026350122530510847,0.0,0.0057493349266736,0.0,0.012320069152134749,0.0,0.006570734225461149,0.0,0.0435154826399932,0.0,0.0734378532785876,0.0,0.029922370638594396,0.0,0.8143343367764553,0.0,0.46565444215907537,0.0,-0.3486798946173799,0.0,0.9049030688945208,0.0,0.8482289503298192,0.0,-0.056674118564701614,0.0,,,0.1664859986182172,0.0,,,0.030570456290075626,0.0,69.64665661717126,0.0,0.030570456290075626,0.0,69.64665661717126,0.0
Global_Single_40_no_smap_fs40,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Global_Single_54,1,0,1,0.0595053821947749,0.0,0.09769526925100953,0.0,0.038189887056234634,0.0,0.0513544261023579,0.0,0.08872109971345035,0.0,0.03736667361109245,0.0,0.0164779621194504,0.0,0.08589214549270296,0.0,0.06941418337325256,0.0,0.0571783811814937,0.0,0.04655002660243702,0.0,-0.010628354579056684,0.0,-0.5996061669264132,0.0,-3.3116911081670146,0.0,-2.7120849412406014,0.0,-0.0605705527081843,0.0,0.1452429631106007,0.0,0.205813515818785,0.0,,,0.09155630605620253,0.0,,,0.038189887056234634,0.0,64.17887869576282,0.0,-0.038189887056234634,0.0,-64.17887869576282,0.0
Global_Single_40_no_smap_fs40,WA temporal,WA degradation,wa_temporal,temporal_full,Global_Single_54,1,0,1,0.0478636361243758,0.0,0.07375101239804631,0.0,0.025887376273670507,0.0,0.0370592415431565,0.0,0.05966403662256244,0.0,0.022604795079405944,0.0,0.0105483640440731,0.0,0.010949531562720867,0.0,0.00040116751864776624,0.0,0.0466868255404066,0.0,0.07293366567157968,0.0,0.026246840131173073,0.0,0.779230195195575,0.0,0.4758395241759972,0.0,-0.30339067101957784,0.0,0.8894319903189023,0.0,0.8608371379021666,0.0,-0.02859485241673565,0.0,,,0.2024802582259963,0.0,,,0.025887376273670507,0.0,54.08568669208707,0.0,0.025887376273670507,0.0,54.08568669208707,0.0
Global_Single_50_no_smap_fs50,ECE spatial,ECE benefit,ece_spatial,spatial_ece_v3_full,Global_Single_54,1,0,1,0.0595053821947749,0.0,0.09587505066139636,0.0,0.03636966846662146,0.0,0.0513544261023579,0.0,0.0879011543606072,0.0,0.036546728258249304,0.0,0.0164779621194504,0.0,0.08374752040512388,0.0,0.06726955828567349,0.0,0.0571783811814937,0.0,0.046673098947023824,0.0,-0.010505282234469879,0.0,-0.5996061669264132,0.0,-3.1525204965237297,0.0,-2.5529143295973165,0.0,-0.0605705527081843,0.0,0.12658803684093498,0.0,0.1871585895491193,0.0,,,0.01703837102922231,0.0,,,0.03636966846662146,0.0,61.11996448922067,0.0,-0.03636966846662146,0.0,-61.11996448922067,0.0
Global_Single_50_no_smap_fs50,WA temporal,WA degradation,wa_temporal,temporal_full,Global_Single_54,1,0,1,0.0478636361243758,0.0,0.07329647799691359,0.0,0.02543284187253779,0.0,0.0370592415431565,0.0,0.05906455752280544,0.0,0.022005315979648943,0.0,0.0105483640440731,0.0,0.013246448556894226,0.0,0.0026980845128211257,0.0,0.0466868255404066,0.0,0.0720895643445124,0.0,0.025402738804105797,0.0,0.779230195195575,0.0,0.4822805148795656,0.0,-0.29694968031600943,0.0,0.8894319903189023,0.0,0.8781356991720556,0.0,-0.011296291146846715,0.0,,,0.24819937913464504,0.0,,,0.02543284187253779,0.0,53.1360421645556,0.0,0.02543284187253779,0.0,53.1360421645556,0.0
