model_id,router,dataset,router_seed,n,regime_0_share,regime_1_share,router_feature_count,router_features
Clustering_V0_Full_k2_no_smap_fs60,v0,wa_trainval,42,14608,0.27204271631982474,0.7279572836801752,42,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14
Clustering_V0_Full_k2_no_smap_fs60,v0,wa_test,42,6620,0.27235649546827795,0.7276435045317221,42,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14
Clustering_V0_Full_k2_no_smap_fs60,v0,ece_v3,42,150,0.82,0.18,42,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14
Clustering_Backbone_k2_no_smap_fs60,backbone54,wa_trainval,42,14608,0.562842278203724,0.437157721796276,60,precip_mm;s2_b4;s2_b8;DOY;D_sin_DOY;D_cos_DOY;F_MSI;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;G_rain_sum_30d;V_rollmax_G_API_kobs7;V_rollrng_G_API_kobs14;V_rollmin_G_API_kobs14;V_rollrng_G_API_kobs30;V_rollmin_G_API_kobs30;V_rollmax_G_API_kobs30;V_ema_G_API_kobs30;V_rollrng_F_NDMI_kobs30;V_rollmean_F_NDMI_kobs30;C_lag_F_NDMI_kobs30;A_d_E_SAR_ratio_kobs30;A_grad_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollrng_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs30;A_d_LST_modis_kobs30;A_grad_LST_modis_kobs30;V_rollmean_LST_modis_kobs30;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs1;C_lag_LST_modis_kobs12;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollrng_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;J_aspect_deg;J_bio_bio02;J_lc_code;J_soil_texture_usda_b0;sin_year;cos_year;API_x_year;D_z_F_NDMI;D_z_E_SAR_ratio;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30
Clustering_Backbone_k2_no_smap_fs60,backbone54,wa_test,42,6620,0.5868580060422961,0.4131419939577039,60,precip_mm;s2_b4;s2_b8;DOY;D_sin_DOY;D_cos_DOY;F_MSI;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;G_rain_sum_30d;V_rollmax_G_API_kobs7;V_rollrng_G_API_kobs14;V_rollmin_G_API_kobs14;V_rollrng_G_API_kobs30;V_rollmin_G_API_kobs30;V_rollmax_G_API_kobs30;V_ema_G_API_kobs30;V_rollrng_F_NDMI_kobs30;V_rollmean_F_NDMI_kobs30;C_lag_F_NDMI_kobs30;A_d_E_SAR_ratio_kobs30;A_grad_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollrng_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs30;A_d_LST_modis_kobs30;A_grad_LST_modis_kobs30;V_rollmean_LST_modis_kobs30;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs1;C_lag_LST_modis_kobs12;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollrng_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;J_aspect_deg;J_bio_bio02;J_lc_code;J_soil_texture_usda_b0;sin_year;cos_year;API_x_year;D_z_F_NDMI;D_z_E_SAR_ratio;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30
Clustering_Backbone_k2_no_smap_fs60,backbone54,ece_v3,42,150,1.0,0.0,60,precip_mm;s2_b4;s2_b8;DOY;D_sin_DOY;D_cos_DOY;F_MSI;E_SAR_ratio;G_API;G_DSLR;G_rain_sum_3d;G_rain_sum_7d;G_rain_sum_30d;V_rollmax_G_API_kobs7;V_rollrng_G_API_kobs14;V_rollmin_G_API_kobs14;V_rollrng_G_API_kobs30;V_rollmin_G_API_kobs30;V_rollmax_G_API_kobs30;V_ema_G_API_kobs30;V_rollrng_F_NDMI_kobs30;V_rollmean_F_NDMI_kobs30;C_lag_F_NDMI_kobs30;A_d_E_SAR_ratio_kobs30;A_grad_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs7;V_rollrng_E_SAR_ratio_kobs30;V_rollmax_E_SAR_ratio_kobs30;A_d_LST_modis_kobs30;A_grad_LST_modis_kobs30;V_rollmean_LST_modis_kobs30;V_rollmin_LST_modis_kobs30;V_rollmax_LST_modis_kobs30;V_ema_LST_modis_kobs30;C_lag_LST_modis_kobs1;C_lag_LST_modis_kobs12;C_lag_LST_modis_kobs30;V_rollmax_F_NDVI_kobs14;V_rollrng_F_NDVI_kobs30;V_rollmax_F_NDVI_kobs30;V_ema_F_NDVI_kobs30;C_lag_F_NDVI_kobs30;A_d_E_SAR_diff_kobs30;A_d_s2_b11_kobs30;V_rollrng_s2_b11_kobs30;A_grad_s2_b12_kobs7;V_rollmin_s2_b12_kobs30;E_rough_s1_vh_kobs14;J_aspect_deg;J_bio_bio02;J_lc_code;J_soil_texture_usda_b0;sin_year;cos_year;API_x_year;D_z_F_NDMI;D_z_E_SAR_ratio;D_z_LST_modis;D_fft_dom_LST_modis_kobs30;D_fft_ent_LST_modis_kobs30
Trained_Gating_k2_no_smap_fs60,trained_gate,wa_trainval,42,14608,0.21358159912376778,0.7864184008762322,42,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14
Trained_Gating_k2_no_smap_fs60,trained_gate,wa_test,42,6620,0.19546827794561933,0.8045317220543806,42,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14
Trained_Gating_k2_no_smap_fs60,trained_gate,ece_v3,42,150,1.0,0.0,42,A_d_E_SAR_diff_kobs30;A_d_LST_modis_kobs30;A_d_s2_b11_kobs30;A_grad_E_SAR_diff_kobs30;A_grad_LST_modis_kobs30;A_grad_s2_b11_kobs30;C_lag_F_NDVI_kobs30;D_sa_F_NDMI;D_sa_LST_modis;D_z_E_SAR_ratio;E_SAR_ratio;F_MSI;J_aspect_deg;J_bio_bio15;K_aspect_cos;K_aspect_sin;V_ema_F_NDVI_kobs30;V_ema_LST_modis_kobs30;V_rollmax_G_API_kobs7;V_rollmean_F_NDMI_kobs30;V_rollmin_s2_b12_kobs30;V_rollrng_F_NDVI_kobs30;aspect;latitude;lia_std_asc_deg;s2_b8;slope;A_grad_LST_modis_kobs14;V_rollmax_E_SAR_ratio_kobs7;A_d_LST_modis_kobs14;J_clay_wfrac_b100;V_ema_G_API_kobs30;V_rollmin_G_API_kobs14;V_rollrng_LST_modis_kobs30;V_rollrng_G_API_kobs30;C_lag_F_NDMI_kobs30;V_rollrng_E_SAR_ratio_kobs30;J_bio_bio02;V_rollmax_E_SAR_ratio_kobs30;V_rollmax_G_API_kobs30;s2_b11;V_rollrng_F_NDVI_kobs14
Univariate_G_API_k2_no_smap_fs60,gapi,wa_trainval,42,14608,0.5,0.5,1,G_API
