family,setting,policy,rmse
Clustering_V0_Full_k2,clean_val,soft_static_T0.25,0.054240812028728824
Clustering_V0_Full_k2,clean_val,soft_static_T0.5,0.054285667348871566
Clustering_V0_Full_k2,clean_val,soft_static_T1,0.05479375520604489
Clustering_V0_Full_k2,clean_val,soft_static_T2,0.05727510188345881
Clustering_V0_Full_k2,smap_masked_val,static_hard_masked,0.0680818505436305
Clustering_V0_Full_k2,smap_masked_val,aux_hard_masked,0.07275721703812021
Clustering_V0_Full_k2,clean_val,static_hard_clean,0.05424061995309999
Clustering_V0_Full_k2,clean_val,aux_hard_clean,0.07373553993750723
Clustering_Backbone54_k2,clean_val,soft_static_T0.25,0.05424286198689166
Clustering_Backbone54_k2,clean_val,soft_static_T0.5,0.05430180602393795
Clustering_Backbone54_k2,clean_val,soft_static_T1,0.054991709937468186
Clustering_Backbone54_k2,clean_val,soft_static_T2,0.057389597275052544
Clustering_Backbone54_k2,smap_masked_val,static_hard_masked,0.0868704523179325
Clustering_Backbone54_k2,smap_masked_val,aux_hard_masked,0.07396518184352849
Clustering_Backbone54_k2,clean_val,static_hard_clean,0.05424061995309999
Clustering_Backbone54_k2,clean_val,aux_hard_clean,0.07373553993750723
