n,r2,rmse,mae,ubrmse,bias,pearson_r,med_ae,p90_ae,strategy,seed,fit_time_s
150,-0.9124019121750027,0.06506378117966233,0.05813407869858717,0.049635701942407136,-0.04206652724054485,0.11430557747760738,0.05743405981066589,0.09618477107135227,zero_filled_existing_policy,42,11.952897548675537
150,-1.1271329912685943,0.06861941887468395,0.06148953843440855,0.04813665234960403,-0.04890283577945857,0.13531670414328378,0.0623259760903998,0.09697948561443655,native_missing_existing_training,42,11.952897548675537
150,-0.5874757742206513,0.059279327386689624,0.052896476733993295,0.04943958688921019,-0.03270727600462267,0.09956152428022334,0.050774868537057,0.08792524828864243,training_month_climatology,42,11.952897548675537
150,-1.5648875312496204,0.07535010766790669,0.06723239040852201,0.0491109347189744,-0.057146783081760286,0.11898628443663306,0.07066598954730989,0.11446429581775039,no_smap_retrained,42,10.133870363235474
150,-0.7256502996852499,0.06180535562213396,0.05482934263677478,0.049905777892944314,-0.03645977669265895,0.0845243712031647,0.05378189280675496,0.09249749939751162,block_masked_retrained,42,12.92489242553711
150,-1.5787742669046798,0.07555381144303651,0.0677165873518043,0.049956507033094545,-0.056680912383467244,0.07690482668835065,0.06988331604218717,0.1201630306447338,zero_filled_existing_policy,7,11.992105722427368
150,-1.4090573606250771,0.07302528901622603,0.06504035881913481,0.049322133400079585,-0.053851833699216735,0.09808315942592011,0.06683517835322084,0.11822918923743475,native_missing_existing_training,7,11.992105722427368
150,-1.2596860757783492,0.07072513234404285,0.06331479436038961,0.049384435342293635,-0.050628271657298295,0.09547489897771204,0.06409147935496715,0.11423814566977729,training_month_climatology,7,11.992105722427368
150,-1.1902896754879615,0.06963065685213249,0.06273507480615,0.048714635427004375,-0.049752514196505435,0.06776938216262636,0.061387555798738655,0.10585420678924896,no_smap_retrained,7,10.810209035873413
150,-2.083246538586554,0.08261403615136435,0.07450337464531444,0.05020467906611161,-0.06560921558049351,0.05910313906299818,0.07824317785930751,0.11880802094805433,block_masked_retrained,7,13.174286365509033
150,-1.4671786484062102,0.07390094858708258,0.06679509794591894,0.049181538618259024,-0.05515910134521154,0.06983830939036927,0.06668210385356457,0.1123655492199835,zero_filled_existing_policy,13,11.747622966766357
150,-1.6168552114298693,0.07610962131756278,0.06850328386532621,0.04713043050366372,-0.059761166133553076,0.1401627756137351,0.06958215309283097,0.11408383935517408,native_missing_existing_training,13,11.747622966766357
150,-1.146495719240928,0.0689310235610064,0.06243147742471493,0.04920841850583847,-0.04827025540974765,0.05708148121447989,0.061734832613962384,0.10041099332587267,training_month_climatology,13,11.747622966766357
150,-1.5410044801408884,0.07499847444651703,0.0670498738006265,0.05038077765554206,-0.05555671347486007,0.05130427516966096,0.06884855979302439,0.11456506607596202,no_smap_retrained,13,10.346929788589478
150,-1.2192607177390378,0.07008964769796684,0.06279425581127435,0.04982975044788734,-0.04929051313109228,0.07387986611242452,0.06412670232549397,0.10448659116018173,block_masked_retrained,13,12.926881790161133
150,-1.3878179610722352,0.07270266343488932,0.0653894643772711,0.04962444066550437,-0.05313277857558955,0.10957451943560598,0.06790595732121496,0.10359836941978026,zero_filled_existing_policy,101,11.806581020355225
150,-1.1092118018151935,0.06832974664059578,0.06106681702002638,0.04826709101861961,-0.04836571306791931,0.10464705607669902,0.06271635972516441,0.102635720839579,native_missing_existing_training,101,11.806581020355225
150,-1.0555068669822885,0.06745422859268602,0.06129029879195665,0.049050974197884414,-0.04630415624188412,0.08912198610816321,0.05926568615799643,0.09973588727728869,training_month_climatology,101,11.806581020355225
150,-1.0461665434022636,0.06730079643907043,0.060605827202602366,0.05012847232244742,-0.04490582884159713,0.04771100878403127,0.05791292791056368,0.10097633241846103,no_smap_retrained,101,10.504861831665039
150,-0.43483424437108575,0.05635735218726049,0.050487201261829144,0.04877912532317219,-0.028226726311515064,0.10373700281672066,0.04769477392675351,0.08247146701280549,block_masked_retrained,101,13.466310024261475
150,-2.286961736094164,0.0852996085759598,0.07742758549667544,0.048131056024546245,-0.07042318275379171,0.07931091770596506,0.07984567069916235,0.13008988463286847,zero_filled_existing_policy,123,11.918176174163818
150,-1.6515038247568503,0.07661183118397717,0.06903128564329382,0.04752041993535031,-0.06009311413573253,0.10850054665491454,0.07038921789008959,0.11755887838252296,native_missing_existing_training,123,11.918176174163818
150,-1.9120360091711155,0.0802875276442871,0.07263343484259152,0.04778543456034112,-0.06451851934996276,0.09621842914276194,0.0754961712884123,0.12025139963421874,training_month_climatology,123,11.918176174163818
150,-0.9585351884349655,0.0658438782881841,0.059059421950370374,0.04654430862061999,-0.046572992635836495,0.23469802805316214,0.056999395670494404,0.0956183201864589,no_smap_retrained,123,10.416684865951538
150,-1.872179895666359,0.07973619971565447,0.07133604958626058,0.0492506553520601,-0.06270753138569027,0.07833893955628864,0.07358895461848658,0.11967594301770432,block_masked_retrained,123,12.711420774459839
