route,cluster,profile,n_train,n_val,n_test,target_std,raw_features,mi_features,candidate_features,elasticnet_nonzero,stability_features,repaired_features,alpha,l1_ratio,fallback_applied,collapse_status
Clustering_Dynamic_k2,0,legacy_forced_bypass,4339,2261,2915,0.0659305609749105,495,300,381,2,2,2,0.02956017171456011,1.0,True,hard_collapsed
Clustering_Dynamic_k2,0,mi120,4339,2261,2915,0.0659305609749105,495,120,120,47,38,38,0.007845682096195615,0.1,False,truncated
Clustering_Dynamic_k2,0,mi300,4339,2261,2915,0.0659305609749105,495,300,300,2,2,2,0.02956017171456011,1.0,True,hard_collapsed
Clustering_Dynamic_k2,0,mi300_repaired,4339,2261,2915,0.0659305609749105,495,300,300,2,2,50,0.02956017171456011,1.0,True,hard_collapsed
Clustering_Dynamic_k2,0,no_mi,4339,2261,2915,0.0659305609749105,495,495,495,156,47,47,0.0004170823354342368,0.5,False,truncated
Clustering_Dynamic_k2,1,legacy_forced_bypass,5464,2544,3705,0.11764707954996952,495,300,381,62,41,41,0.001247074149968861,1.0,False,truncated
Clustering_Dynamic_k2,1,mi120,5464,2544,3705,0.11764707954996952,495,120,120,9,8,21,0.010439606271051862,0.9,True,hard_collapsed
Clustering_Dynamic_k2,1,mi300,5464,2544,3705,0.11764707954996952,495,300,300,25,25,25,0.0665525965739609,0.1,False,truncated
Clustering_Dynamic_k2,1,mi300_repaired,5464,2544,3705,0.11764707954996952,495,300,300,25,25,25,0.0665525965739609,0.1,False,truncated
Clustering_Dynamic_k2,1,no_mi,5464,2544,3705,0.11764707954996952,495,495,495,65,40,40,0.001433832227706383,1.0,False,truncated
Clustering_V0_Full_k2,0,legacy_forced_bypass,7156,3468,4817,0.10495613948360216,495,300,381,84,50,50,0.011900803163580593,0.1,False,healthy
Clustering_V0_Full_k2,0,mi120,7156,3468,4817,0.10495613948360216,495,120,120,8,7,12,0.011900803163580598,1.0,True,hard_collapsed
Clustering_V0_Full_k2,0,mi300,7156,3468,4817,0.10495613948360216,495,300,300,26,26,26,0.06810077114356634,0.1,False,truncated
Clustering_V0_Full_k2,0,mi300_repaired,7156,3468,4817,0.10495613948360216,495,300,300,26,26,26,0.06810077114356634,0.1,False,truncated
Clustering_V0_Full_k2,0,no_mi,7156,3468,4817,0.10495613948360216,495,495,495,74,48,48,0.002009795847151941,0.9,False,truncated
Clustering_V0_Full_k2,1,legacy_forced_bypass,2647,1337,1803,0.10952932439748354,495,300,381,122,47,47,0.0004877500248998456,1.0,False,truncated
Clustering_V0_Full_k2,1,mi120,2647,1337,1803,0.10952932439748354,495,120,120,24,22,22,0.06913730582624375,0.1,False,truncated
Clustering_V0_Full_k2,1,mi300,2647,1337,1803,0.10952932439748354,495,300,300,66,42,42,0.0005607940031340172,1.0,False,truncated
Clustering_V0_Full_k2,1,mi300_repaired,2647,1337,1803,0.10952932439748354,495,300,300,66,42,42,0.0005607940031340172,1.0,False,truncated
Clustering_V0_Full_k2,1,no_mi,2647,1337,1803,0.10952932439748354,495,495,495,164,43,43,0.004242200976834398,0.1,False,truncated
Univariate_G_API_k2,0,legacy_forced_bypass,4901,2366,3493,0.11950633720165472,495,300,381,30,25,25,0.005100079783008799,1.0,False,truncated
Univariate_G_API_k2,0,mi120,4901,2366,3493,0.11950633720165472,495,120,120,19,15,32,0.04136831951485615,0.1,True,hard_collapsed
Univariate_G_API_k2,0,mi300,4901,2366,3493,0.11950633720165472,495,300,300,60,50,50,0.02058911010422589,0.1,False,healthy
Univariate_G_API_k2,0,mi300_repaired,4901,2366,3493,0.11950633720165472,495,300,300,60,50,50,0.02058911010422589,0.1,False,healthy
Univariate_G_API_k2,0,no_mi,4901,2366,3493,0.11950633720165472,495,495,495,47,41,41,0.007196010927603978,0.5,False,truncated
Univariate_G_API_k2,1,legacy_forced_bypass,4902,2439,3127,0.07320541693016341,495,300,381,118,40,40,0.0001108330392147631,1.0,False,truncated
Univariate_G_API_k2,1,mi120,4902,2439,3127,0.07320541693016341,495,120,120,0,50,50,0.24632627060278006,0.1,False,healthy
Univariate_G_API_k2,1,mi300,4902,2439,3127,0.07320541693016341,495,300,300,10,8,13,0.14651475514754442,0.1,True,hard_collapsed
Univariate_G_API_k2,1,mi300_repaired,4902,2439,3127,0.07320541693016341,495,300,300,10,8,50,0.14651475514754442,0.1,True,hard_collapsed
Univariate_G_API_k2,1,no_mi,4902,2439,3127,0.07320541693016341,495,495,495,221,43,43,5.516186478784212e-05,1.0,False,truncated
global,global,legacy_forced_bypass,9803,4805,6620,0.10630876028880207,495,300,381,100,47,47,0.00040966700004372653,1.0,False,truncated
global,global,mi120,9803,4805,6620,0.10630876028880207,495,120,120,3,2,6,0.010881115138925618,1.0,True,hard_collapsed
global,global,mi300,9803,4805,6620,0.10630876028880207,495,300,300,5,6,9,0.011667463102390245,1.0,True,hard_collapsed
global,global,mi300_repaired,9803,4805,6620,0.10630876028880207,495,300,300,5,6,50,0.011667463102390245,1.0,True,hard_collapsed
global,global,no_mi,9803,4805,6620,0.10630876028880207,495,495,495,120,48,48,0.0005806923879657166,1.0,False,truncated
