feature,support,consensus_rank,mi_rank,seed_frequency,gain_rank,residual_rank,gain,residual_association
V_rollmax_F_NDVI_kobs30,4,34.0,11.0,9,25,86,0.006260675378143787,0.1052766167573031
V_rollrng_F_NDVI_kobs30,4,50.25,136.0,8,28,15,0.005463105626404285,0.21126879627294196
SMAP_sm_pm_interp_rollrange30,4,66.25,123.0,9,75,55,0.001740907086059451,0.14622164052323444
SMAP_x_year,4,91.5,238.0,12,47,77,0.0025943329092115164,0.11852332505957522
V_rollmin_s2_b11_kobs30,3,57.0,13.0,8,80,114,0.0016500473720952868,0.09102476205553711
V_rollmax_F_NDVI_kobs14,3,59.0,37.0,10,72,118,0.001835767412558198,0.09054989369607469
V_rollmin_SMAP_sm_interp_kobs14,3,60.0,18.0,4,21,131,0.006793992593884468,0.08679560183749363
V_rollmax_E_SAR_ratio_kobs30,3,62.75,14.0,8,51,167,0.0023258232977241278,0.06760627024894375
V_rollmax_E_SAR_diff_kobs30,3,70.0,7.0,4,73,135,0.0017763010691851377,0.08415408185695042
V_rollmin_SMAP_sm_interp_kobs30,3,72.0,6.0,3,26,158,0.005960448645055294,0.0717606225600213
V_rollmax_E_SAR_diff_kobs14,3,73.5,28.0,6,53,171,0.002281264401972294,0.06667705523176888
SMAP_sm_pm_interp_lag7,3,77.0,43.0,2,23,124,0.006622807588428259,0.08837273429386475
SMAP_sm_pm_interp_lag30,3,77.5,74.0,5,15,173,0.008668617345392704,0.06658937990775864
V_rollrng_E_SAR_diff_kobs30,3,84.25,53.0,7,168,81,0.0008131556096486747,0.1116557243545372
SMAP_sm_pm_interp,3,94.5,49.0,1,56,97,0.00218830443918705,0.09512293876862818
DOY,3,99.0,148.0,10,18,225,0.007364303804934025,0.052224321060695696
V_rollmax_F_NDMI_kobs30,3,99.25,10.0,7,40,317,0.003202992957085371,0.03039021214830901
V_rollmax_E_SAR_ratio_kobs7,3,99.75,44.0,4,77,212,0.0016900076298043132,0.05469725019742085
V_rollmin_E_SAR_ratio_kobs30,3,102.5,3.0,6,88,274,0.0014241535682231188,0.04134811070899089
V_rollmin_E_SAR_diff_kobs30,3,104.5,4.0,7,71,311,0.0018658449407666922,0.03180946999429605
SMAP_sm_pm_interp_rollmean30,3,109.0,153.0,5,90,144,0.0013746559852734208,0.07843339291174191
V_rollmin_LST_modis_kobs30,3,109.25,1.0,13,2,432,0.1027597188949585,0.01099534987886559
V_rollmax_G_API_kobs30,3,111.0,42.0,6,31,328,0.00485293660312891,0.027763954029144167
D_z_E_SAR_ratio,3,113.0,94.0,3,76,203,0.0017398943891748786,0.058112844639339065
V_rollmax_F_NDMI_kobs14,3,115.75,22.0,5,92,297,0.0013379687443375587,0.03664907324871791
V_rollmax_LST_modis_kobs30,3,116.25,2.0,9,42,406,0.0030714012682437897,0.016054750364317114
SMAP_ampm_diff_interp,3,119.0,139.0,2,152,68,0.0009066039347089827,0.14007576435473862
s2_b8,3,119.5,157.0,8,87,211,0.0014368498232215643,0.05579448892327886
C_lag_F_NDVI_kobs30,3,121.75,108.0,12,91,285,0.0013407861115410924,0.03919285600453094
C_lag_LST_modis_kobs30,3,127.5,19.0,13,8,482,0.02853141725063324,0.0025569525825900265
V_rollmin_F_NDVI_kobs30,3,129.5,20.0,7,67,398,0.001970562618225813,0.017152356875162412
A_grad_SMAP_sm_interp_kobs14,3,132.0,171.0,1,95,100,0.001310363644734025,0.09450756681675807
C_lag_F_NDMI_kobs30,3,133.5,93.0,9,19,412,0.006963751278817654,0.014585138613492168
V_rollmin_G_API_kobs30,3,134.25,29.0,7,1,473,0.1803542524576187,0.004528991198611217
A_grad_SMAP_sm_interp_kobs30,3,137.25,274.0,6,160,76,0.0008562530274502933,0.12041759691276396
V_ema_E_SAR_ratio_kobs30,3,137.25,261.0,5,57,181,0.0021585498470813036,0.0647200359588292
lia_mean_asc_deg,3,138.25,,7,4,17,0.03909318521618843,0.2026901097978239
V_rollrng_F_NDVI_kobs14,3,145.25,199.0,2,212,48,0.0005912907072342932,0.16073015179007424
V_ema_G_API_kobs30,3,146.0,180.0,9,20,371,0.006831982173025608,0.02093913106352212
V_ema_F_NDVI_kobs30,3,147.0,212.0,4,62,250,0.002117471070960164,0.04661522669734316
V_ema_LST_modis_kobs30,3,149.25,137.0,7,11,420,0.015616320073604584,0.013566651587529155
D_z_LST_modis,3,151.5,119.0,2,296,80,0.000303545908536762,0.11244829165493224
V_rollmin_F_NDMI_kobs30,3,151.5,17.0,4,30,491,0.005144773982465267,0.0007969192757955752
latitude,3,154.25,,9,33,71,0.004576886538416147,0.13082659325026505
J_bio_bio03,3,154.75,,3,22,18,0.006788672413676977,0.1831574076553848
J_bio_bio04,3,154.75,,3,3,36,0.04869760200381279,0.16918924526288123
D_sa_LST_modis,3,155.0,135.0,2,294,82,0.00031071968260221183,0.1112233907662959
V_rollmin_G_API_kobs14,3,155.25,107.0,8,44,450,0.0029699213337153196,0.008855262466902379
D_sin_DOY,3,156.25,,10,29,93,0.005403789691627026,0.09941254238816229
A_d_SMAP_sm_interp_kobs30,3,160.0,275.0,6,252,75,0.00044153761700727046,0.12041759691276396
A_grad_SMAP_sm_interp_kobs7,3,160.25,168.0,1,89,221,0.0013762654270976782,0.052429056236074696
V_rollmean_LST_modis_kobs30,3,163.25,160.0,4,13,413,0.011941313743591309,0.014513848815372779
J_bio_bio14,3,164.0,,4,27,72,0.005909422878175974,0.12855573827771616
V_rollstd_F_NDVI_kobs30,3,164.5,,3,52,8,0.0023100972175598145,0.22689743976228502
J_bio_bio07,3,165.0,,2,5,46,0.030967243015766144,0.1628499564279957
J_aspect_deg,3,167.0,,5,35,90,0.004275548737496138,0.10256589113595488
elev,3,167.25,,3,16,54,0.00814814306795597,0.14735647074566152
V_rollmax_G_API_kobs14,3,167.75,110.0,3,45,425,0.0029587086755782366,0.01274402073552284
V_rollmin_F_NDVI_kobs7,3,168.5,92.0,3,83,402,0.0016050880076363683,0.016570612434647084
G_API,3,172.25,298.0,6,41,309,0.003200522856786847,0.03255162551740673
V_rollmin_F_NDVI_kobs14,3,172.25,51.0,4,86,483,0.0014660324668511748,0.0018681253988548662
J_bio_bio06,3,172.5,,1,9,16,0.019158747047185898,0.20955071464551742
V_rollmax_G_API_kobs7,3,177.5,181.0,3,34,403,0.004418293945491314,0.016224936905324942
aspect,3,180.0,,2,24,74,0.006611187011003494,0.1251077991704831
