feature,separation_index,median_cluster0,median_cluster1,median_cluster2
soil_moisture_5cm,0.258,0.212,0.236,0.273
precip_mm,0.211,0.3,0.0,1.7
G_API,0.47,37.2701,14.4574,59.8588
G_rain_sum_7d,0.375,23.7,9.0,38.65
LST_modis,0.558,288.7136,292.4355,272.522
SMAP_sm_pm_interp,0.879,0.524,0.1904,0.2879
G_DSLR,0.197,1.0,1.0,0.0
F_NDVI,0.735,0.7036,0.3386,0.1371
latitude,0.509,47.51,46.2333,46.8696
longitude,0.709,-121.5343,-117.4,-121.5343
elev,0.646,216.309,1160.5261,1489.1726
slope,0.336,14.4015,20.2254,20.1802
J_soil_texture_usda_b0,0.411,7.0,7.0,9.0
J_lc_code,0.366,10.0,30.0,10.0
J_bio_bio13,0.709,391.0,70.0,391.0
