Global Single Model (54 Backbone)_feature,Global Single Model (54 Backbone)_shap_val,"Clustering_V0_Full_k2 (Winner c0=0, c1=10)_feature","Clustering_V0_Full_k2 (Winner c0=0, c1=10)_shap_val",Global Single Model (54 Backbone + 160 CTX)_feature,Global Single Model (54 Backbone + 160 CTX)_shap_val,"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)_feature","Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)_shap_val"
V_rollmin_LST_modis_kobs30,0.03071213699877262,V_ema_LST_modis_kobs30,0.029228931292891502,ctx_24,0.026144973933696747,ctx_105,0.0212679635733366
D_sin_DOY,0.02620304562151432,SMAP_sm_pm_interp_rollmean30,0.019198324531316757,ctx_144,0.02004469744861126,ctx_126,0.011572297662496567
J_bio_bio13,0.017645152285695076,J_aspect_deg,0.016196338459849358,D_sin_DOY,0.01078551821410656,ctx_138,0.009564539417624474
V_ema_LST_modis_kobs30,0.015210950747132301,D_sin_DOY,0.014572559855878353,ctx_126,0.00907887239009142,ctx_144,0.00917312316596508
G_API,0.013152179308235645,SMAP_x_year,0.007972057908773422,SMAP_x_year,0.00795579794794321,SMAP_x_year,0.008829424157738686
SMAP_x_year,0.006824925541877747,V_rollmin_LST_modis_kobs30,0.00707710487768054,ctx_83,0.00650818319991231,D_sin_DOY,0.007583294529467821
J_aspect_deg,0.006380647420883179,G_API,0.0068324557505548,ctx_97,0.0063753072172403336,ctx_153,0.004073194228112698
V_rollmax_F_NDVI_kobs30,0.005133675877004862,V_rollmax_F_NDVI_kobs30,0.006400739308446646,ctx_157,0.0035233714152127504,V_rollmax_F_NDVI_kobs30,0.004042689222842455
D_cos_DOY,0.004216555971652269,D_cos_DOY,0.004626602865755558,ctx_44,0.0034130029380321503,ctx_85,0.003894554916769266
J_bio_bio02,0.004036263562738895,V_rollmin_SMAP_sm_interp_kobs30,0.004180049058049917,ctx_51,0.0030132224783301353,ctx_97,0.003741625929251313
G_rain_sum_3d,0.0030921187717467546,SMAP_sm_pm_interp_lag30,0.0037659569643437862,ctx_15,0.00171472632791847,ctx_24,0.0027935511898249388
V_rollmax_F_NDMI_kobs30,0.002681684447452426,SMAP_sm_pm_interp_lag7,0.003549921326339245,ctx_57,0.001655046478845179,ctx_26,0.0026798034086823463
V_rollmin_SMAP_sm_interp_kobs30,0.002159967552870512,V_rollmax_F_NDMI_kobs30,0.003059995826333761,G_rain_sum_3d,0.0016169333830475807,ctx_57,0.00263223797082901
V_rollmin_E_SAR_ratio_kobs30,0.0020455310586839914,V_rollmean_G_API_kobs14,0.0030342021491378546,ctx_70,0.0015092183602973819,SMAP_sm_pm_interp_rollmean30,0.0020431082230061293
G_rain_sum_7d,0.0019526723772287369,G_rain_sum_3d,0.002835505409166217,ctx_73,0.0014971825294196606,ctx_44,0.0018989726668223739
V_ema_F_NDVI_kobs30,0.0018345091957598925,J_bio_bio13,0.002651061862707138,D_cos_DOY,0.0014008167199790478,V_rollmin_SMAP_sm_interp_kobs30,0.0017500832909718156
SMAP_sm_pm_interp_rollmean30,0.0017645182088017464,V_rollmax_E_SAR_diff_kobs14,0.0025498128961771727,ctx_33,0.0013525582617148757,ctx_45,0.0016839338932186365
SMAP_sm_pm_interp_lag30,0.0017323617357760668,V_rollrng_s2_b11_kobs30,0.0023361090570688248,ctx_152,0.001129713375121355,ctx_15,0.0016370376106351614
V_rollrng_s2_b11_kobs30,0.001658409833908081,V_rollmin_E_SAR_ratio_kobs30,0.001959350425750017,ctx_153,0.0010929233394563198,ctx_152,0.0015843332512304187
V_rollmax_E_SAR_diff_kobs14,0.001587313017807901,V_rollmax_E_SAR_diff_kobs30,0.0018695557955652475,V_rollmax_F_NDVI_kobs30,0.0010876988526433706,ctx_33,0.0014605032047256827
