,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
A_d_E_SAR_ratio_kobs30,0.0007526508,0.0005776735,0.00052655814,0.0002878766,0.0007499847,0.0004902489
A_d_SMAP_sm_interp_kobs30,0.0004749706,0.0008679555,0.00020521719,0.00019320336,0.0002630323,0.00031000364
A_grad_E_SAR_diff_kobs30,0.00031380242,0.0002489787,0.00021191238,0.00018379508,0.0003779381,0.00030329757
A_grad_s2_b11_kobs30,0.00033236563,0.0005053338,0.00043197043,0.00036294915,0.00089646043,0.0006535478
C_lag_F_NDMI_kobs30,0.0,0.00019191203,0.0,8.18468e-05,0.0,0.00010592499
C_lag_F_NDVI_kobs30,0.0014383692,0.0010869587,0.0008263194,0.0010171194,0.0012684958,0.0016935796
DOY,0.0,0.0010448061,0.0,0.0005956299,0.0,0.00033521242
D_cos_DOY,0.0042165555,0.004626603,0.0014008172,0.0009578177,0.0017104567,0.0013538236
D_fft_dom_LST_modis_kobs30,1.581321e-05,2.6866093e-05,6.3650937e-06,1.509577e-05,1.7474897e-05,2.3635686e-05
D_fft_ent_LST_modis_kobs30,0.00020960643,0.0002121628,0.00011311377,0.00012287995,0.00016741693,0.00016138972
D_sin_DOY,0.026203042,0.014572561,0.010785524,0.0075832955,0.010531142,0.0095832255
D_z_F_NDMI,0.00034742214,0.0005815273,0.00024742112,0.00029180883,0.00040131973,0.00044622974
D_z_LST_modis,0.00033372166,0.0003860064,0.00010199929,0.00016261014,0.0002625797,0.00026809578
E_SAR_ratio,0.00036416735,0.00049733504,0.0002415801,0.00032154564,0.0006443177,0.00058375427
E_rough_s1_vh_kobs14,0.00030783846,0.00037917853,0.00022390945,0.00020600934,0.00046793654,0.0004182109
G_API,0.0131521765,0.006832458,0.0008617161,0.00070866884,0.0015326503,0.0014679331
G_DSLR,0.00048728025,0.00051228114,0.00021967717,0.0001991341,0.00028724736,0.00029429412
G_rain_sum_3d,0.0030921192,0.0028355054,0.0016169336,0.0011617037,0.0019438626,0.0014816478
G_rain_sum_7d,0.0019526728,0.0016418591,0.00047920118,0.0004796571,0.0008828436,0.00075413
J_aspect_deg,0.0063806484,0.016196338,0.0003021061,0.00019008071,0.0009906318,0.0009339924
J_bio_bio02,0.0040362636,0.0009440223,7.55865e-05,6.9890884e-05,0.0001728832,0.00013296785
J_bio_bio04,0.0,0.0,0.0,0.0,0.0,0.0
J_bio_bio07,0.0,0.0,0.0,0.0,0.0,0.0
J_bio_bio13,0.01764515,0.0026510616,0.000117849595,0.00013875795,0.00052805536,0.00034262598
J_lc_code,0.00034565674,4.917899e-08,1.1121926e-06,0.0,3.4553427e-06,0.0
J_soil_texture_usda_b0,2.7876757e-05,4.9425544e-05,0.00024512617,8.668994e-05,0.0002763017,0.0002641909
