Global Single Model (54 Backbone)_feature,Global Single Model (54 Backbone)_shap_val,"Clustering_V0_Full_k2 (Winner c0=0, c1=10)_feature","Clustering_V0_Full_k2 (Winner c0=0, c1=10)_shap_val",Global Single Model (54 Backbone + 160 CTX)_feature,Global Single Model (54 Backbone + 160 CTX)_shap_val,"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)_feature","Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)_shap_val",Global Single Model (54 Backbone + 80 CTX-head)_feature,Global Single Model (54 Backbone + 80 CTX-head)_shap_val,"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)_feature","Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)_shap_val"
V_rollmin_LST_modis_kobs30,0.03071213699877262,V_ema_LST_modis_kobs30,0.029228946194052696,ctx_24,0.026144983246922493,ctx_105,0.021267959848046303,hh_43,0.030010152608156204,hh_7,0.02275252714753151
D_sin_DOY,0.026203041896224022,SMAP_sm_pm_interp_rollmean30,0.019198333844542503,ctx_144,0.020044703036546707,ctx_126,0.011572301387786865,hh_38,0.01427437923848629,hh_38,0.017990613356232643
J_bio_bio13,0.017645150423049927,J_aspect_deg,0.016196338459849358,D_sin_DOY,0.010785523802042007,ctx_138,0.009564539417624474,hh_23,0.011929447762668133,hh_43,0.012252570129930973
V_ema_LST_modis_kobs30,0.015210956335067749,D_sin_DOY,0.014572560787200928,ctx_126,0.009078874252736568,ctx_144,0.00917312502861023,D_sin_DOY,0.010531142354011536,SMAP_x_year,0.011415797285735607
G_API,0.013152176514267921,SMAP_x_year,0.007972056977450848,SMAP_x_year,0.007955798879265785,SMAP_x_year,0.00882942508906126,SMAP_x_year,0.010023709386587143,D_sin_DOY,0.009583225473761559
SMAP_x_year,0.006824925541877747,V_rollmin_LST_modis_kobs30,0.007077109534293413,ctx_83,0.006508181802928448,D_sin_DOY,0.007583295460790396,hh_52,0.00868923682719469,hh_19,0.005990216974169016
J_aspect_deg,0.006380648352205753,G_API,0.006832458078861237,ctx_97,0.006375307682901621,ctx_153,0.004073194693773985,hh_61,0.004867176059633493,hh_52,0.003959211055189371
V_rollmax_F_NDVI_kobs30,0.005133677273988724,V_rollmax_F_NDVI_kobs30,0.006400741171091795,ctx_157,0.003523371648043394,V_rollmax_F_NDVI_kobs30,0.004042690619826317,hh_77,0.004551097750663757,hh_23,0.00331709673628211
D_cos_DOY,0.004216555505990982,D_cos_DOY,0.004626602865755558,ctx_44,0.0034130036365240812,ctx_85,0.0038945551495999098,hh_4,0.0037299436517059803,hh_77,0.0030277445912361145
J_bio_bio02,0.004036263562738895,V_rollmin_SMAP_sm_interp_kobs30,0.0041800495237112045,ctx_51,0.0030132229439914227,ctx_97,0.003741626162081957,hh_7,0.002510045189410448,hh_1,0.0028198997024446726
G_rain_sum_3d,0.003092119237408042,SMAP_sm_pm_interp_lag30,0.003765957662835717,ctx_15,0.00171472632791847,ctx_24,0.002793552353978157,hh_59,0.002394182374700904,SMAP_sm_pm_interp_rollmean30,0.0021708933636546135
V_rollmax_F_NDMI_kobs30,0.002681685145944357,SMAP_sm_pm_interp_lag7,0.003549921792000532,ctx_57,0.0016550470609217882,ctx_26,0.0026798038743436337,hh_62,0.001960874767974019,V_rollmin_SMAP_sm_interp_kobs30,0.0020550976041704416
V_rollmin_SMAP_sm_interp_kobs30,0.0021599684841930866,V_rollmax_F_NDMI_kobs30,0.0030599976889789104,G_rain_sum_3d,0.0016169336158782244,ctx_57,0.0026322382036596537,G_rain_sum_3d,0.0019438626477494836,V_rollmax_F_NDVI_kobs30,0.0020383638329803944
V_rollmin_E_SAR_ratio_kobs30,0.002045531291514635,V_rollmean_G_API_kobs14,0.0030342014506459236,ctx_70,0.0015092188259586692,SMAP_sm_pm_interp_rollmean30,0.0020431079901754856,hh_9,0.0018802423728629947,hh_34,0.0020360276103019714
G_rain_sum_7d,0.0019526728428900242,G_rain_sum_3d,0.002835505409166217,ctx_73,0.001497182296589017,ctx_44,0.0018989726668223739,D_cos_DOY,0.0017104566795751452,hh_9,0.001866425620391965
V_ema_F_NDVI_kobs30,0.0018345097778365016,J_bio_bio13,0.0026510616298764944,D_cos_DOY,0.001400817185640335,V_rollmin_SMAP_sm_interp_kobs30,0.0017500838730484247,G_API,0.0015326503198593855,C_lag_F_NDVI_kobs30,0.001693579601123929
SMAP_sm_pm_interp_rollmean30,0.001764517743140459,V_rollmax_E_SAR_diff_kobs14,0.0025498131290078163,ctx_33,0.0013525584945455194,ctx_45,0.0016839338932186365,V_rollmax_F_NDMI_kobs30,0.0013775788247585297,SMAP_sm_pm_interp_lag30,0.0016724588349461555
SMAP_sm_pm_interp_lag30,0.001732361619360745,V_rollrng_s2_b11_kobs30,0.0023361104540526867,ctx_152,0.0011297134915366769,ctx_15,0.0016370384255424142,hh_40,0.0013598493533208966,hh_4,0.0016431543044745922
V_rollrng_s2_b11_kobs30,0.0016584100667387247,V_rollmin_E_SAR_ratio_kobs30,0.001959351124241948,ctx_153,0.0010929235722869635,ctx_152,0.0015843338333070278,C_lag_F_NDVI_kobs30,0.0012684958055615425,hh_59,0.00163652456831187
V_rollmax_E_SAR_diff_kobs14,0.0015873138327151537,V_rollmax_E_SAR_diff_kobs30,0.0018695560283958912,V_rollmax_F_NDVI_kobs30,0.001087699318304658,ctx_33,0.0014605037868022919,hh_17,0.0012044605100527406,G_rain_sum_3d,0.0014816478360444307
