strategy,station,full_r2,full_rmse,full_mae,full_bias,loso_r2,loso_rmse,loso_mae,loso_bias
Clustering_V0_Full_k2,BeaverPass_WA_990,0.6189,0.0562,0.0496,0.0465,0.7424,0.0462,0.0362,0.0202
Clustering_V0_Full_k2,CayusePass_WA,0.8073,0.0524,0.0413,0.0014,0.6936,0.0661,0.053,0.0112
Clustering_V0_Full_k2,Darrington,0.828,0.0387,0.0325,0.0225,0.7033,0.0509,0.0414,0.0275
Clustering_V0_Full_k2,Paradise_WA,0.8534,0.0377,0.0299,0.0075,0.7799,0.0462,0.0364,0.0243
Clustering_V0_Full_k2,Quinault,0.6903,0.0386,0.0316,-0.0187,0.5607,0.046,0.0369,0.0034
Clustering_V0_Full_k2,SourdoughGulch_WA_985,0.5542,0.0535,0.0376,-0.0001,0.4273,0.0607,0.0458,-0.0252
Clustering_V0_Full_k2,Spokane,0.9499,0.0257,0.018,0.0017,0.5836,0.0741,0.0615,0.0481
Clustering_Dynamic_k2,BeaverPass_WA_990,0.5976,0.0578,0.0508,0.048,0.626,0.0557,0.0473,0.016
Clustering_Dynamic_k2,CayusePass_WA,0.7915,0.0545,0.0444,0.0067,0.4121,0.0916,0.0776,0.059
Clustering_Dynamic_k2,Darrington,0.8052,0.0412,0.0328,0.0236,0.6883,0.0522,0.0422,0.0189
Clustering_Dynamic_k2,Paradise_WA,0.7789,0.0463,0.0343,0.0172,0.6494,0.0583,0.046,0.035
Clustering_Dynamic_k2,Quinault,0.6905,0.0386,0.032,-0.0208,0.5266,0.0478,0.0393,0.0073
Clustering_Dynamic_k2,SourdoughGulch_WA_985,0.4617,0.0588,0.0419,0.0018,0.3898,0.0626,0.0496,-0.0276
Clustering_Dynamic_k2,Spokane,0.9427,0.0275,0.0214,0.0033,0.6485,0.0681,0.0552,0.0447
Seasonal_Binary_k2,BeaverPass_WA_990,0.5442,0.0615,0.0548,0.0522,0.5968,0.0579,0.0496,0.0079
Seasonal_Binary_k2,CayusePass_WA,0.7677,0.0576,0.0471,0.0064,0.4011,0.0924,0.0798,0.0595
Seasonal_Binary_k2,Darrington,0.811,0.0406,0.0327,0.0217,0.7322,0.0483,0.0374,0.0154
Seasonal_Binary_k2,Paradise_WA,0.7702,0.0472,0.0354,0.0189,0.6037,0.062,0.0458,0.0317
Seasonal_Binary_k2,Quinault,0.6718,0.0398,0.033,-0.0222,0.5461,0.0468,0.0381,0.0039
Seasonal_Binary_k2,SourdoughGulch_WA_985,0.4369,0.0602,0.0421,0.0073,0.4841,0.0576,0.0437,-0.017
Seasonal_Binary_k2,Spokane,0.9229,0.0319,0.0236,0.0046,0.6335,0.0695,0.0587,0.0466
Univariate_G_API_k2,BeaverPass_WA_990,0.5256,0.0628,0.056,0.0518,0.677,0.0518,0.0448,0.0158
Univariate_G_API_k2,CayusePass_WA,0.7608,0.0584,0.0467,0.0055,0.4035,0.0922,0.0771,0.0598
Univariate_G_API_k2,Darrington,0.7977,0.042,0.0348,0.0242,0.7019,0.051,0.0401,0.0168
Univariate_G_API_k2,Paradise_WA,0.7705,0.0471,0.0358,0.0206,0.5508,0.066,0.0532,0.0395
Univariate_G_API_k2,Quinault,0.6562,0.0407,0.0335,-0.0195,0.5321,0.0475,0.0377,0.004
Univariate_G_API_k2,SourdoughGulch_WA_985,0.4766,0.058,0.0408,0.0012,0.3639,0.0639,0.048,-0.0253
Univariate_G_API_k2,Spokane,0.9357,0.0291,0.0232,0.0016,0.6158,0.0712,0.058,0.0396
Trained_Gating_k2,BeaverPass_WA_990,0.3843,0.0715,0.0595,0.059,0.6327,0.0552,0.046,0.0202
Trained_Gating_k2,CayusePass_WA,0.7588,0.0587,0.0468,0.0137,0.2884,0.1007,0.0803,0.0699
Trained_Gating_k2,Darrington,0.8007,0.0417,0.0338,0.0247,0.5941,0.0595,0.0415,0.0321
Trained_Gating_k2,Paradise_WA,0.6608,0.0573,0.0405,0.0266,0.3705,0.0781,0.0603,0.0529
Trained_Gating_k2,Quinault,0.6768,0.0395,0.0318,-0.0225,0.3663,0.0552,0.0449,0.0081
Trained_Gating_k2,SourdoughGulch_WA_985,0.3746,0.0634,0.044,0.0095,0.4375,0.0601,0.0488,-0.0102
Trained_Gating_k2,Spokane,0.9373,0.0288,0.0216,0.0048,0.7498,0.0574,0.0481,0.0362
