feature,median_cluster0,median_cluster1,rank_biserial_r
V_rollmax_G_API_kobs7,17.2838,96.716,-0.985
V_ema_G_API_kobs30,16.1074,79.1049,-0.917
V_rollmax_G_API_kobs30,30.2972,138.9086,-0.904
V_rollmin_G_API_kobs14,7.5485,46.9168,-0.888
V_rollrng_G_API_kobs30,22.7661,95.824,-0.868
V_ema_LST_modis_kobs30,292.3296,276.908,0.652
F_MSI,0.5633,0.4322,0.444
V_rollmin_s2_b12_kobs30,0.0675,0.0457,0.426
V_rollmean_F_NDMI_kobs30,0.2929,0.3891,-0.417
s2_b11,0.152,0.1017,0.415
J_bio_bio15,55.0,61.0,-0.383
C_lag_F_NDMI_kobs30,0.2912,0.3809,-0.363
D_z_E_SAR_ratio,0.2792,-0.175,0.347
V_ema_SMAP_sm_interp_kobs30,0.2709,0.3481,-0.337
K_aspect_cos,-0.7986,-0.5,-0.313
J_bio_bio02,100.0,97.0,0.305
J_clay_wfrac_b100,18.0,9.0,0.298
SMAP_sm_pm_interp_rollmean30,0.3102,0.3727,-0.266
SMAP_sm_pm_interp_lag30,0.2951,0.3663,-0.261
D_sa_LST_modis,2.0686,0.0131,0.24
latitude,47.42,47.51,-0.202
lia_std_asc_deg,4.6217,4.5843,0.191
D_sa_F_NDMI,-0.0597,-0.0066,-0.191
E_SAR_ratio,4.8623,4.6854,0.187
V_rollmax_E_SAR_ratio_kobs7,4.9793,4.7822,0.175
SMAP_x_year,0.1915,0.2906,-0.162
A_d_LST_modis_kobs30,1.5256,-0.6802,0.16
A_grad_LST_modis_kobs30,0.0509,-0.0227,0.16
SMAP_sm_pm_interp_rollrange30,0.0573,0.0687,-0.159
V_rollmax_E_SAR_ratio_kobs30,5.2674,4.921,0.152
K_aspect_sin,0.4848,0.6018,-0.116
J_aspect_deg,151.0,143.0,0.1
V_rollrng_LST_modis_kobs30,7.0295,7.8119,-0.094
s2_b8,0.2387,0.2597,-0.072
A_d_LST_modis_kobs14,0.3142,-0.1033,0.066
A_grad_LST_modis_kobs14,0.0224,-0.0074,0.066
V_rollrng_E_SAR_ratio_kobs30,0.4775,0.5086,-0.048
A_d_SMAP_sm_interp_kobs30,-0.0062,0.0014,-0.044
A_grad_SMAP_sm_interp_kobs30,-0.0002,0.0,-0.044
A_d_SMAP_sm_interp_kobs5,0.0,0.0,-0.039
C_lag_F_NDVI_kobs30,0.4007,0.4845,-0.033
slope,18.1494,18.1494,-0.018
A_grad_E_SAR_diff_kobs30,-0.0,0.0,0.016
A_d_E_SAR_diff_kobs30,-0.0002,0.0,0.016
V_ema_F_NDVI_kobs30,0.4067,0.4517,0.015
aspect,170.818,170.818,0.015
A_d_s2_b11_kobs30,-0.0017,-0.0005,-0.012
A_grad_s2_b11_kobs30,-0.0001,-0.0,-0.012
V_rollrng_F_NDVI_kobs14,0.0753,0.0731,0.01
V_rollrng_F_NDVI_kobs30,0.1623,0.1502,-0.005
