strategy,station_id,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Clustering_V0_Full_k2,ECE_BBG_Lost_Meadow,0.0,1.0,1,1.0,-122.1795066,47.6072232
Clustering_V0_Full_k2,ECE_Renton_Home,0.1,0.9,1,0.9,-122.1446671,47.4887385
Clustering_V0_Full_k2,ECE_BBG_Main_St,0.9333,0.0667,0,0.9333,-122.1824678,47.6098164
Clustering_V0_Full_k2,ECE_Renton_Garden_North,0.9667,0.0333,0,0.9667,-122.1406354,47.4962798
Clustering_V0_Full_k2,ECE_Renton_Garden_Shed,0.9667,0.0333,0,0.9667,-122.1407765,47.4958091
Clustering_Dynamic_k2,ECE_BBG_Lost_Meadow,1.0,0.0,0,1.0,-122.1795066,47.6072232
Clustering_Dynamic_k2,ECE_BBG_Main_St,1.0,0.0,0,1.0,-122.1824678,47.6098164
Clustering_Dynamic_k2,ECE_Renton_Garden_North,1.0,0.0,0,1.0,-122.1406354,47.4962798
Clustering_Dynamic_k2,ECE_Renton_Garden_Shed,1.0,0.0,0,1.0,-122.1407765,47.4958091
Clustering_Dynamic_k2,ECE_Renton_Home,1.0,0.0,0,1.0,-122.1446671,47.4887385
Seasonal_Binary_k2,ECE_BBG_Lost_Meadow,1.0,0.0,0,1.0,-122.1795066,47.6072232
Seasonal_Binary_k2,ECE_BBG_Main_St,1.0,0.0,0,1.0,-122.1824678,47.6098164
Seasonal_Binary_k2,ECE_Renton_Garden_North,1.0,0.0,0,1.0,-122.1406354,47.4962798
Seasonal_Binary_k2,ECE_Renton_Garden_Shed,1.0,0.0,0,1.0,-122.1407765,47.4958091
Seasonal_Binary_k2,ECE_Renton_Home,1.0,0.0,0,1.0,-122.1446671,47.4887385
Univariate_G_API_k2,ECE_BBG_Lost_Meadow,1.0,0.0,0,1.0,-122.1795066,47.6072232
Univariate_G_API_k2,ECE_BBG_Main_St,1.0,0.0,0,1.0,-122.1824678,47.6098164
Univariate_G_API_k2,ECE_Renton_Garden_North,1.0,0.0,0,1.0,-122.1406354,47.4962798
Univariate_G_API_k2,ECE_Renton_Garden_Shed,1.0,0.0,0,1.0,-122.1407765,47.4958091
Univariate_G_API_k2,ECE_Renton_Home,1.0,0.0,0,1.0,-122.1446671,47.4887385
Trained_Gating_k2,ECE_BBG_Lost_Meadow,0.8,0.2,0,0.8,-122.1795066,47.6072232
Trained_Gating_k2,ECE_BBG_Main_St,0.8,0.2,0,0.8,-122.1824678,47.6098164
Trained_Gating_k2,ECE_Renton_Garden_North,0.8,0.2,0,0.8,-122.1406354,47.4962798
Trained_Gating_k2,ECE_Renton_Garden_Shed,0.8,0.2,0,0.8,-122.1407765,47.4958091
Trained_Gating_k2,ECE_Renton_Home,0.8,0.2,0,0.8,-122.1446671,47.4887385
