feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_G_API_kobs30,4.4161,0.1968,-0.997
D_sa_LST_modis,0.4147,4.1635,0.958
D_z_E_SAR_ratio,0.7362,1.4105,0.705
D_sa_F_NDMI,-0.0776,-0.0956,-0.548
V_ema_LST_modis_kobs30,299.9557,302.1045,0.532
s2_b11,0.1833,0.1883,0.465
E_SAR_ratio,5.2703,5.4842,0.445
V_ema_F_NDVI_kobs30,0.5129,0.5354,0.325
s2_b8,0.2581,0.2757,0.278
F_MSI,0.7246,0.7212,0.042
J_aspect_deg,261.0,261.0,0.0
J_bio_bio15,50.0,50.0,0.0
SMAP_x_year,0.0,0.0,0.0
K_aspect_sin,-0.9744,-0.9744,0.0
K_aspect_cos,-0.1564,-0.1564,0.0
lia_std_asc_deg,4.859,4.859,0.0
latitude,47.4963,47.4963,0.0
aspect,173.5743,173.5743,0.0
slope,4.1086,4.1086,0.0
J_clay_wfrac_b100,23.0,23.0,0.0
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.0
J_bio_bio02,93.0,93.0,0.0
V_ema_SMAP_sm_interp_kobs30,0.0,0.0,0.0
