station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Clackamas_Lake_398,2413,0.5002,0.4998,0,0.5002,-121.75443,45.09658
Rock_Springs_721,3277,0.6729,0.3271,0,0.6729,-118.83842,44.00883
Corvallis_10_SSW,2459,0.7125,0.2875,0,0.7125,-123.3257,44.4185
Redding_12_WNW,2919,0.7903,0.2097,0,0.7903,-122.6068,40.6507
Boulder_14_W,1797,0.7991,0.2009,0,0.7991,-105.5409,40.0354
John_Day_35_WNW,3155,0.8326,0.1674,0,0.8326,-119.6459,44.556
Murphy_10_W,2919,0.8869,0.1131,0,0.8869,-116.7505,43.2044
Riley_10_WSW,2643,0.9088,0.0912,0,0.9088,-119.6917,43.4711
Lander_11_SSE,2070,0.9541,0.0459,0,0.9541,-108.6686,42.6754
Wolf_Point_29_ENE,1524,0.981,0.019,0,0.981,-105.1018,48.3082
