station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Riley_10_WSW,2643,0.0,1.0,1,1.0,-119.6917,43.4711
Murphy_10_W,2919,0.0,1.0,1,1.0,-116.7505,43.2044
Wolf_Point_29_ENE,1524,0.0,1.0,1,1.0,-105.1018,48.3082
John_Day_35_WNW,3155,0.0067,0.9933,1,0.9933,-119.6459,44.556
Lander_11_SSE,2070,0.0203,0.9797,1,0.9797,-108.6686,42.6754
Boulder_14_W,1797,0.2081,0.7919,1,0.7919,-105.5409,40.0354
Rock_Springs_721,3277,0.2258,0.7742,1,0.7742,-118.83842,44.00883
Redding_12_WNW,2919,0.4998,0.5002,1,0.5002,-122.6068,40.6507
Corvallis_10_SSW,2459,0.6678,0.3322,0,0.6678,-123.3257,44.4185
Clackamas_Lake_398,2413,1.0,0.0,0,1.0,-121.75443,45.09658
