station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Clackamas_Lake_398,2413,0.4745,0.5255,1,0.5255,-121.75443,45.09658
Corvallis_10_SSW,2459,0.4835,0.5165,1,0.5165,-123.3257,44.4185
Redding_12_WNW,2919,0.4913,0.5087,1,0.5087,-122.6068,40.6507
Rock_Springs_721,3277,0.5023,0.4977,0,0.5023,-118.83842,44.00883
John_Day_35_WNW,3155,0.5246,0.4754,0,0.5246,-119.6459,44.556
Murphy_10_W,2919,0.5673,0.4327,0,0.5673,-116.7505,43.2044
Riley_10_WSW,2643,0.6266,0.3734,0,0.6266,-119.6917,43.4711
Lander_11_SSE,2070,0.7101,0.2899,0,0.7101,-108.6686,42.6754
Wolf_Point_29_ENE,1524,0.7887,0.2113,0,0.7887,-105.1018,48.3082
Boulder_14_W,1797,0.8492,0.1508,0,0.8492,-105.5409,40.0354
