station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Boulder_14_W,1797,0.0395,0.9605,1,0.9605,-105.5409,40.0354
Clackamas_Lake_398,2413,0.2955,0.7045,1,0.7045,-121.75443,45.09658
Corvallis_10_SSW,2459,0.3725,0.6275,1,0.6275,-123.3257,44.4185
John_Day_35_WNW,3155,0.4745,0.5255,1,0.5255,-119.6459,44.556
Rock_Springs_721,3277,0.4788,0.5212,1,0.5212,-118.83842,44.00883
Redding_12_WNW,2919,0.5101,0.4899,0,0.5101,-122.6068,40.6507
Lander_11_SSE,2070,0.5386,0.4614,0,0.5386,-108.6686,42.6754
Murphy_10_W,2919,0.5413,0.4587,0,0.5413,-116.7505,43.2044
Riley_10_WSW,2643,0.6682,0.3318,0,0.6682,-119.6917,43.4711
Wolf_Point_29_ENE,1524,0.7336,0.2664,0,0.7336,-105.1018,48.3082
