station_id,n,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Clackamas_Lake_398,2413,0.4708,0.5292,1,0.5292,-121.75443,45.09658
Boulder_14_W,1797,0.4797,0.5203,1,0.5203,-105.5409,40.0354
Corvallis_10_SSW,2459,0.5929,0.4071,0,0.5929,-123.3257,44.4185
Redding_12_WNW,2919,0.6077,0.3923,0,0.6077,-122.6068,40.6507
Lander_11_SSE,2070,0.9251,0.0749,0,0.9251,-108.6686,42.6754
John_Day_35_WNW,3155,0.936,0.064,0,0.936,-119.6459,44.556
Rock_Springs_721,3277,0.9411,0.0589,0,0.9411,-118.83842,44.00883
Wolf_Point_29_ENE,1524,0.96,0.04,0,0.96,-105.1018,48.3082
Murphy_10_W,2919,0.9675,0.0325,0,0.9675,-116.7505,43.2044
Riley_10_WSW,2643,0.9826,0.0174,0,0.9826,-119.6917,43.4711
