feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_LST_modis_kobs30,297.0085,276.5665,-0.904
V_rollmax_G_API_kobs7,12.8386,44.374,0.673
V_ema_G_API_kobs30,10.8602,31.1515,0.634
V_rollmin_s2_b12_kobs30,0.1585,0.0841,-0.629
V_rollmin_G_API_kobs14,4.9321,19.7571,0.629
s2_b11,0.2432,0.1384,-0.625
V_rollmax_G_API_kobs30,22.4354,56.9183,0.599
SMAP_sm_pm_interp_rollmean30,0.1706,0.345,0.574
V_rollrng_G_API_kobs30,17.5117,43.2505,0.569
F_MSI,1.0444,0.5528,-0.55
V_rollmean_F_NDMI_kobs30,-0.0007,0.0982,0.462
V_ema_SMAP_sm_interp_kobs30,0.1564,0.2335,0.448
SMAP_sm_pm_interp_lag30,0.1719,0.2588,0.435
D_sa_LST_modis,1.5516,-4.5942,-0.431
C_lag_F_NDMI_kobs30,-0.0146,0.1204,0.353
SMAP_x_year,0.1771,0.3555,0.314
D_sa_F_NDMI,-0.051,0.1679,0.309
A_d_LST_modis_kobs30,1.45,-2.5587,-0.297
A_grad_LST_modis_kobs30,0.0483,-0.0853,-0.297
V_rollrng_F_NDVI_kobs30,0.099,0.1983,0.275
A_grad_SMAP_sm_interp_kobs30,-0.0002,0.0008,0.273
A_d_SMAP_sm_interp_kobs30,-0.0052,0.025,0.273
A_grad_s2_b11_kobs30,-0.0,-0.0006,-0.25
A_d_s2_b11_kobs30,-0.0004,-0.0192,-0.25
SMAP_sm_pm_interp_rollrange30,0.0581,0.0776,0.231
A_d_LST_modis_kobs14,0.5455,-1.4514,-0.218
A_grad_LST_modis_kobs14,0.039,-0.1037,-0.218
A_d_E_SAR_diff_kobs30,-0.0008,0.0026,0.216
A_grad_E_SAR_diff_kobs30,-0.0,0.0001,0.216
J_aspect_deg,70.0,72.0,0.203
V_rollrng_F_NDVI_kobs14,0.0447,0.0869,0.2
D_z_E_SAR_ratio,-0.1616,-0.6143,-0.2
K_aspect_cos,0.342,0.309,-0.179
latitude,43.4711,44.0088,0.156
J_clay_wfrac_b100,19.0,16.0,-0.155
slope,9.5007,9.5007,0.15
J_bio_bio02,151.0,150.0,-0.149
E_SAR_ratio,5.6611,4.7373,-0.133
V_rollrng_E_SAR_ratio_kobs30,0.5938,0.6604,0.13
J_bio_bio15,31.0,50.0,0.125
V_rollmax_E_SAR_ratio_kobs7,5.7361,4.8352,-0.112
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.103
V_ema_F_NDVI_kobs30,0.3048,0.2982,-0.091
s2_b8,0.2149,0.2345,0.087
K_aspect_sin,0.8746,0.8387,-0.086
V_rollmax_E_SAR_ratio_kobs30,6.0504,5.0768,-0.074
aspect,147.7658,147.7658,-0.071
V_rollrng_LST_modis_kobs30,8.0993,7.2985,-0.058
lia_std_asc_deg,0.1837,0.1837,0.053
C_lag_F_NDVI_kobs30,0.307,0.2779,-0.032
