feature,median_cluster0,median_cluster1,rank_biserial_r
SMAP_sm_pm_interp_rollmean30,0.3811,0.1552,-0.879
V_rollmin_s2_b12_kobs30,0.0638,0.174,0.826
SMAP_sm_pm_interp_lag30,0.3712,0.155,-0.82
V_ema_SMAP_sm_interp_kobs30,0.3257,0.1451,-0.82
s2_b11,0.1296,0.254,0.755
F_MSI,0.552,1.1237,0.745
V_rollmean_F_NDMI_kobs30,0.2742,-0.0222,-0.744
J_bio_bio02,116.0,152.0,0.689
C_lag_F_NDMI_kobs30,0.2388,-0.0545,-0.668
V_ema_G_API_kobs30,37.3382,10.5691,-0.657
D_z_E_SAR_ratio,-0.7955,0.2714,0.657
V_rollmax_G_API_kobs30,68.8814,21.3663,-0.648
E_SAR_ratio,4.2255,6.6378,0.641
V_rollmax_E_SAR_ratio_kobs7,4.318,6.8352,0.639
V_rollrng_G_API_kobs30,48.3653,16.5751,-0.634
V_rollmax_E_SAR_ratio_kobs30,4.5409,7.3097,0.629
D_sa_F_NDMI,0.2319,-0.0783,-0.618
V_rollmax_G_API_kobs7,43.2528,12.9416,-0.581
V_ema_LST_modis_kobs30,282.3181,297.3985,0.573
V_rollmin_G_API_kobs14,20.1152,4.9584,-0.566
J_bio_bio15,61.0,30.0,-0.545
V_ema_F_NDVI_kobs30,0.4814,0.2618,-0.499
K_aspect_cos,-0.5446,0.342,0.497
C_lag_F_NDVI_kobs30,0.5057,0.2668,-0.436
D_sa_LST_modis,-4.722,1.6752,0.431
J_aspect_deg,123.0,70.0,-0.426
V_rollrng_E_SAR_ratio_kobs30,0.4041,0.7734,0.394
SMAP_sm_pm_interp_rollrange30,0.087,0.0553,-0.375
SMAP_x_year,0.3958,0.1683,-0.363
V_rollrng_LST_modis_kobs30,6.5714,8.5414,0.232
latitude,44.4185,43.4711,-0.222
slope,7.4459,9.5007,-0.206
V_rollrng_F_NDVI_kobs30,0.1554,0.0989,-0.187
aspect,142.7207,147.7658,0.183
V_rollrng_F_NDVI_kobs14,0.0604,0.0442,-0.123
A_grad_LST_modis_kobs14,0.0445,-0.0078,-0.07
A_d_LST_modis_kobs14,0.6236,-0.1097,-0.07
lia_std_asc_deg,0.1837,0.164,-0.059
A_d_LST_modis_kobs30,1.0415,-0.1243,-0.054
A_grad_LST_modis_kobs30,0.0347,-0.0041,-0.054
s2_b8,0.2236,0.2146,-0.052
A_d_E_SAR_diff_kobs30,0.0002,-0.0006,-0.04
A_grad_E_SAR_diff_kobs30,0.0,-0.0,-0.04
A_grad_s2_b11_kobs30,-0.0001,-0.0001,0.021
A_d_s2_b11_kobs30,-0.0028,-0.0017,0.021
J_clay_wfrac_b100,16.0,18.0,0.02
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.009
K_aspect_sin,0.8387,0.891,0.005
A_d_SMAP_sm_interp_kobs30,0.0003,-0.0017,-0.005
A_grad_SMAP_sm_interp_kobs30,0.0,-0.0001,-0.005
