feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_LST_modis_kobs30,301.7724,280.7061,-0.915
SMAP_sm_pm_interp_rollmean30,0.1493,0.2316,0.573
V_rollmin_G_API_kobs14,3.6916,11.6987,0.513
V_ema_G_API_kobs30,9.1213,19.1057,0.488
V_rollmax_G_API_kobs7,10.4619,25.331,0.486
V_ema_SMAP_sm_interp_kobs30,0.1457,0.1962,0.469
SMAP_sm_pm_interp_lag30,0.1526,0.2201,0.458
V_rollmax_G_API_kobs30,20.1961,34.87,0.434
V_rollrng_G_API_kobs30,16.6761,27.053,0.391
V_rollmin_s2_b12_kobs30,0.1704,0.1157,-0.387
V_rollrng_E_SAR_ratio_kobs30,0.4705,0.8714,0.37
s2_b11,0.2525,0.1892,-0.37
SMAP_x_year,0.1553,0.2956,0.305
V_ema_F_NDVI_kobs30,0.3384,0.2455,-0.271
C_lag_F_NDVI_kobs30,0.3435,0.2427,-0.236
V_rollmax_E_SAR_ratio_kobs30,5.4031,5.4636,0.221
V_rollmax_E_SAR_ratio_kobs7,5.203,5.3325,0.187
A_d_SMAP_sm_interp_kobs30,-0.0062,0.0083,0.183
A_grad_SMAP_sm_interp_kobs30,-0.0002,0.0003,0.183
V_rollmean_F_NDMI_kobs30,0.0006,0.0246,0.171
V_rollrng_LST_modis_kobs30,7.3017,8.808,0.167
E_SAR_ratio,5.1248,5.2225,0.164
V_rollrng_F_NDVI_kobs30,0.0923,0.1434,0.158
F_MSI,1.0165,0.9584,-0.158
K_aspect_cos,0.342,0.309,-0.127
V_rollrng_F_NDVI_kobs14,0.0414,0.062,0.127
J_aspect_deg,70.0,72.0,0.125
s2_b8,0.2199,0.2091,-0.119
SMAP_sm_pm_interp_rollrange30,0.0592,0.0647,0.116
K_aspect_sin,0.8746,0.8387,-0.105
J_bio_bio15,31.0,31.0,0.104
C_lag_F_NDMI_kobs30,-0.0066,0.0163,0.103
A_d_LST_modis_kobs14,-0.2072,0.6612,0.098
A_grad_LST_modis_kobs14,-0.0148,0.0472,0.098
lia_std_asc_deg,0.1837,0.1837,-0.086
A_d_E_SAR_diff_kobs30,-0.0007,0.0007,0.084
latitude,43.4711,44.0088,0.084
A_grad_E_SAR_diff_kobs30,-0.0,0.0,0.084
aspect,147.7658,147.7658,0.083
D_sa_F_NDMI,-0.0295,-0.0671,-0.08
A_d_s2_b11_kobs30,-0.0015,-0.0035,-0.049
A_grad_s2_b11_kobs30,-0.0,-0.0001,-0.049
J_clay_wfrac_b100,18.0,18.0,0.048
slope,9.5007,9.5007,0.042
D_z_E_SAR_ratio,-0.3229,-0.4157,0.037
D_sa_LST_modis,0.5346,-0.2291,-0.036
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.036
A_d_LST_modis_kobs30,0.3977,0.2059,-0.015
A_grad_LST_modis_kobs30,0.0133,0.0069,-0.015
J_bio_bio02,151.0,151.0,-0.002
