feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_LST_modis_kobs30,304.3962,282.9577,-0.872
V_rollmin_G_API_kobs14,2.1622,14.3341,0.856
V_ema_G_API_kobs30,6.4135,23.7561,0.854
V_rollmax_G_API_kobs7,6.6141,31.0392,0.804
V_rollmax_G_API_kobs30,14.4629,44.008,0.774
SMAP_sm_pm_interp_rollmean30,0.1244,0.2257,0.727
V_rollrng_G_API_kobs30,12.2421,32.477,0.69
V_ema_SMAP_sm_interp_kobs30,0.1247,0.1948,0.614
SMAP_sm_pm_interp_lag30,0.1302,0.2217,0.608
V_rollmin_s2_b12_kobs30,0.1868,0.0997,-0.583
s2_b11,0.2591,0.1898,-0.439
V_rollmean_F_NDMI_kobs30,-0.0242,0.0762,0.422
V_rollrng_F_NDVI_kobs30,0.0808,0.1795,0.385
SMAP_x_year,0.1353,0.2969,0.381
F_MSI,1.1296,0.8717,-0.368
D_sa_LST_modis,2.3568,-1.9423,-0.329
C_lag_F_NDMI_kobs30,-0.042,0.0669,0.323
V_rollrng_F_NDVI_kobs14,0.0336,0.0764,0.291
A_grad_LST_modis_kobs14,-0.0686,0.084,0.251
A_d_LST_modis_kobs14,-0.9608,1.1764,0.251
D_z_E_SAR_ratio,-0.0133,-0.5615,-0.218
SMAP_sm_pm_interp_rollrange30,0.0548,0.0683,0.195
A_d_LST_modis_kobs30,-1.5196,1.7211,0.191
A_grad_LST_modis_kobs30,-0.0507,0.0574,0.191
slope,7.4459,9.5007,0.183
V_rollrng_E_SAR_ratio_kobs30,0.5043,0.7067,0.173
E_SAR_ratio,5.9572,4.8085,-0.157
D_sa_F_NDMI,-0.0595,-0.005,0.151
J_clay_wfrac_b100,19.0,18.0,-0.147
lia_std_asc_deg,0.1837,4.2297,0.146
A_grad_SMAP_sm_interp_kobs30,-0.0002,0.0002,0.145
A_d_SMAP_sm_interp_kobs30,-0.0061,0.0046,0.145
C_lag_F_NDVI_kobs30,0.3252,0.2728,-0.136
V_rollmax_E_SAR_ratio_kobs7,6.0204,4.9086,-0.133
V_rollrng_LST_modis_kobs30,7.3703,8.5282,0.126
aspect,147.7658,147.7658,-0.118
J_bio_bio02,151.0,150.0,-0.089
A_d_E_SAR_diff_kobs30,-0.0008,0.0004,0.085
A_grad_E_SAR_diff_kobs30,-0.0,0.0,0.085
V_ema_F_NDVI_kobs30,0.3045,0.301,-0.08
V_rollmax_E_SAR_ratio_kobs30,6.2643,5.1835,-0.078
A_d_SMAP_sm_interp_kobs5,0.0,0.0,-0.065
latitude,43.4711,44.0088,-0.063
s2_b8,0.2183,0.2141,-0.06
J_bio_bio15,31.0,31.0,-0.054
J_aspect_deg,70.0,72.0,-0.025
K_aspect_cos,0.342,0.309,0.023
K_aspect_sin,0.891,0.8746,-0.02
A_d_s2_b11_kobs30,-0.0026,-0.0009,0.013
A_grad_s2_b11_kobs30,-0.0001,-0.0,0.013
