feature,median_cluster0,median_cluster1,rank_biserial_r
V_rollmax_G_API_kobs7,12.3365,65.1333,0.984
V_ema_G_API_kobs30,10.4995,49.2077,0.912
V_rollmax_G_API_kobs30,21.1186,85.3408,0.909
V_rollrng_G_API_kobs30,16.4041,58.5316,0.873
V_rollmin_G_API_kobs14,4.8381,32.5555,0.845
SMAP_sm_pm_interp_rollmean30,0.1633,0.3775,0.736
V_ema_SMAP_sm_interp_kobs30,0.1511,0.3322,0.709
SMAP_sm_pm_interp_lag30,0.1649,0.3422,0.64
V_ema_LST_modis_kobs30,296.4225,282.2932,-0.548
V_rollmin_s2_b12_kobs30,0.1616,0.0843,-0.545
D_z_E_SAR_ratio,-0.009,-0.7758,-0.526
J_bio_bio02,152.0,149.0,-0.523
E_SAR_ratio,5.9915,4.3293,-0.494
V_rollmax_E_SAR_ratio_kobs7,6.1511,4.4457,-0.479
s2_b11,0.2419,0.1621,-0.454
V_rollmax_E_SAR_ratio_kobs30,6.4966,4.6813,-0.443
SMAP_x_year,0.174,0.4179,0.388
F_MSI,1.0445,0.7816,-0.369
V_rollrng_F_NDVI_kobs30,0.0962,0.2044,0.355
C_lag_F_NDMI_kobs30,-0.02,0.117,0.342
A_d_SMAP_sm_interp_kobs30,-0.0058,0.0275,0.322
A_grad_SMAP_sm_interp_kobs30,-0.0002,0.0009,0.322
D_sa_LST_modis,0.9141,-3.5728,-0.313
V_rollmean_F_NDMI_kobs30,-0.0016,0.0818,0.304
V_rollrng_F_NDVI_kobs14,0.0426,0.0967,0.294
slope,9.5007,9.5007,0.282
V_ema_F_NDVI_kobs30,0.2794,0.3966,0.264
J_bio_bio15,31.0,61.0,0.262
SMAP_sm_pm_interp_rollrange30,0.0577,0.0788,0.256
aspect,147.7658,142.7207,-0.242
s2_b8,0.2205,0.1943,-0.222
K_aspect_cos,0.342,0.309,-0.22
D_sa_F_NDMI,-0.0507,0.0589,0.211
C_lag_F_NDVI_kobs30,0.284,0.4003,0.181
V_rollrng_E_SAR_ratio_kobs30,0.6635,0.5007,-0.181
A_grad_E_SAR_diff_kobs30,-0.0,0.0001,0.175
A_d_E_SAR_diff_kobs30,-0.0008,0.0019,0.175
V_rollrng_LST_modis_kobs30,8.2422,6.6903,-0.167
J_aspect_deg,70.0,72.0,0.131
lia_std_asc_deg,0.1837,0.1837,0.112
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.099
latitude,44.0088,44.0088,-0.076
J_clay_wfrac_b100,18.0,19.0,-0.061
A_d_s2_b11_kobs30,-0.0018,-0.003,-0.033
A_grad_s2_b11_kobs30,-0.0001,-0.0001,-0.033
A_d_LST_modis_kobs30,0.3828,0.1482,-0.021
A_grad_LST_modis_kobs30,0.0128,0.0049,-0.021
K_aspect_sin,0.891,0.8746,0.016
A_grad_LST_modis_kobs14,0.0077,0.0107,0.002
A_d_LST_modis_kobs14,0.1079,0.1495,0.002
