feature,median_cluster0,median_cluster1,rank_biserial_r
K_aspect_cos,-0.5,-0.891,1.0
J_bio_bio15,61.0,34.0,1.0
J_clay_wfrac_b100,9.0,23.0,-1.0
J_bio_bio02,97.0,133.0,-1.0
SMAP_sm_pm_interp_rollmean30,0.4147,0.1945,0.951
V_ema_SMAP_sm_interp_kobs30,0.3702,0.1838,0.946
SMAP_sm_pm_interp_lag30,0.4142,0.1931,0.93
V_rollmin_s2_b12_kobs30,0.0458,0.137,-0.917
V_rollmean_F_NDMI_kobs30,0.3964,0.0124,0.893
D_sa_F_NDMI,0.0605,-0.3353,0.882
C_lag_F_NDMI_kobs30,0.3935,0.0096,0.861
F_MSI,0.4352,0.9809,-0.859
D_z_E_SAR_ratio,-0.2926,1.4568,-0.848
V_rollmax_E_SAR_ratio_kobs7,4.5249,5.9967,-0.796
V_rollmax_E_SAR_ratio_kobs30,4.7217,6.3671,-0.793
s2_b11,0.1028,0.2217,-0.788
E_SAR_ratio,4.4492,5.8605,-0.787
D_sa_LST_modis,-0.7015,7.5295,-0.684
V_rollrng_G_API_kobs30,68.2121,22.8026,0.648
V_rollmax_G_API_kobs30,97.9925,30.5554,0.643
latitude,47.51,46.2333,0.642
V_ema_G_API_kobs30,54.3952,17.1692,0.632
lia_std_asc_deg,4.5682,4.6217,-0.588
V_rollmax_G_API_kobs7,62.9628,20.1133,0.574
V_rollmin_G_API_kobs14,29.9761,8.9775,0.538
SMAP_x_year,0.3226,0.1263,0.458
V_rollrng_E_SAR_ratio_kobs30,0.394,0.7804,-0.42
V_ema_LST_modis_kobs30,281.1899,291.3627,-0.404
V_ema_F_NDVI_kobs30,0.5265,0.3291,0.37
C_lag_F_NDVI_kobs30,0.5332,0.3296,0.324
SMAP_sm_pm_interp_rollrange30,0.0693,0.0517,0.289
s2_b8,0.2635,0.2297,0.215
K_aspect_sin,0.6018,0.454,0.204
J_aspect_deg,143.0,153.0,-0.204
V_rollrng_LST_modis_kobs30,7.0442,8.3002,-0.167
slope,18.1494,20.2254,0.112
V_rollrng_F_NDVI_kobs30,0.1549,0.1533,0.092
V_rollrng_F_NDVI_kobs14,0.0753,0.073,0.04
A_d_SMAP_sm_interp_kobs30,-0.0047,0.0001,-0.023
A_grad_SMAP_sm_interp_kobs30,-0.0002,0.0,-0.023
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.022
aspect,170.818,183.0896,-0.02
A_grad_LST_modis_kobs14,0.0137,-0.0045,0.019
A_d_LST_modis_kobs14,0.1918,-0.0632,0.019
A_d_E_SAR_diff_kobs30,-0.0003,-0.0001,-0.015
A_grad_E_SAR_diff_kobs30,-0.0,-0.0,-0.015
A_d_s2_b11_kobs30,-0.0019,0.0008,-0.007
A_grad_s2_b11_kobs30,-0.0001,0.0,-0.007
A_grad_LST_modis_kobs30,0.0168,0.0178,-0.005
A_d_LST_modis_kobs30,0.5035,0.5329,-0.005
