feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_LST_modis_kobs30,292.9154,274.7326,0.917
V_ema_G_API_kobs30,19.05,74.6919,-0.691
V_rollmin_G_API_kobs14,8.5636,42.9966,-0.689
V_rollmax_G_API_kobs30,36.6247,131.9999,-0.657
V_rollmax_G_API_kobs7,21.7216,84.0855,-0.646
V_rollrng_G_API_kobs30,28.077,90.2012,-0.614
V_ema_F_NDVI_kobs30,0.4941,0.3008,0.387
s2_b11,0.1452,0.1027,0.351
V_rollrng_E_SAR_ratio_kobs30,0.3767,0.7146,-0.337
V_rollmin_s2_b12_kobs30,0.0631,0.0457,0.323
F_MSI,0.5106,0.4278,0.302
C_lag_F_NDVI_kobs30,0.4867,0.3049,0.293
V_rollmean_F_NDMI_kobs30,0.3297,0.385,-0.281
V_rollmax_E_SAR_ratio_kobs30,4.794,5.7664,-0.255
C_lag_F_NDMI_kobs30,0.3322,0.3721,-0.231
V_rollmax_E_SAR_ratio_kobs7,4.6471,5.392,-0.212
SMAP_sm_pm_interp_rollmean30,0.4133,0.2863,0.191
E_SAR_ratio,4.5863,5.2282,-0.183
A_d_SMAP_sm_interp_kobs30,0.0031,-0.0103,0.178
A_grad_SMAP_sm_interp_kobs30,0.0001,-0.0003,0.178
A_d_E_SAR_diff_kobs30,0.0008,-0.0015,0.159
A_grad_E_SAR_diff_kobs30,0.0,-0.0,0.159
SMAP_sm_pm_interp_lag30,0.3915,0.293,0.139
V_ema_SMAP_sm_interp_kobs30,0.355,0.2696,0.128
D_sa_F_NDMI,0.0239,-0.0921,0.125
V_rollrng_LST_modis_kobs30,7.0943,7.832,-0.119
A_grad_LST_modis_kobs30,0.0358,-0.005,0.074
A_d_LST_modis_kobs30,1.0753,-0.1499,0.074
V_rollrng_F_NDVI_kobs30,0.1679,0.1469,0.069
V_rollrng_F_NDVI_kobs14,0.0799,0.0697,0.068
slope,18.1494,18.1494,-0.068
D_z_E_SAR_ratio,-0.0273,0.1432,0.062
SMAP_x_year,0.2354,0.2377,0.053
J_clay_wfrac_b100,17.0,17.0,0.052
s2_b8,0.2505,0.243,0.051
A_grad_LST_modis_kobs14,-0.0103,0.0274,-0.048
A_d_LST_modis_kobs14,-0.1443,0.383,-0.048
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.046
J_bio_bio02,97.0,97.0,0.043
aspect,170.818,170.818,-0.041
A_d_s2_b11_kobs30,-0.003,0.0021,-0.041
A_grad_s2_b11_kobs30,-0.0001,0.0001,-0.041
J_bio_bio15,60.0,60.0,-0.038
K_aspect_sin,0.4848,0.4848,0.026
lia_std_asc_deg,4.5843,4.5843,0.025
K_aspect_cos,-0.5878,-0.5878,-0.021
J_aspect_deg,151.0,151.0,-0.02
D_sa_LST_modis,0.6,1.4867,-0.018
latitude,47.42,47.42,0.015
SMAP_sm_pm_interp_rollrange30,0.0643,0.0606,0.011
