feature,median_cluster0,median_cluster1,rank_biserial_r
V_ema_LST_modis_kobs30,295.4934,278.7465,0.807
V_rollmin_G_API_kobs14,3.5215,30.3106,-0.777
V_ema_G_API_kobs30,9.871,51.9006,-0.77
V_rollmax_G_API_kobs7,10.6317,60.5348,-0.727
V_rollmax_G_API_kobs30,19.9755,89.9565,-0.712
V_rollrng_G_API_kobs30,17.2734,62.7706,-0.645
V_rollmean_F_NDMI_kobs30,0.3031,0.3797,-0.391
F_MSI,0.5386,0.4506,0.363
C_lag_F_NDMI_kobs30,0.3005,0.3738,-0.357
V_rollmin_s2_b12_kobs30,0.065,0.0505,0.351
s2_b11,0.1508,0.1153,0.338
V_ema_F_NDVI_kobs30,0.4939,0.3743,0.309
C_lag_F_NDVI_kobs30,0.521,0.3794,0.306
V_rollrng_E_SAR_ratio_kobs30,0.3434,0.5587,-0.264
V_rollrng_LST_modis_kobs30,5.9793,7.937,-0.22
A_grad_LST_modis_kobs14,-0.0741,0.0469,-0.201
A_d_LST_modis_kobs14,-1.038,0.6567,-0.201
A_grad_LST_modis_kobs30,-0.0486,0.05,-0.196
A_d_LST_modis_kobs30,-1.457,1.5009,-0.196
D_sa_LST_modis,1.7832,0.6452,0.19
SMAP_sm_pm_interp_rollrange30,0.0546,0.0651,-0.163
J_clay_wfrac_b100,17.0,17.0,0.159
lia_std_asc_deg,4.6217,4.5843,0.153
D_z_E_SAR_ratio,0.0882,0.0223,0.142
V_rollmax_E_SAR_ratio_kobs30,4.7847,5.357,-0.139
K_aspect_cos,-0.5878,-0.5878,-0.137
SMAP_x_year,0.1672,0.2578,-0.122
J_aspect_deg,151.0,151.0,0.117
A_grad_s2_b11_kobs30,-0.0002,0.0001,-0.112
A_d_s2_b11_kobs30,-0.0064,0.0028,-0.112
latitude,47.42,47.42,-0.11
A_d_E_SAR_diff_kobs30,-0.0013,0.0004,-0.109
A_grad_E_SAR_diff_kobs30,-0.0,0.0,-0.109
A_d_SMAP_sm_interp_kobs30,-0.0118,0.0009,-0.108
A_grad_SMAP_sm_interp_kobs30,-0.0004,0.0,-0.108
V_rollrng_F_NDVI_kobs30,0.1804,0.1506,0.09
K_aspect_sin,0.4848,0.4848,-0.083
s2_b8,0.237,0.2532,-0.077
V_ema_SMAP_sm_interp_kobs30,0.3319,0.2924,-0.057
slope,18.1494,18.1494,-0.051
V_rollmax_E_SAR_ratio_kobs7,4.7039,4.9685,-0.051
V_rollrng_F_NDVI_kobs14,0.0765,0.0735,0.047
aspect,170.818,170.818,0.047
SMAP_sm_pm_interp_rollmean30,0.3754,0.3204,-0.043
J_bio_bio15,60.0,60.0,-0.036
D_sa_F_NDMI,0.0022,-0.0326,-0.033
E_SAR_ratio,4.6484,4.8518,-0.018
SMAP_sm_pm_interp_lag30,0.3793,0.3194,-0.011
J_bio_bio02,97.0,97.0,0.007
A_d_SMAP_sm_interp_kobs5,0.0,0.0,0.002
