station_id,date,rain_total_mm,rain_peak_hour,sensor_max_hour,sensor_min_hour,min_lag_after_peak_h
ECE_BBG_Lost_Meadow,2026-07-22,0.0,,22,13,
ECE_BBG_Main_St,2026-07-22,0.0,,21,13,
ECE_Renton_Garden_North,2026-07-22,0.0,,4,15,
ECE_Renton_Garden_Shed,2026-07-22,0.0,,5,15,
ECE_Renton_Home,2026-07-22,0.0,,5,14,
ECE_BBG_Lost_Meadow,2026-07-23,6.1,0.0,4,14,14.0
ECE_BBG_Main_St,2026-07-23,6.1,0.0,23,0,0.0
ECE_Renton_Garden_North,2026-07-23,10.7,0.0,3,15,15.0
ECE_Renton_Garden_Shed,2026-07-23,10.7,0.0,4,15,15.0
ECE_Renton_Home,2026-07-23,10.7,0.0,7,14,14.0
ECE_BBG_Lost_Meadow,2026-07-25,0.0,,5,13,
ECE_BBG_Main_St,2026-07-25,0.0,,5,13,
ECE_Renton_Garden_North,2026-07-25,0.5,11.0,5,16,5.0
ECE_Renton_Garden_Shed,2026-07-25,0.5,11.0,5,13,2.0
ECE_Renton_Home,2026-07-25,0.8,11.0,5,13,2.0
ECE_BBG_Lost_Meadow,2026-07-26,6.2,8.0,23,13,5.0
ECE_BBG_Main_St,2026-07-26,6.2,8.0,23,13,5.0
ECE_Renton_Garden_North,2026-07-26,6.8,8.0,7,14,6.0
ECE_Renton_Garden_Shed,2026-07-26,6.8,8.0,5,14,6.0
ECE_Renton_Home,2026-07-26,6.8,8.0,7,14,6.0
ECE_BBG_Lost_Meadow,2026-07-27,0.0,,2,14,
ECE_BBG_Main_St,2026-07-27,0.0,,1,13,
ECE_Renton_Garden_North,2026-07-27,0.0,,0,15,
ECE_Renton_Garden_Shed,2026-07-27,0.0,,0,14,
ECE_Renton_Home,2026-07-27,0.0,,3,14,
ECE_BBG_Lost_Meadow,2026-08-02,0.8,13.0,23,16,3.0
ECE_BBG_Main_St,2026-08-02,0.8,13.0,6,18,5.0
ECE_Renton_Garden_North,2026-08-02,2.3,16.0,3,10,18.0
ECE_Renton_Garden_Shed,2026-08-02,2.3,16.0,4,9,17.0
ECE_Renton_Home,2026-08-02,1.3,14.0,7,15,1.0
ECE_BBG_Lost_Meadow,2026-08-03,0.0,,8,13,
ECE_BBG_Main_St,2026-08-03,0.0,,4,12,
ECE_Renton_Garden_North,2026-08-03,0.0,,5,15,
ECE_Renton_Garden_Shed,2026-08-03,0.0,,5,13,
ECE_Renton_Home,2026-08-03,0.0,,6,14,
