chunk_idx,chunk_id,row,col,macro_chunk_id,modis_tile,modis_row,modis_col,center_lat,center_lon,utm_cx,utm_cy,dep_lat,dep_lon,dep_type,in_farm_parcel,parcel_coverage_pct,center_inside_parcel,elevation_m,slope_deg,slope_pct,aspect_deg,soil_series,mukey,sand_pct,clay_pct,silt_pct,organic_matter_pct,bulk_density_g_cm3,drainage_class,sand_clay_ratio,opt_red_mean,opt_green_mean,opt_blue_mean,opt_grvi,opt_vari,modis_lst_celsius,openmeteo_annual_precip_mm,openmeteo_annual_rain_mm,openmeteo_max_daily_mm,openmeteo_max_30d_mm,openmeteo_max_7d_mm,openmeteo_grid_point,prism_annual_precip_mm,prism_precip_30d_mm,prism_precip_7d_mm,precip_delta_openmeteo_minus_prism_mm,smap_9km_cell_id,smap_ease2_row,smap_ease2_col,smap_status,smap_sm_mean_spring_m3_m3,smap_sm_mean_summer_m3_m3,smap_sm_aug2026_am_m3_m3,smap_sm_aug2026_pm_m3_m3,smap_revisit_rate_pct
0,R01_C01,1,1,MODIS_h09v04_r5137_c11647,h09v04,5137,11647,47.1868579646088,-122.04137878824328,572625.0,5226375.0,47.186858,-122.041379,external,False,0.0,False,209.0,0.51,0.89,333.4,Buckley,300971,52.8,11.7,35.5,9.82,1.05,Poorly drained,4.51,56.4,94.7,56.9,0.254,0.407,24.03,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1471.1,236.4,80.7,99.5,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
1,R01_C02,1,2,MODIS_h09v04_r5137_c11647,h09v04,5137,11647,47.18683030771704,-122.03807936384027,572875.0,5226375.0,47.18683,-122.038079,external,False,0.0,False,210.0,0.57,1.0,323.1,Buckley,300971,52.7,13.3,34.0,9.82,1.03,Poorly drained,3.96,57.5,94.8,54.4,0.245,0.381,24.02,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1472.2,233.7,80.7,98.4,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
2,R01_C03,1,3,MODIS_h09v04_r5137_c11647,h09v04,5137,11647,47.18680255581939,-122.0347799443487,573125.0,5226375.0,47.186803,-122.03478,external,False,0.0,False,212.0,0.89,1.56,320.2,Buckley,300971,52.7,11.8,35.6,9.81,1.05,Poorly drained,4.47,70.8,102.1,52.8,0.181,0.26,24.19,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1474.5,239.0,80.7,96.1,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
3,R01_C04,1,4,MODIS_h09v04_r5137_c11647,h09v04,5137,11647,47.18677470891621,-122.0314805297854,573375.0,5226375.0,47.186775,-122.031481,external,False,0.0,False,215.0,0.46,0.8,270.0,Wilkeson,300985,28.6,14.3,57.1,7.8,1.19,Moderately well drained,2.0,85.2,109.4,69.6,0.124,0.193,24.28,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1478.0,233.8,80.8,92.6,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
4,R01_C05,1,5,MODIS_h09v04_r5137_c11648,h09v04,5137,11648,47.186746767007854,-122.0281811201672,573625.0,5226375.0,47.186747,-122.028181,external,False,0.0,False,216.0,0.41,0.72,303.7,Wilkeson,300985,28.6,13.3,58.1,7.8,1.18,Moderately well drained,2.15,83.9,109.4,68.2,0.132,0.204,24.19,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1479.1,239.2,80.8,91.5,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
5,R01_C06,1,6,MODIS_h09v04_r5137_c11648,h09v04,5137,11648,47.18671873009469,-122.024881715511,573875.0,5226375.0,47.186719,-122.024882,external,False,0.0,False,218.0,0.51,0.89,296.6,Wilkeson,300985,28.5,14.2,57.3,7.8,1.13,Moderately well drained,2.01,87.7,108.7,66.0,0.107,0.161,24.2,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1481.4,236.2,80.9,89.2,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
6,R02_C01,2,1,MODIS_h09v04_r5137_c11646,h09v04,5137,11646,47.18460866221935,-122.04141928509819,572625.0,5226125.0,47.184609,-122.041419,external,False,0.0,False,211.0,0.41,0.72,326.3,Buckley,300971,50.8,11.7,37.5,9.54,1.03,Poorly drained,4.34,82.3,108.0,73.6,0.135,0.22,24.43,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1467.7,235.9,80.2,102.9,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
7,R02_C02,2,2,MODIS_h09v04_r5137_c11646,h09v04,5137,11646,47.184581007490785,-122.03812000002671,572875.0,5226125.0,47.184581,-122.03812,external,False,0.0,False,212.0,0.65,1.13,315.0,Buckley,300971,50.8,13.3,35.9,9.54,1.05,Poorly drained,3.82,88.6,108.3,75.7,0.1,0.162,24.53,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1469.2,233.2,80.4,101.4,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
8,R02_C03,2,3,MODIS_h09v04_r5137_c11647,h09v04,5137,11647,47.18455325776376,-122.03482071986595,573125.0,5226125.0,47.184553,-122.034821,external,False,0.0,False,215.0,0.57,1.0,323.1,Buckley,300971,50.8,11.7,37.4,9.53,1.05,Poorly drained,4.34,92.6,110.4,76.4,0.088,0.14,24.43,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1473.2,238.8,80.6,97.4,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
9,R02_C04,2,4,MODIS_h09v04_r5137_c11647,h09v04,5137,11647,47.184525413038635,-122.03152144463272,573375.0,5226125.0,47.184513,-122.030107,interior_representative,True,7.1,False,215.0,0.32,0.57,315.0,Wilkeson,300985,26.9,14.3,58.8,7.44,1.19,Moderately well drained,1.88,91.3,109.5,81.5,0.09,0.152,24.42,1570.6,1474.2,37.1,281.2,117.2,"47.2056°N, 122.0065°W",1473.6,233.1,80.7,97.0,SMAP_EASE2_M09_R0218_C0619,218,619,VALID_RETRIEVAL,0.3127,0.1603,0.1593,0.1221,50.0
