Feature,Mean,Std,Min,Max,CV (%),Distinct_Values_Confirmed
elevation_m,214.44,3.31,200.0,220.0,1.54,True
slope_deg,0.49,0.59,0.11,3.01,120.42,True
sand_pct,31.82,8.74,27.6,56.5,27.45,True
clay_pct,13.31,0.62,11.3,13.9,4.67,True
silt_pct,54.87,8.21,32.0,59.3,14.96,True
organic_matter_pct,7.78,0.79,7.3,10.0,10.18,True
bulk_density_g_cm3,1.18,0.04,1.05,1.21,3.48,True
sand_clay_ratio,2.43,0.84,2.01,5.0,34.57,True
opt_red_mean,82.53,12.55,49.6,116.0,15.21,True
opt_green_mean,106.71,7.47,81.3,128.9,7.0,True
opt_blue_mean,70.11,10.87,51.8,106.3,15.5,True
opt_grvi,0.15,0.05,0.04,0.29,37.38,True
opt_vari,0.23,0.09,0.07,0.47,37.83,True
