variant,feature_count,best_iteration,split,r2,rmse,ubrmse,bias,mae,q90,n,macro_station_r2
baseline_38,38,163,train,0.6998548732793507,0.05999846910345316,0.05999846520012677,2.164225500075142e-05,0.04722479287297101,0.09561897140979775,29362,0.5372189362009778
baseline_38,38,163,val,0.5351664818990673,0.07777961428810534,0.07679803117784373,0.012317905910234317,0.058651415488204635,0.11710825057029724,13637,-0.0688127572203495
baseline_38,38,163,test,0.43153386551735895,0.0847465208653589,0.0847091526335232,0.0025163979997566265,0.06390081136962796,0.13675542182403527,20166,-0.2791539566986394
minus_smap_x_year,37,187,train,0.7066038908947345,0.059320075638097554,0.059320073238005616,1.687445600352752e-05,0.04635029007081313,0.09509196141081039,29362,0.5467613340673093
minus_smap_x_year,37,187,val,0.5449715707424052,0.07695490963705438,0.0761981747054336,0.010765513866389539,0.05765423155690616,0.11764794344902037,13637,-0.0013731027198090491
minus_smap_x_year,37,187,test,0.4279666246948215,0.08501200586663377,0.08500913795398714,0.0006982877548380863,0.06334629633388156,0.13861896645765112,20166,-0.24762345815236989
alternative_smap_mean_std,41,223,train,0.7220971171731704,0.05773259076836909,0.05773258652771744,-2.2127982144060565e-05,0.04472683726596024,0.092926092941856,29362,0.5759662953612049
alternative_smap_mean_std,41,223,val,0.5451395876733336,0.07694070072098991,0.07599582407457202,0.012021071111329367,0.057068297628488626,0.1172956594467163,13637,-0.021775762280321565
alternative_smap_mean_std,41,223,test,0.42994020086956153,0.08486522891314983,0.0848431948299907,0.0019337449473921526,0.06289940735193496,0.13680166855973283,20166,-0.2389342192775952
alternative_smap_plus_ndvi_lst,46,183,train,0.7079401033477979,0.05918484092369149,0.05918482986469278,3.618079651053391e-05,0.04624298036967594,0.09461557015180588,29362,0.5482359582884366
alternative_smap_plus_ndvi_lst,46,183,val,0.5397200711401289,0.07739770542285916,0.07621669588729421,0.013469226880091922,0.058360773899355664,0.11538389291763303,13637,-0.05340174686198876
alternative_smap_plus_ndvi_lst,46,183,test,0.4322899509146846,0.08469014378056071,0.08461969086438,0.003453747470329966,0.06350713769386598,0.13654160460829734,20166,-0.2678278772627933
alternative_smap_plus_soil,44,231,train,0.722876945992998,0.0576515315760045,0.05765152884802971,-1.7735383900785973e-05,0.04455901823041774,0.09233484529361206,29362,0.5744712187545944
alternative_smap_plus_soil,44,231,val,0.5360555224833552,0.0777051980440082,0.07653913174935979,0.013411156330185673,0.05761591589449821,0.11776152935950866,13637,-0.035120075760039914
alternative_smap_plus_soil,44,231,test,0.43756174378662505,0.08429600752873555,0.08424097156013419,0.003045586296479073,0.06279947878563091,0.1342212744951248,20166,-0.22931387252327692
alternative_smap_ndvi_lst_soil,49,184,train,0.7056724801098033,0.059414159328943346,0.059414148935931235,3.5142339804015766e-05,0.04638008622599836,0.09529351147650668,29362,0.5434514997747171
alternative_smap_ndvi_lst_soil,49,184,val,0.5375440351375828,0.07758044379006829,0.07665240857327753,0.011963842132829812,0.05822538722500524,0.11638899517638271,13637,-0.05642760227919571
alternative_smap_ndvi_lst_soil,49,184,test,0.4376420407941649,0.08428999001598629,0.08426292185101573,0.0021359817472728425,0.06324767503405372,0.13678704784393814,20166,-0.25196419144752746
