station_id,date,window_start,window_end,window_span_days,lstm_scalar_prediction,lstm_z_00,lstm_z_01,lstm_z_02,lstm_z_03,lstm_z_04,lstm_z_05,lstm_z_06,lstm_z_07,lstm_z_08,lstm_z_09,lstm_z_10,lstm_z_11,lstm_z_12,lstm_z_13,lstm_z_14,lstm_z_15,lstm_z_16,lstm_z_17,lstm_z_18,lstm_z_19,lstm_z_20,lstm_z_21,lstm_z_22,lstm_z_23,lstm_z_24,lstm_z_25,lstm_z_26,lstm_z_27,lstm_z_28,lstm_z_29,lstm_z_30,lstm_z_31,lstm_z_32,lstm_z_33,lstm_z_34,lstm_z_35,lstm_z_36,lstm_z_37,lstm_z_38,lstm_z_39,lstm_z_40,lstm_z_41,lstm_z_42,lstm_z_43,lstm_z_44,lstm_z_45,lstm_z_46,lstm_z_47,lstm_z_48,lstm_z_49,lstm_z_50,lstm_z_51,lstm_z_52,lstm_z_53,lstm_z_54,lstm_z_55,lstm_z_56,lstm_z_57,lstm_z_58,lstm_z_59,lstm_z_60,lstm_z_61,lstm_z_62,lstm_z_63
Darrington,2017-01-11,2017-01-01,2017-01-10,10,0.29593328,-0.5791002,-0.593195,1.9864905,1.6948516,-0.55622363,-0.58326054,0.76532686,-0.5879127,-0.59098554,-0.58902097,-0.14710087,0.78222644,0.37038633,-0.59874165,-0.048601493,-0.59024066,0.18155769,1.1278954,1.15183,-0.5985671,-0.58224756,1.6432332,0.03599965,-0.5984965,-0.5981187,0.57403696,-0.5978022,-0.58075464,-0.5992867,-0.57796556,0.986793,-0.5910847,-0.5833576,-0.58567417,0.26683417,1.3282901,0.08856781,-0.3914549,-0.59205455,-0.59690535,-0.5775207,-0.5870151,-0.5877449,0.037472002,-0.587095,-0.5847306,-0.59762156,2.1817799,-0.577832,1.2550924,-0.58762497,-0.5781627,0.8435551,-0.5857571,-0.588673,-0.5909524,-0.57986253,-0.586145,4.9847565,-0.5862914,-0.5819108,0.052341383,-0.17700209,0.7056071
Darrington,2017-01-12,2017-01-02,2017-01-11,10,0.32971358,-0.5668692,-0.58086544,1.8019123,1.6364911,-0.43491948,-0.57093567,0.8492555,-0.5756645,-0.57867366,-0.5767459,-0.49608493,0.7541382,0.46709654,-0.58626646,0.013339153,-0.5779485,0.2563979,1.1439959,1.2294817,-0.5860949,-0.5699436,2.0345292,0.30424014,-0.586027,-0.5856421,0.60654116,-0.5853461,-0.56848174,-0.5867853,-0.5657535,0.7812934,-0.57875735,-0.5710017,-0.5732978,-0.20425412,1.3444328,0.2200719,-0.56651574,-0.57971513,-0.5844572,-0.56532085,-0.57478845,-0.57550657,-0.07194964,-0.5748642,-0.57255226,-0.5851694,1.995785,-0.56562406,1.2893281,-0.57522404,-0.5659453,0.43236092,-0.57337743,-0.57621586,-0.57865256,-0.5676188,-0.57375443,4.9576793,-0.5739027,-0.56961185,0.002128753,-0.27131906,1.1834073
Darrington,2017-01-13,2017-01-03,2017-01-12,10,0.3568162,-0.55944145,-0.5733779,1.6026199,1.5503117,-0.2477835,-0.56345093,0.8763838,-0.5682264,-0.5711968,-0.56929153,-0.56445366,0.78408736,0.56679326,-0.5786905,0.03820375,-0.5704837,0.40281773,1.1481302,1.2441729,-0.5785207,-0.56247157,2.3672743,0.53139347,-0.5784545,-0.5780653,0.6078038,-0.5777817,-0.56102854,-0.5791935,-0.55833733,0.6004718,-0.5712711,-0.5634982,-0.56578183,-0.57716936,1.2493721,0.336817,-0.5687297,-0.5722216,-0.5768977,-0.55791205,-0.5673634,-0.5680744,-0.132526,-0.5674366,-0.5651565,-0.57760733,1.876039,-0.5582104,1.2409226,-0.5676931,-0.5585259,0.0046073417,-0.5658595,-0.56865084,-0.571183,-0.56018335,-0.5662298,4.8762026,-0.5663793,-0.5621429,-0.050829187,-0.33786047,1.5463022
Darrington,2017-01-14,2017-01-04,2017-01-13,10,0.37922245,-0.55611193,-0.5700215,1.4127984,1.4482354,-0.038624853,-0.56009585,0.8683323,-0.5648922,-0.5678452,-0.56595,-0.56109405,0.849105,0.66241735,-0.5752945,0.035783567,-0.5671375,0.5726485,1.1255168,1.2070843,-0.57512546,-0.55912215,2.6416268,0.69434506,-0.57506007,-0.5746688,0.596899,-0.5743908,-0.5576876,-0.57579035,-0.55501294,0.46016183,-0.5679154,-0.56013465,-0.56241274,-0.5738074,1.1077853,0.38628578,-0.5653943,-0.5688625,-0.573509,-0.554591,-0.564035,-0.56474286,-0.17114893,-0.5641071,-0.56184125,-0.57421756,1.7956334,-0.5548871,1.1500534,-0.56431735,-0.5552001,-0.39613414,-0.5624895,-0.5652597,-0.56783473,-0.5568504,-0.56285685,4.782509,-0.5630069,-0.5587949,-0.10429957,-0.37737346,1.8293544
Darrington,2017-01-15,2017-01-05,2017-01-14,10,0.39248592,-0.5519483,-0.56582433,1.2483062,1.343853,0.07702399,-0.5559003,0.85133785,-0.56072277,-0.5636541,-0.5617714,-0.55689275,0.8498333,0.78872114,-0.5710478,0.05520657,-0.56295305,0.6831175,1.1182001,1.183616,-0.57087976,-0.5549337,2.8456204,0.82800657,-0.57081527,-0.57042164,0.59085876,-0.57015055,-0.5535097,-0.5715347,-0.5508558,0.34808436,-0.5637189,-0.5559285,-0.55819964,-0.56960326,1.033323,0.36702812,-0.5612233,-0.564662,-0.5692715,-0.550438,-0.55987287,-0.56057674,-0.24126501,-0.55994356,-0.55769557,-0.56997865,1.6390835,-0.55073136,1.1259309,-0.56009585,-0.5510411,-0.5651181,-0.55827534,-0.5610191,-0.56364775,-0.5526824,-0.55863893,4.689167,-0.5587896,-0.55460817,-0.13844636,-0.41298473,2.0581605
Darrington,2017-01-21,2017-01-06,2017-01-15,15,0.39636087,-0.5491533,-0.5630069,1.1811185,1.2091907,0.044243015,-0.5530839,0.8598464,-0.55792385,-0.56084067,-0.5589664,-0.5540725,0.7869048,0.90857613,-0.568197,0.06025881,-0.5601442,0.70471317,1.1863514,1.1985471,-0.5680297,-0.5521221,2.9361446,0.98288655,-0.5679658,-0.56757057,0.5824737,-0.5673042,-0.5507052,-0.56867796,-0.5480652,0.26990882,-0.560902,-0.55310506,-0.55537146,-0.5667811,1.0543456,0.25672936,-0.55842346,-0.56184226,-0.56642693,-0.54765016,-0.55707896,-0.55778015,-0.3233691,-0.55714864,-0.5549127,-0.5671332,1.3804954,-0.54794174,1.184825,-0.49422243,-0.5482493,-0.5622975,-0.55544645,-0.5581725,-0.56083703,-0.54988456,-0.55580753,4.6289062,-0.5559586,-0.5517977,-0.1319215,-0.44716507,2.239772
Darrington,2017-01-22,2017-01-07,2017-01-21,15,0.29761887,-0.4692986,-0.54128903,1.3807752,2.0836906,0.106763385,-0.5313743,0.8714596,-0.5363494,-0.539154,-0.5373446,-0.5323334,1.4060994,0.6631097,-0.5462227,-0.112165496,-0.5384922,0.9890626,0.388261,0.12340867,-0.5460605,-0.53044933,2.5916865,-0.1213357,-0.54600155,-0.5455937,0.4199247,-0.54536337,-0.5290871,-0.54665756,-0.5265544,0.8344281,-0.53918797,-0.5313409,-0.53357124,-0.545027,0.7696894,0.32746312,-0.53684115,-0.5401071,-0.54450023,-0.5261608,-0.53554237,-0.53622293,-0.15169272,-0.5356047,-0.5334611,-0.54519933,2.2382827,-0.5264382,1.5532407,-0.53541857,-0.52672905,-0.54055566,-0.53364044,-0.5362299,-0.5391716,-0.5283179,-0.5339823,4.484551,-0.5341368,-0.53013384,-0.53123206,-0.37744954,1.9417284
Darrington,2017-01-23,2017-01-08,2017-01-22,15,0.2982979,-0.20555207,-0.48104408,1.4687831,2.1279457,0.29788747,-0.5271856,0.8217609,-0.53218687,-0.53496975,-0.53317285,-0.528139,1.683662,0.612664,-0.54198295,-0.35881633,-0.5343147,1.0851581,0.2670353,-0.3284092,-0.5418217,-0.5262678,2.5158103,-0.21620306,-0.5417637,-0.54135346,0.10696142,-0.54113007,-0.5249161,-0.54240894,-0.5224041,0.8280497,-0.5349985,-0.5271417,-0.52936506,-0.3779299,0.5345869,0.29298618,-0.53267705,-0.53591347,-0.5402697,-0.5220146,-0.5313871,-0.5320637,0.07329438,-0.53144807,-0.5293222,-0.5409674,2.3587651,-0.5222893,1.6679559,-0.53120404,-0.5225769,-0.5363608,-0.5294332,-0.5319963,-0.5349914,-0.5241568,-0.52977127,4.4399195,-0.5299265,-0.525954,-0.5270453,-0.30431396,1.7823402
Darrington,2017-01-25,2017-01-09,2017-01-23,16,0.3365477,-0.067916825,-0.5229924,1.3056608,2.056338,0.34987757,-0.5130846,0.91299,-0.51817364,-0.52088356,-0.5191289,-0.51401883,1.7827224,0.5440956,-0.52771,-0.5054923,-0.5202511,1.3126948,0.10250689,-0.5144966,-0.5275521,-0.5121907,2.710118,-0.20974614,-0.5274973,-0.52707887,-0.32160997,-0.5268789,-0.51087457,-0.52810603,-0.50843215,0.8521036,-0.5208946,-0.51300526,-0.5152052,-0.39234185,0.22878107,0.2596798,-0.51865876,-0.5217958,-0.5260276,-0.50805664,-0.5173985,-0.5180617,0.28655258,-0.5174546,-0.51538885,-0.52672076,2.3190129,-0.38832834,1.5518614,-0.517016,-0.5085989,-0.52223885,-0.5152696,-0.517744,-0.520919,-0.51014864,-0.51559514,4.3428,-0.51575255,-0.51188266,-0.5129508,-0.3063706,1.9479008
Darrington,2017-01-26,2017-01-10,2017-01-25,16,0.36289915,-0.034658514,-0.5224541,1.1874355,1.9245126,0.37405917,-0.5125465,0.9291621,-0.51763886,-0.52034605,-0.51859295,-0.51347995,1.9312783,0.52583456,-0.5271653,-0.5049624,-0.40825534,1.4210539,0.067506514,-0.5139577,-0.5270076,-0.51165354,2.8175564,-0.18106225,-0.52695286,-0.52653414,-0.514123,-0.52633506,-0.51033866,-0.5275602,-0.507899,0.8370911,-0.52035636,-0.5124658,-0.5146648,-0.4895594,0.09303489,0.23421457,-0.51812375,-0.52125704,-0.52548414,-0.50752395,-0.44078925,-0.51752734,0.37453303,-0.5169206,-0.5148571,-0.5261771,2.1944344,-0.2090539,1.4222084,-0.47559744,-0.50806546,-0.5216999,-0.5147291,-0.51720005,-0.520382,-0.50961405,-0.51505417,4.325628,-0.51521164,-0.5113457,-0.51241285,-0.38228396,2.0758705
