model,split,r2,rmse,ubrmse,bias,mae,q90,n,macro_station_r2
T1_temporal_only,train,0.8823662596920179,0.03429642828959075,0.03327772086384492,0.008296884206198188,0.025456262899322533,0.053262420000000005,6731,0.8572891491242084
T1_temporal_only,val,0.7854985809901991,0.04865068321396472,0.04612185166485051,-0.01548107800481203,0.037636075637894735,0.07921224,2660,0.7525697225777516
T1_temporal_only,test,0.599988782681961,0.05954524540036655,0.05885487004345546,-0.009041046507890702,0.045070173960393256,0.09805867999999998,3916,-0.5342751867348401
T0_tabular_38,train,0.9838923946750001,0.012691075588071078,0.012691072180139942,9.300570500273278e-06,0.008948318549019608,0.019408769607543952,6731,0.9808875199218686
T0_tabular_38,val,0.8789465016354157,0.036547908685865195,0.03512016979056169,-0.01011549816827913,0.028864312307844708,0.057205624938011145,2660,0.8704552349770045
T0_tabular_38,test,0.7556067918993651,0.046543128337739575,0.04654306152627931,-7.886205853340771e-05,0.036234179931082994,0.07271538126468659,3916,0.30705600742730715
T0_selected_tabular,train,0.9716968081370778,0.01682289167955557,0.01682288980746944,-7.936485424233031e-06,0.012008892683978282,0.02584947061538695,6731,0.9663389060676421
T0_selected_tabular,val,0.8920810190801396,0.034508237358911474,0.03356603190091003,-0.008008741976494402,0.02678146092799261,0.055963425993919354,2660,0.8800074773010982
T0_selected_tabular,test,0.7683675494002159,0.04531173641008895,0.04524770174646816,0.0024080994913090047,0.034045953345915966,0.07115321546792984,3916,0.3336089465957254
T2_tabular_plus_scalar,train,0.9522605878378786,0.021848492371848983,0.02184848443136326,1.8627270883220656e-05,0.015963130588490082,0.034854783892631525,6731,0.9436771654913791
T2_tabular_plus_scalar,val,0.8380959996371138,0.04226711919195863,0.03760338245842938,-0.019300129338227827,0.03264830518303565,0.07192596005499365,2660,0.8118642331985054
T2_tabular_plus_scalar,test,0.6887526101701246,0.05252473420116426,0.05096988431379248,-0.012685369365594605,0.03969221310679771,0.08643631982803344,3916,-0.12238212968532017
T2_selected_tabular_plus_scalar,train,0.986436074309165,0.011645969323395821,0.011645965091223006,-9.92851910553541e-06,0.008189995575553489,0.01793357986211777,6731,0.9838582173568232
T2_selected_tabular_plus_scalar,val,0.8677776360830982,0.03819674166711875,0.03520879974123234,-0.01480984452201992,0.029850226074186876,0.0632426586508751,2660,0.8465880958046772
T2_selected_tabular_plus_scalar,test,0.7194294776100743,0.049869156752748896,0.04938726563621565,-0.006915980639657247,0.03723089680222907,0.08091249692440032,3916,-0.16350122067969314
T3_tabular_plus_embedding,train,0.9887777017160013,0.010593118847994321,0.010593112862756809,-1.1260756137196265e-05,0.007627602856665659,0.01633997893333433,6731,0.9865019165541711
T3_tabular_plus_embedding,val,0.8734151926758851,0.03737357573958692,0.03558590242425114,-0.01142049527009739,0.028446378929448082,0.060502854526042905,2660,0.8627843820161936
T3_tabular_plus_embedding,test,0.7531321995892017,0.04677817002455836,0.04677816213376896,-2.7170449286030786e-05,0.03535006608106614,0.07522604358196258,3916,0.2529030695283557
T3_selected_tabular_plus_embedding,train,0.9882703621770429,0.01082991984116594,0.010829914457955775,-1.079812206604797e-05,0.007809751842967345,0.016898638725280746,6731,0.9857504951590828
T3_selected_tabular_plus_embedding,val,0.8752129461968348,0.037107237542635264,0.03503379212793749,-0.012230310183393775,0.027985206598200297,0.0587661344528198,2660,0.8617857312700323
T3_selected_tabular_plus_embedding,test,0.7577117999639407,0.04634225217291797,0.04633784778342761,-0.0006389047332846233,0.03477612518848693,0.07446866607666017,3916,0.2984567134698676
T4_embedding_only,train,0.8670438832658396,0.036461715824547006,0.03646167741321632,5.292527347165495e-05,0.028502865302510248,0.05856225860118866,6731,0.8375106287593995
T4_embedding_only,val,0.7531028234413957,0.052195362787670015,0.04385291860266947,-0.028306844164691584,0.041537924927722354,0.0866689541220665,2660,0.7213342183455949
T4_embedding_only,test,0.6510585925084478,0.05561440030966969,0.053964417354328366,-0.013446307352282666,0.04290009583060966,0.09594598935544492,3916,0.1324157937377536
T5_tabular_plus_random,train,0.9577228180840174,0.020560608148377183,0.020560607823795093,3.6533833939001646e-06,0.01501764810236268,0.03243683701753616,6731,0.9505367173667292
T5_tabular_plus_random,val,0.8746485512512971,0.037191058377138424,0.034951432511526985,-0.012711104932455414,0.029532965081521218,0.058756477993726734,2660,0.8642659560089763
T5_tabular_plus_random,test,0.7691485355580985,0.04523528399986259,0.045225267053843166,-0.0009519130510674741,0.03465945268995048,0.07124658352136612,3916,0.29712351822390987
T5_selected_tabular_plus_random,train,0.9651362632767028,0.018671100109311327,0.018671099036952753,6.328050832244376e-06,0.01352487750268829,0.029773393392562852,6731,0.9586397554339957
T5_selected_tabular_plus_random,val,0.8907693431755187,0.0347173151137329,0.03327117054073355,-0.009915703684340853,0.02708908555202074,0.05551576794385906,2660,0.8780486144407355
T5_selected_tabular_plus_random,test,0.7760951889560119,0.044549487988429635,0.04452853511938118,0.0013661772041991588,0.0333057921387358,0.07024450480937958,3916,0.3365015911491606
T6_selected_tabular_plus_shuffled_embedding,train,0.9656895945784215,0.0185223405906427,0.018522340586419828,3.95518583572668e-07,0.01336220013006223,0.02915642189979553,6731,0.9594069128108063
T6_selected_tabular_plus_shuffled_embedding,val,0.8911717379913022,0.03465330855246805,0.03324480310296833,-0.009779307760645572,0.027099249442145788,0.05587748167514801,2660,0.8782363850248198
T6_selected_tabular_plus_shuffled_embedding,test,0.7752016749945502,0.04463828902027839,0.044610395338822856,0.0015778068233589602,0.033210190422581824,0.07061952543258668,3916,0.3431925342944709
