V_rollmin_LST_modis_kobs30,C_lag_LST_modis_kobs30,C_lag_LST_modis_kobs6,V_rollmean_G_API_kobs14,D_sin_DOY,V_ema_G_API_kobs14,V_rollmin_G_API_kobs30,G_rain_sum_3d,V_ema_LST_modis_kobs7,G_rain_sum_7d,G_DSLR,cos_year,G_API,V_ema_G_API_kobs7,V_rollmax_G_API_kobs30,C_lag_G_API_kobs1,V_rollmean_G_API_kobs7,V_rollstd_SMAP_sm_interp_kobs30,V_ema_G_API_kobs30,V_rollmean_s2_b11_kobs7,A_d_E_SAR_diff_kobs14,SMAP_sm_interp,V_rollmean_SMAP_sm_interp_kobs7,V_rollstd_SMAP_sm_interp_kobs7,V_rollmean_SMAP_sm_interp_kobs30,F_NDVI,V_ema_F_NDVI_kobs30,V_rollmean_F_NDVI_kobs30,LST_modis,V_rollmean_LST_modis_kobs30
-2.245418,-1.9613928,-2.6904228,-0.21400714,-0.14704917,-0.1551396,-0.017644469,-0.07904204,-2.437422,0.09369991,-0.47915423,1.2367932,-0.08452523,-0.11384662,-0.01524512,-0.06969833,-0.07876941,-0.16227828,-0.16361369,-1.6858443,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.3201485,-1.2901102,-1.8292222,-1.8975856
-2.245418,-1.9613928,-2.6904228,-0.16723101,-0.12303556,-0.10284083,-0.017644469,0.600108,-2.2909255,0.30403388,-0.47915423,1.2367932,0.21808444,-0.02845626,-0.0891662,-0.08419289,-0.039350778,-0.16227828,-0.13678552,-1.768662,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.3430374,-1.3068426,-1.8292222,-1.8914689
-2.245418,-1.3692685,-2.6904228,-0.1212668,-0.09897905,-0.06531681,-0.017644469,0.4688713,-2.1810532,0.19223474,-0.47915423,1.2367932,0.16384447,0.021490572,-0.16333435,0.21872331,-0.015374475,-0.16227828,-0.11570597,-1.826973,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.3644496,-1.3237511,-1.8292222,-1.906077
-2.245418,-1.3692685,-2.6904228,-0.063884005,-0.074886784,-0.010950317,-0.017644469,0.7346257,-2.098649,0.31919307,-0.47915423,1.2367932,0.31572545,0.098421685,-0.20596372,0.1644284,0.04284522,-0.16227828,-0.08473597,-1.9081182,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.3844805,-1.340811,-1.8292222,-1.9206852
-2.245418,-1.3692685,-2.6904228,-0.0020230354,-0.050765894,0.05241685,-0.017644469,1.0331892,-2.0368457,0.5541608,-0.47915423,1.2367932,0.42869958,0.18547986,-0.12712748,0.3164632,0.12867452,-0.16227828,-0.047395602,-1.9899764,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.403219,-1.3579785,-1.8292222,-1.9352933
-2.245418,-1.3692685,-2.6904228,0.04523016,-0.026623536,0.100702986,-0.017644469,0.49839956,-1.9904934,0.63753635,-0.47915423,1.2367932,0.38259038,0.23879059,-0.12712748,0.4295518,0.19950205,-0.16227828,-0.015879776,-2.0695674,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.4207485,-1.3749171,-1.8292222,-1.9499016
-2.245418,-1.3692685,-1.8202864,0.10791484,-0.0024668581,0.16964802,-0.017644469,0.96428996,-1.9557291,0.8308162,-0.47915423,1.2367932,0.5709813,0.32773286,-0.027839683,0.38339588,0.29346895,-0.16227828,0.027557619,-2.1521626,-1.0559396,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.4371471,-1.3916643,-1.8292222,-1.9645097
-2.245418,-1.3692685,-1.8202864,0.15121533,0.02169698,0.2094374,-0.017644469,0.5148041,-1.9000624,0.7247018,-0.33320642,1.2367932,0.43218967,0.35837024,-0.027839683,0.5719777,0.36921325,-0.16227828,0.057911765,-2.1521626,1.2840412,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.4524878,-1.408166,-1.7123554,-1.9750909
-2.245418,-1.3692685,-1.8202864,0.17817451,0.045860816,0.22569242,-0.017644469,0.10468938,-1.8583125,0.66027516,-0.18725862,1.2367932,0.30545267,0.34841174,-0.027839683,0.43304545,0.3820204,-0.16227828,0.076919675,-2.1521626,1.2840412,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.4668387,-1.4240408,-1.7123554,-1.9856721
-2.245418,-1.1571969,-1.8202864,0.19898628,0.045860816,0.2354456,-0.017644469,0.11125121,-1.827,0.35519618,-0.47915423,0.16430625,0.2753172,0.33311123,-0.027839683,0.30618006,0.398361,-0.16227828,0.09246902,-2.1521626,1.2840412,-0.1046485,-0.08941128,-0.26909757,-0.037136346,-1.4733934,-1.4802638,-1.4397049,-1.7123554,-2.003676
