model,split,r2,rmse,ubrmse,bias,mae,q90,n,macro_station_r2
T1_temporal_only,train,0.2981188467842485,0.07638845250523495,0.07276457700908177,-0.023248914143115192,0.05855959447323068,0.12759070800000002,3377,0.04980838495347197
T1_temporal_only,val,0.6261304936684802,0.06422940236298769,0.05511359040115068,-0.03298345465533835,0.04982004630496241,0.10367500300000002,2660,0.5654802040652102
T1_temporal_only,test,0.343563125140503,0.0762794387538934,0.0728547269132462,-0.022599591655720123,0.05941219268176711,0.12463723000000003,3916,-1.4535050076333191
T0_tabular_38,train,0.9763298748896353,0.014028014247854142,0.014028002498571638,1.8155937505764025e-05,0.010000888357611518,0.022073512750864034,3377,0.9698636650206132
T0_tabular_38,val,0.8837007343154647,0.03582303233537381,0.03563604928062357,-0.0036553573519159544,0.02666465506017544,0.05907661535739898,2660,0.8775538938815622
T0_tabular_38,test,0.7611148175872893,0.04601565522450941,0.04562178340695458,0.006007778666848822,0.03411797495528416,0.0704638810157776,3916,0.18805612517483414
T0_selected_tabular,train,0.9730124292917784,0.014978827459984521,0.014978810190233642,2.2745569659318228e-05,0.010830699040896678,0.0238721018075943,3377,0.9654583546936951
T0_selected_tabular,val,0.8850235744303557,0.035618716042797455,0.0352955375247448,-0.004787270973818867,0.026726399373946556,0.05654433541297912,2660,0.8779248586562082
T0_selected_tabular,test,0.7698909419916713,0.04516248825277237,0.04453479452419202,0.007503493977461363,0.033024015091287315,0.07004917180538175,3916,0.19248273540789063
T2_tabular_plus_scalar,train,0.9592205760023726,0.018412657092612326,0.018412656205205925,5.716556548599328e-06,0.01345752775332669,0.029047937774658195,3377,0.9485498669490692
T2_tabular_plus_scalar,val,0.88568649921522,0.035515883379549404,0.03488050072124971,-0.006687947492665589,0.026206199230080038,0.05853463792800901,2660,0.8773802146278442
T2_tabular_plus_scalar,test,0.7718902664414556,0.044965860928552676,0.044628523010769444,0.005497597923017162,0.033171014548485776,0.07035716652870178,3916,0.08513676781554462
T2_selected_tabular_plus_scalar,train,0.9840609878121498,0.011511359653608217,0.011511336000460073,-2.3335792914742375e-05,0.008101519578778972,0.018143284606933593,3377,0.9798077267131274
T2_selected_tabular_plus_scalar,val,0.8938643718274338,0.03422192664989454,0.033637181133881554,-0.006299230825839409,0.025441713923938514,0.0557197709441185,2660,0.8847222500271206
T2_selected_tabular_plus_scalar,test,0.7716887723699634,0.044985716184921316,0.044442551840480654,0.00696952269359114,0.03251267592790437,0.0716185828447342,3916,0.07854867570625368
T3_tabular_plus_embedding,train,0.9768131654031788,0.013884065491695687,0.013884008636475964,3.9733612419361473e-05,0.010029946333296645,0.022110536515712736,3377,0.9697249320702601
T3_tabular_plus_embedding,val,0.8746880030946629,0.037185205348354865,0.0367231469517987,-0.005843797973571415,0.027978612832254487,0.06203215393424033,2660,0.8690938320903108
T3_tabular_plus_embedding,test,0.7722998691389714,0.044925471566035026,0.04451841134465281,0.006033990949521695,0.033444323383515225,0.06988663917779922,3916,0.35215664601845403
T3_selected_tabular_plus_embedding,train,0.9795465980100292,0.013040033244954162,0.013039978146568732,3.790734123765077e-05,0.0094123427913444,0.0202371832370758,3377,0.97321647122286
T3_selected_tabular_plus_embedding,val,0.8802423389627718,0.036351765775755156,0.03556632777988073,-0.007515796915128043,0.02782749363706636,0.059534059774875636,2660,0.8727731072214729
T3_selected_tabular_plus_embedding,test,0.7830991517865711,0.04384717618906744,0.04353948612241435,0.0051853647847774995,0.032269202667337,0.06757808595895767,3916,0.42554436280045194
T4_embedding_only,train,0.9176040796330169,0.026172715007140353,0.026172711860524722,1.283397593722687e-05,0.01977763947537392,0.0420274938583374,3377,0.8873312388244677
T4_embedding_only,val,0.8056628672705698,0.04630754465389076,0.04621907483244071,-0.0028610860709409078,0.036216669717117365,0.0766014510154724,2660,0.7978900220660338
T4_embedding_only,test,0.6840684983361962,0.05291849327369518,0.05291206532608901,-0.0008247868123410074,0.040563322502408135,0.08625970536470415,3916,0.25355803087604967
T5_tabular_plus_random,train,0.9632915486979851,0.017469438765575492,0.017469431714800466,1.5695417018083773e-05,0.012795951267751045,0.027583819007873534,3377,0.9538491548371935
T5_tabular_plus_random,val,0.8832574204798145,0.03589124317381893,0.03567631002752194,-0.003922019809019521,0.02685030290705705,0.057533942884206775,2660,0.8775772209589285
T5_tabular_plus_random,test,0.7704326300685347,0.045109299569228725,0.04462299534929827,0.006605845417728432,0.03338160027623314,0.06855238443613053,3916,0.15496351678843165
T5_selected_tabular_plus_random,train,0.9711924268717128,0.015475662793401795,0.01547564367024207,2.432872329574162e-05,0.011327750801364948,0.024480394029617325,3377,0.9632657460485406
T5_selected_tabular_plus_random,val,0.8905970594381503,0.034744683218815145,0.03410612576268191,-0.0066306257197899475,0.02605289123606749,0.05583294657468796,2660,0.8835970255031547
T5_selected_tabular_plus_random,test,0.7794158192067253,0.04421790743547287,0.04370035011100047,0.006745571743597992,0.03189173160298928,0.06822469502687455,3916,0.2750033584623031
T6_selected_tabular_plus_shuffled_embedding,train,0.9849393829236508,0.011189670673012516,0.011189670405808424,2.445373491273394e-06,0.00798110884615559,0.01741768977642059,3377,0.9805892105561297
T6_selected_tabular_plus_shuffled_embedding,val,0.8930689142950768,0.03434992925612843,0.033948336003130825,-0.005237186507998329,0.02578655780343745,0.05541013953685761,2660,0.8861350192770723
T6_selected_tabular_plus_shuffled_embedding,test,0.7805675514854916,0.04410231926968879,0.04367061087804942,0.0061556730341657115,0.03195542160441777,0.06957692474126814,3916,0.28103401321530647
