feature,train_mean,train_std,test_mean,test_std,standardized_mean_difference,wasserstein_distance,test_outside_train_p1_p99,train_missing_fraction,test_missing_fraction
LST_modis,283.07032479991364,11.823537467084572,271.2224714127279,8.15314608455396,-1.0020565689556846,11.847853387185753,0.12352941176470589,0.0,0.0
F_NDVI,0.31214893277651123,0.2487424658318956,0.19010298273714824,0.18181698232112262,-0.4906518460014131,0.1314247077633436,0.0,0.0,0.0
G_API,28.66461127881719,21.454847465358124,37.15405760092782,18.757822122670895,0.39568896193823044,9.053711884540366,0.0,0.0,0.0
G_rain_sum_7d,22.891982820329275,22.27590495246797,30.064705882352943,23.846154978663456,0.3219946878624562,7.725276853762265,0.0,0.0,0.0
SMAP_sm_interp,,,,,,,,1.0,1.0
SMAP_x_year,,,,,,,,1.0,1.0
V_rollstd_SMAP_sm_interp_kobs30,,,,,,,,1.0,1.0
J_clay_wfrac_b0,13.0,0.0,13.0,0.0,,0.0,0.0,0.0,0.0
J_sand_wfrac_b0,40.0,0.0,40.0,0.0,,0.0,0.0,0.0,0.0
J_soil_texture_usda_b0,7.0,0.0,7.0,0.0,,0.0,0.0,0.0,0.0
