model,coverage_n,target_mean,target_std,r2,rmse,ubrmse,bias,mae,q90,n
persistence,170,0.19887058823529416,0.029957337600737613,0.8967260891740139,0.009627167441214286,0.009626585161338994,0.00010588235294117657,0.002564705882352941,0.0039999999999999775,170
strict_hybrid,160,0.20373125,0.023446674037856628,-0.7098223279050118,0.030658911925598293,0.029394240804800888,-0.008714785595238245,0.026374404105544102,0.04544314469099043,160
temporal_current,160,0.20373125,0.023446674037856628,-1.0821747673391662,0.033832947544279846,0.0335498716810621,0.004367430562500002,0.0289879185625,0.049143460999999986,160
monthly_climatology,170,0.19887058823529416,0.029957337600737613,-0.3667307781418083,0.03502230299450523,0.029660167192885837,-0.01862353857699951,0.03111308646226933,0.05228756775970854,170
tabular_minus_smap_x_year,170,0.19887058823529416,0.029957337600737613,-0.6198935939774699,0.03812821357053105,0.03737644553191791,0.007534055314344483,0.023519762583339925,0.06598212368488308,170
strict_tabular,160,0.20373125,0.023446674037856628,-1.823285453674333,0.03939659075134712,0.03891257979965874,-0.006156500317901411,0.031164899265021105,0.04702930679321294,160
tabular_baseline_38,170,0.19887058823529416,0.029957337600737613,-0.7899342930267899,0.04007945044608923,0.038644287521940934,0.010629270435080771,0.024724430536522585,0.07516781418323518,170
station_mean,170,0.19887058823529416,0.029957337600737613,-2.226450045482711,0.05381033383403424,0.02995733760073761,-0.044700223167291255,0.052936300475809515,0.06292963493199713,170
temporal_alternative,160,0.20373125,0.023446674037856628,-4.454114063299267,0.054757467479151625,0.05152718356187787,-0.018529155375000002,0.0464534005,0.084322357,160
smap_only,170,0.19887058823529416,0.029957337600737613,,,,,,,0
