k,r2,rmse,ubrmse,bias,mae,med_ae,pearson
1 Experts (Quantile),0.4858063762062793,0.07550906796870509,0.0745456993102362,-0.012023230009047106,0.055358205394346084,0.03954018598794937,0.7084454326383828
2 Experts (Quantile),0.7767647598494255,0.04975275601446282,0.04912467327215319,-0.007880558796104784,0.039063823385881824,0.03181232672929764,0.8846571761907582
3 Experts (Quantile),0.8762463833990624,0.037043730508320875,0.036755796596729784,-0.004609705686150735,0.029371429778781134,0.024988715603947633,0.9386622443156041
4 Experts (Quantile),0.9307993409184021,0.027700708785036856,0.027666700297765374,-0.001372210562212416,0.02182758447482355,0.018951808646321306,0.9659309362748864
5 Experts (Quantile),0.952027203577752,0.023063928536791033,0.022913204805683526,-0.002632459892003127,0.01857764810522408,0.016481430947780602,0.9763104908308253
6 Experts (Quantile),0.964324748769776,0.01988929028243674,0.019872154167692724,-0.0008254433199713071,0.01596028801584895,0.014486056864261632,0.9823931763071859
7 Experts (Quantile),0.9744485188574387,0.01683231330435073,0.016831310712700533,-0.00018371409405599422,0.013241613744204633,0.011769353330135346,0.9872976743067624
8 Experts (Quantile),0.9782782328986069,0.01551970073983168,0.015473264253700233,-0.0011996684496537247,0.012103362142431236,0.010731292381882668,0.9891994541590002
9 Experts (Quantile),0.9829416483239434,0.013753217083022566,0.013753216591884136,-3.6755226447020825e-06,0.010600276353171212,0.009288213968276976,0.9914857345387952
10 Experts (Quantile),0.9852197867356114,0.012801949700396154,0.012797828931986327,0.00032479340985745546,0.009817977675626992,0.008791971445083618,0.9926159613055595
3 Experts (Calibrated T1/T2),0.8742593380892218,0.03733994185241429,0.03610254519355593,-0.009532968482531151,0.029508345696985572,0.02480851072072983,0.9395894668656319
