seed,current_rmse,current_deployable,salvage_c0_rmse,salvage_deployable,comparison,current_family,reference_family,current_policy,reference_policy,current_local_dry_expert_index,reference_local_dry_expert_index,delta_rmse_current_minus_salvage,deployable,ece_used_for_comparison_or_fit
42,0.0577598434744166,False,0.0577598434744166,False,V0 current vs salvage C0,Clustering_V0_Full_k2,Clustering_V0_Full_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
7,0.0569251413148123,False,0.0569251413148123,False,V0 current vs salvage C0,Clustering_V0_Full_k2,Clustering_V0_Full_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
13,0.0578029573236718,False,0.0578029573236718,False,V0 current vs salvage C0,Clustering_V0_Full_k2,Clustering_V0_Full_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
101,0.0586657405260847,False,0.0586657405260847,False,V0 current vs salvage C0,Clustering_V0_Full_k2,Clustering_V0_Full_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
123,0.0576868102444717,False,0.0576868102444717,False,V0 current vs salvage C0,Clustering_V0_Full_k2,Clustering_V0_Full_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
42,0.0577598434744166,False,0.0577598434744166,False,Backbone current vs salvage C0,Clustering_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
7,0.0569251413148123,False,0.0569251413148123,False,Backbone current vs salvage C0,Clustering_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
13,0.0578029573236718,False,0.0578029573236718,False,Backbone current vs salvage C0,Clustering_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
101,0.0586657405260847,False,0.0586657405260847,False,Backbone current vs salvage C0,Clustering_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
123,0.0576868102444717,False,0.0576868102444717,False,Backbone current vs salvage C0,Clustering_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,0,0,0.0,False,False
42,0.1939527723349869,False,0.0577598434744166,False,Guarded local c1 dry vs salvage Backbone C0,Guarded_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,1,0,0.1361929288605703,False,False
7,0.1865335968122156,False,0.0569251413148123,False,Guarded local c1 dry vs salvage Backbone C0,Guarded_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,1,0,0.1296084554974033,False,False
13,0.1905048123726178,False,0.0578029573236718,False,Guarded local c1 dry vs salvage Backbone C0,Guarded_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,1,0,0.132701855048946,False,False
101,0.1952876069230015,False,0.0586657405260847,False,Guarded local c1 dry vs salvage Backbone C0,Guarded_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,1,0,0.1366218663969168,False,False
123,0.1963994788310426,False,0.0576868102444717,False,Guarded local c1 dry vs salvage Backbone C0,Guarded_Backbone54_k2,Clustering_Backbone54_k2,c0_only semantic dry oracle,c0_only historical salvage C0,1,0,0.13871266858657091,False,False
