seed,station,guarded_r2,backbone_r2,r2_diff_guarded_minus_backbone
42,BeaverPass_WA_990,0.7423949129450769,0.7423949129450769,0.0
42,CayusePass_WA,0.68682213299688,0.68682213299688,0.0
42,Darrington,0.7033485845555854,0.7033485845555854,0.0
42,Paradise_WA,0.7785723721844809,0.7557848133340586,0.022787558850422385
42,Quinault,0.5606848053650594,0.5606848053650594,0.0
42,SourdoughGulch_WA_985,0.3704973191455356,0.3204459941087719,0.05005132503676368
42,Spokane,0.6066802742664119,0.5503240478530402,0.05635622641337168
7,BeaverPass_WA_990,0.7647745419639327,0.7647745419639327,0.0
7,CayusePass_WA,0.6871025464676705,0.6871025464676705,0.0
7,Darrington,0.6996164404651593,0.6996164404651593,0.0
7,Paradise_WA,0.7762557065936908,0.7714416009014077,0.004814105692283133
7,Quinault,0.5720079944661474,0.5720079944661474,0.0
7,SourdoughGulch_WA_985,0.3668822857391699,0.3119058440639097,0.054976441675260224
7,Spokane,0.6070382324780466,0.5569032981978022,0.0501349342802444
13,BeaverPass_WA_990,0.7587253158714995,0.7587253158714995,0.0
13,CayusePass_WA,0.6870062948839839,0.6870062948839839,0.0
13,Darrington,0.7037705700762239,0.7037705700762239,0.0
13,Paradise_WA,0.7797265821089243,0.7649538856857329,0.014772696423191456
13,Quinault,0.572084259603278,0.572084259603278,0.0
13,SourdoughGulch_WA_985,0.378024327168742,0.3128229560587551,0.06520137110998692
13,Spokane,0.6141253559184112,0.5582262990181107,0.0558990569003005
21,BeaverPass_WA_990,0.7535547550069978,0.7535547550069978,0.0
21,CayusePass_WA,0.6863445161439222,0.6863445161439222,0.0
21,Darrington,0.6750349074818239,0.6750349074818239,0.0
21,Paradise_WA,0.7830988926595057,0.7756466869111537,0.0074522057483520365
21,Quinault,0.5787451693475341,0.5787451693475341,0.0
21,SourdoughGulch_WA_985,0.3745213042754508,0.3039467480453459,0.07057455623010489
21,Spokane,0.6083144897577386,0.5626430149350576,0.04567147482268097
55,BeaverPass_WA_990,0.7461246310329712,0.7461246310329712,0.0
55,CayusePass_WA,0.6835696967799388,0.6835696967799388,0.0
55,Darrington,0.69263239356688,0.69263239356688,0.0
55,Paradise_WA,0.7822181493312855,0.7548257576294566,0.027392391701828944
55,Quinault,0.5808527069402614,0.5808527069402614,0.0
55,SourdoughGulch_WA_985,0.3593752319105978,0.3046475762082767,0.054727655702321076
55,Spokane,0.6051724174742764,0.5559960864416387,0.04917633103263774
