family,ece_input,policy,deployable,rmse_mean,rmse_std,mae_mean,bias_mean,ubrmse_mean,r2_mean,pearson_mean,rmse_change_vs_as_routed,rmse_gap_vs_dry_assigned_oracle
Clustering_V0_Full_k2,v3,as_routed,True,0.165907783926229,0.0030507137273605,0.1392256067799792,0.1177267903070353,0.1168989570566065,-11.438028719787535,-0.6696286801855045,0.0,0.1081396853495375
Clustering_V0_Full_k2,v3,auto_hard,True,0.0577680985766914,0.0006172983651717,0.0501669033776575,0.0286544303974214,0.0501576091011073,-0.5077050469962214,0.1037756276087075,-0.1081396853495375,0.0
Clustering_V0_Full_k2,v3,auto_soft,True,0.057768143478929,0.0006172994076705,0.0501669615332831,0.0286545263631325,0.050157605994875,-0.5077073910791958,0.1037755330105123,-0.1081396404472999,4.490223756009604e-08
Clustering_V0_Full_k2,v3,c0_only,False,0.0577680985766914,0.0006172983651717,0.0501669033776575,0.0286544303974214,0.0501576091011073,-0.5077050469962214,0.1037756276087075,-0.1081396853495375,0.0
Clustering_V0_Full_k2,v3,c1_only,False,0.1925356534547729,0.0040205602778622,0.1856502451281451,0.1856502451281451,0.0510199549847832,-15.752297478285874,-0.4939291440285224,0.0266278695285439,0.1347675548780814
Clustering_Backbone54_k2,v3,as_routed,True,0.1674311718231191,0.0034013724910149,0.147345612233095,0.141931749153207,0.0888158018013634,-11.668248354919394,-0.1384931180383042,0.0,0.1096630732464277
Clustering_Backbone54_k2,v3,auto_hard,True,0.0577680985766914,0.0006172983651717,0.0501669033776575,0.0286544303974214,0.0501576091011073,-0.5077050469962214,0.1037756276087075,-0.1096630732464277,0.0
Clustering_Backbone54_k2,v3,auto_soft,True,0.0577681321075113,0.0006172991436594,0.0501669468054824,0.0286545020600001,0.050157606781522,-0.5077067974438709,0.1037755569673353,-0.1096630397156078,3.35308198567974e-08
Clustering_Backbone54_k2,v3,c0_only,False,0.0577680985766914,0.0006172983651717,0.0501669033776575,0.0286544303974214,0.0501576091011073,-0.5077050469962214,0.1037756276087075,-0.1096630732464277,0.0
Clustering_Backbone54_k2,v3,c1_only,False,0.1925356534547729,0.0040205602778622,0.1856502451281451,0.1856502451281451,0.0510199549847832,-15.752297478285874,-0.4939291440285224,0.0251044816316537,0.1347675548780814
Guarded_Backbone54_k2,v3,as_routed,True,0.1674311718231191,0.0034013724910149,0.147345612233095,0.141931749153207,0.0888158018013634,-11.668248354919394,-0.1384931180383042,0.0,-0.0251044816316537
Guarded_Backbone54_k2,v3,auto_hard,True,0.0577680985766914,0.0006172983651717,0.0501669033776575,0.0286544303974214,0.0501576091011073,-0.5077050469962214,0.1037756276087075,-0.1096630732464277,-0.1347675548780814
Guarded_Backbone54_k2,v3,auto_soft,True,0.0577681321075113,0.0006172991436594,0.0501669468054824,0.0286545020600001,0.050157606781522,-0.5077067974438709,0.1037755569673353,-0.1096630397156078,-0.1347675213472616
Guarded_Backbone54_k2,v3,c0_only,False,0.1925356534547729,0.0040205602778622,0.1856502451281451,0.1856502451281451,0.0510199549847832,-15.752297478285874,-0.4939291440285224,0.0251044816316537,0.0
Guarded_Backbone54_k2,v3,c1_only,False,0.0577680985766914,0.0006172983651717,0.0501669033776575,0.0286544303974214,0.0501576091011073,-0.5077050469962214,0.1037756276087075,-0.1096630732464277,-0.1347675548780814
Global_Single_54,v3,direct,True,0.0586339626584574,0.0007346242403476,0.0506232821310737,0.0151222809682988,0.056634668630766,-0.5532937670661664,-0.0653814775323756,,
