family,setting,policy,rmse,gapi_class_0_local_expert,gapi_class_1_local_expert,selected_for_ece
Clustering_V0_Full_k2,clean_val,soft_static_T0.25,0.054240812028728824,,,
Clustering_V0_Full_k2,clean_val,soft_static_T0.5,0.054285667348871566,,,
Clustering_V0_Full_k2,clean_val,soft_static_T1,0.05479375520604489,,,
Clustering_V0_Full_k2,clean_val,soft_static_T2,0.05727510188345881,,,
Clustering_V0_Full_k2,smap_masked_val,aux_hard_candidate_gapi0_to_c0,0.07275721703812021,0.0,1.0,True
Clustering_V0_Full_k2,smap_masked_val,static_hard_masked,0.0680818505436305,,,
Clustering_V0_Full_k2,smap_masked_val,aux_hard_masked,0.07275721703812021,,,
Clustering_V0_Full_k2,clean_val,static_hard_clean,0.05424061995309999,,,
Clustering_V0_Full_k2,clean_val,aux_hard_clean,0.07373553993750723,,,
Clustering_Backbone54_k2,clean_val,soft_static_T0.25,0.05424286198689166,,,
Clustering_Backbone54_k2,clean_val,soft_static_T0.5,0.05430180602393795,,,
Clustering_Backbone54_k2,clean_val,soft_static_T1,0.054991709937468186,,,
Clustering_Backbone54_k2,clean_val,soft_static_T2,0.057389597275052544,,,
Clustering_Backbone54_k2,smap_masked_val,aux_hard_candidate_gapi0_to_c0,0.07396518184352849,0.0,1.0,True
Clustering_Backbone54_k2,smap_masked_val,static_hard_masked,0.0868704523179325,,,
Clustering_Backbone54_k2,smap_masked_val,aux_hard_masked,0.07396518184352849,,,
Clustering_Backbone54_k2,clean_val,static_hard_clean,0.05424061995309999,,,
Clustering_Backbone54_k2,clean_val,aux_hard_clean,0.07373553993750723,,,
Guarded_Backbone54_k2,clean_val,soft_static_T0.25,0.05424286198689166,,,
Guarded_Backbone54_k2,clean_val,soft_static_T0.5,0.05430180602393795,,,
Guarded_Backbone54_k2,clean_val,soft_static_T1,0.054991709937468186,,,
Guarded_Backbone54_k2,clean_val,soft_static_T2,0.057389597275052544,,,
Guarded_Backbone54_k2,smap_masked_val,aux_hard_candidate_gapi0_to_c0,0.07396518184352849,0.0,1.0,True
Guarded_Backbone54_k2,smap_masked_val,aux_hard_candidate_gapi0_to_c1,0.11717976676399142,1.0,0.0,False
Guarded_Backbone54_k2,smap_masked_val,static_hard_masked,0.0868704523179325,,,
Guarded_Backbone54_k2,smap_masked_val,aux_hard_masked,0.07396518184352849,,,
Guarded_Backbone54_k2,clean_val,static_hard_clean,0.05424061995309999,,,
Guarded_Backbone54_k2,clean_val,aux_hard_clean,0.07373553993750723,,,
